degree,aandersoni_regen_up_Fraction_sp_less4,amaculatum_regen_up_Fraction_sp_less4,amexicanum_regen_up_Fraction_sp_less4,celegans_stress_up_Fraction_sp_less4,clupisFamiliaris_wound_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_wound_up_Fraction_sp_less4,drerio_regen_up_Fraction_sp_less4,ecoli_stress_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less4,rnorvegicus_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less4,xlaevis_wound_up_Fraction_sp_less4,xtropicalis_regen_up_Fraction_sp_less4,label,gene_list
167,0.00338039371644462,0.00656194074368662,0.0385762577053092,0.0548816862199244,0.000596540067607874,0.0518989858818851,0.00656194074368662,0.00676078743288924,0.0023861602704315,0.063034400477232,0.0109365679061444,0.082123682640684,0.0228673692583019,0.0218731358122887,0,ADPGK
471,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,CPEB4
256,0.00119308013521575,0.00278385364883675,0.0347981706104593,0.0745675084509843,0.00218731358122887,0.0691986478425134,0.0103400278385365,0.00497116723006562,0.00119308013521575,0.082123682640684,0.0171008152714257,0.0827202227082919,0.0312189302048121,0.00596540067607874,0,CPEB1
28,0.000795386756810499,0.000596540067607874,0.00636309405448399,0.00695963412209187,0,0.00417578047325512,0,0.000198846689202625,0.000596540067607874,0.00974348777092861,0.00039769337840525,0.0125273414197654,0.00278385364883675,0.003181547027242,1,CPEB3
359,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,CPEB2
197,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,SRBD1
38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ABAT
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHOX2A
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PHOX2B
91,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,UPK2
67,0,0,0.001590773513621,0.00119308013521575,0,0.000994233446013124,0.000198846689202625,0.000198846689202625,0.000198846689202625,0.00377808709484987,0.00119308013521575,0.00338039371644462,0.000994233446013124,0.000795386756810499,0,CFH
3,0,0,0,0.666666666666667,0,0.666666666666667,0,0,0,0,0,1,0,0.333333333333333,0,CFI
16,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,ANKFY1
16,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,CFB
