degree,celegans_stress_down_Fraction_sp_less4,dmelanogaster_stress_down_Fraction_sp_less4,dmelanogaster_wound_down_Fraction_sp_less4,drerio_regen_down_Fraction_sp_less4,hsapiens_regen_down_Fraction_sp_less4,hsapiens_stress_down_Fraction_sp_less4,hsapiens_wound_down_Fraction_sp_less4,mmusculus_stress_down_Fraction_sp_less4,rnorvegicus_wound_down_Fraction_sp_less4,sscrofa_wound_down_Fraction_sp_less4,label,gene_list
1,0.944117647058824,0.989130434782609,0.940092165898618,0.957507082152975,0.959885386819484,0.954301075268817,0.941798941798942,0.967479674796748,0.984536082474227,0.969907407407407,1,PRKCB
56,0.482352941176471,0.478260869565217,0.534562211981567,0.555555555555556,0.553008595988539,0.481182795698925,0.560846560846561,0.48780487804878,0.652061855670103,0.574074074074074,1,PHOX2B
13,0.944117647058824,0.978260869565217,0.976958525345622,0.96600566572238,0.982808022922636,0.978494623655914,0.968253968253968,0.959349593495935,0.981958762886598,0.976851851851852,1,CDH1
4,0.855882352941176,0.891304347826087,0.894009216589862,0.872521246458923,0.899713467048711,0.897849462365591,0.878306878306878,0.886178861788618,0.951030927835051,0.930555555555556,1,EPHA7
37,0.805882352941176,0.83695652173913,0.875576036866359,0.844192634560907,0.888252148997135,0.846774193548387,0.873015873015873,0.848238482384824,0.922680412371134,0.9375,1,NUMA1
4,0.964705882352941,0.967391304347826,0.967741935483871,0.974504249291785,0.988538681948424,0.975806451612903,0.978835978835979,0.97289972899729,0.989690721649485,0.988425925925926,1,CREB1
7,0.905882352941176,0.902173913043478,0.930875576036866,0.949008498583569,0.95702005730659,0.935483870967742,0.947089947089947,0.956639566395664,0.974226804123711,0.969907407407407,1,CHD4
6,0.85,0.880434782608696,0.884792626728111,0.833333333333333,0.830945558739255,0.862903225806452,0.851851851851852,0.826558265582656,0.90979381443299,0.918981481481482,1,PRCC
37,0.811764705882353,0.826086956521739,0.84331797235023,0.916666666666667,0.873925501432665,0.868279569892473,0.894179894179894,0.875338753387534,0.920103092783505,0.905092592592593,1,ELF4
2,0.555882352941176,0.652173913043478,0.663594470046083,0.648725212464589,0.69054441260745,0.586021505376344,0.677248677248677,0.612466124661247,0.765463917525773,0.75462962962963,1,KIAA1549
