degree,downregulated.regen_Fraction_sp_less2,downregulated.stress_Fraction_sp_less2,downregulated.wound_Fraction_sp_less2,msigdb.regen_Fraction_sp_less2,msigdb.stress_Fraction_sp_less2,msigdb.wound_Fraction_sp_less2,upregulated.regen_Fraction_sp_less2,upregulated.stress_Fraction_sp_less2,upregulated.wound_Fraction_sp_less2,label,gene_list
7,0,0,0.000143781452192667,0,7.18907260963336e-05,0.000143781452192667,0,7.18907260963336e-05,0.000143781452192667,0,ADAMTS1
84,0.000934579439252336,0.000575125808770669,0.00179726815240834,0.000287562904385334,0.00165348670021567,0.00100647016534867,0.00100647016534867,0.000359453630481668,0.001509705248023,0,ALDOA
21,0.000215672178289001,7.18907260963336e-05,0.000359453630481668,7.18907260963336e-05,0.000359453630481668,0.000647016534867002,0.000143781452192667,0.000215672178289001,0.000215672178289001,0,AMBP
11,7.18907260963336e-05,0,0.000143781452192667,0,7.18907260963336e-05,0.000143781452192667,0.000143781452192667,0,7.18907260963336e-05,0,ANXA6
40,0.000647016534867002,0.000359453630481668,0.000862688713156003,0.000503235082674335,0.001078360891445,0.000503235082674335,0.000647016534867002,0.000143781452192667,0.000790797987059669,0,APOE
224,0.00244428468727534,0.000790797987059669,0.00265995686556434,0.000503235082674335,0.00431344356578001,0.00287562904385334,0.00179726815240834,0.000718907260963336,0.00194104960460101,0,APP
80,0.000647016534867002,0,0.000287562904385334,0,0.000790797987059669,0.000359453630481668,0.000143781452192667,0.000215672178289001,0.000431344356578001,0,ATF7IP
95,0.00100647016534867,0.000287562904385334,0.00165348670021567,0.000287562904385334,0.00136592379583034,0.000862688713156003,0.000718907260963336,7.18907260963336e-05,0.00100647016534867,1,B2M
14,0,0,0.000215672178289001,7.18907260963336e-05,0.000143781452192667,0.000143781452192667,0,0,0,0,C11orf58
14,7.18907260963336e-05,7.18907260963336e-05,7.18907260963336e-05,0,0.000143781452192667,7.18907260963336e-05,0,0,7.18907260963336e-05,0,CDK2AP2
