degree,downregulated.regen_Fraction_sp_less2,downregulated.stress_Fraction_sp_less2,downregulated.wound_Fraction_sp_less2,msigdb.regen_Fraction_sp_less2,msigdb.stress_Fraction_sp_less2,msigdb.wound_Fraction_sp_less2,upregulated.regen_Fraction_sp_less2,upregulated.stress_Fraction_sp_less2,upregulated.wound_Fraction_sp_less2,label,gene_list
13,0.00191273779983457,0.00382547559966915,0.00372208436724566,0.000413564929693962,0.0059449958643507,0.0021712158808933,0.00253308519437552,0.00284325889164599,0.00367038875103391,0,SACM1L
132,0.00118899917287014,0.0011373035566584,0.00186104218362283,0.000258478081058726,0.00237799834574028,0.0011373035566584,0.00139578163771712,0.000723738626964433,0.00139578163771712,0,SGSM3
21,0.000361869313482217,0.000361869313482217,0.000672043010752688,0.00010339123242349,0.00149917287014061,0.000465260545905707,0.000516956162117452,0.000413564929693962,0.000723738626964433,0,GORAB
12,0.00242969396195203,0.00289495450785773,0.00227460711331679,0.000775434243176179,0.00578990901571547,0.00134408602150538,0.00263647642679901,0.00191273779983457,0.00237799834574028,0,NPHP3
95,0.00599669148056245,0.00315343258891646,0.00635856079404467,0.00175765095119934,0.0135442514474773,0.00429073614557485,0.00641025641025641,0.00454921422663358,0.00610008271298594,0,DAPK1
46,0.00351530190239868,0.00211952026468156,0.0027398676592225,0.000568651778329198,0.00620347394540943,0.00186104218362283,0.00320512820512821,0.00206782464846981,0.00320512820512821,0,STK17A
18,0.0043424317617866,0.00413564929693962,0.00423904052936311,0.000775434243176179,0.0065136476426799,0.00361869313482217,0.00470430107526882,0.00305004135649297,0.00454921422663358,0,SPTBN2
200,0.00299834574028122,0.00129239040529363,0.00299834574028122,0.000827129859387924,0.00573821339950372,0.00211952026468156,0.00320512820512821,0.0021712158808933,0.00305004135649297,0,KIF13B
299,0.0037737799834574,0.00346360628618693,0.0043424317617866,0.0010339123242349,0.00827129859387924,0.00444582299421009,0.00387717121588089,0.00367038875103391,0.00485938792390405,0,RAPGEF4
50,0.00408395368072787,0.00180934656741108,0.00832299421009098,0.000827129859387924,0.00646195202646816,0.00408395368072787,0.00449751861042184,0.00175765095119934,0.00398056244830438,0,DOCK2
59,0.00284325889164599,0.00186104218362283,0.00237799834574028,0.000361869313482217,0.00501447477253929,0.00165425971877585,0.00268817204301075,0.00175765095119934,0.00279156327543424,0,STK33
40,0.00325682382133995,0.00470430107526882,0.00346360628618693,0.000775434243176179,0.00759925558312655,0.0016025641025641,0.00413564929693962,0.00310173697270471,0.00465260545905707,0,PDK3
85,0.00641025641025641,0.00299834574028122,0.00615177832919768,0.00144747725392887,0.00873655913978495,0.00522125723738627,0.00522125723738627,0.00372208436724566,0.00542803970223325,0,TGFB1I1
50,0.016025641025641,0.011166253101737,0.0202129859387924,0.00470430107526882,0.0317928039702233,0.0117349048800662,0.0172663358147229,0.0115281224152192,0.0184553349875931,0,POTEF
10,0.00186104218362283,0.00098221670802316,0.00175765095119934,0.000465260545905707,0.00289495450785773,0.00134408602150538,0.00180934656741108,0.0011373035566584,0.00170595533498759,0,RAPGEF5
7,0.00211952026468156,0.00268817204301075,0.00289495450785773,0.000361869313482217,0.00522125723738627,0.00165425971877585,0.00253308519437552,0.00180934656741108,0.00268817204301075,0,AP1B1
84,0.000568651778329198,0.000775434243176179,0.000465260545905707,0.00010339123242349,0.00149917287014061,0.00098221670802316,0.000672043010752688,0.000310173697270471,0.000723738626964433,0,HPS5
21,0.00258478081058726,0.0027398676592225,0.00263647642679901,0.000878825475599669,0.00454921422663358,0.00315343258891646,0.00325682382133995,0.00186104218362283,0.00305004135649297,0,ARHGEF16
11,0.00237799834574028,0.00248138957816377,0.0016025641025641,0.000465260545905707,0.00392886683209264,0.00124069478908189,0.00191273779983457,0.00253308519437552,0.00211952026468156,0,CADPS2
40,0.00516956162117452,0.00336021505376344,0.00537634408602151,0.00170595533498759,0.0128722084367246,0.00449751861042184,0.00511786600496278,0.00630686517783292,0.00558312655086849,0,MAP3K2
224,0.00315343258891646,0.00284325889164599,0.00367038875103391,0.000878825475599669,0.00682382133995037,0.0037737799834574,0.0033085194375517,0.00320512820512821,0.00346360628618693,0,GNAL
80,0.0164909015715467,0.011166253101737,0.0201095947063689,0.00542803970223325,0.0372208436724566,0.0157671629445823,0.0168527708850289,0.0127171215880893,0.016645988420182,0,CDC42
95,0.00485938792390405,0.00232630272952854,0.00475599669148056,0.00206782464846981,0.0117866004962779,0.00413564929693962,0.00403225806451613,0.00284325889164599,0.00429073614557485,1,ROS1
14,0.00739247311827957,0.00413564929693962,0.00728908188585608,0.00196443341604632,0.0176282051282051,0.00413564929693962,0.00666873449131514,0.00568651778329198,0.00661703887510339,0,MPHOSPH8
14,0.00227460711331679,0.00211952026468156,0.00268817204301075,0.000775434243176179,0.00465260545905707,0.00191273779983457,0.00206782464846981,0.00206782464846981,0.00227460711331679,0,GGA3
23,0.00584160463192721,0.00361869313482217,0.00620347394540943,0.00258478081058726,0.0120450785773366,0.0049110835401158,0.00460090984284533,0.00284325889164599,0.0059449958643507,0,MUSK
9,0.00124069478908189,0.00118899917287014,0.00165425971877585,0.000413564929693962,0.00351530190239868,0.000827129859387924,0.00129239040529363,0.00129239040529363,0.0016025641025641,0,TBC1D17
37,0.00315343258891646,0.00305004135649297,0.00444582299421009,0.000723738626964433,0.00873655913978495,0.00279156327543424,0.00361869313482217,0.00268817204301075,0.00387717121588089,0,AP2B1
8,0.00418734491315136,0.00222291149710505,0.00392886683209264,0.000930521091811414,0.00625516956162117,0.0021712158808933,0.00336021505376344,0.00320512820512821,0.00361869313482217,0,KIF21A
962,0.00480769230769231,0.00367038875103391,0.00542803970223325,0.00248138957816377,0.0156120760959471,0.00465260545905707,0.00485938792390405,0.0037737799834574,0.00537634408602151,0,HIPK2
41,0.00573821339950372,0.00418734491315136,0.00558312655086849,0.0016025641025641,0.0106492969396195,0.00382547559966915,0.00496277915632754,0.00403225806451613,0.00584160463192721,0,STK38
44,0.0016025641025641,0.00124069478908189,0.00206782464846981,0.000258478081058726,0.00315343258891646,0.00098221670802316,0.00175765095119934,0.0011373035566584,0.00211952026468156,0,SEC22A
167,0.00372208436724566,0.00263647642679901,0.00439412737799835,0.000775434243176179,0.00951199338296112,0.00191273779983457,0.00398056244830438,0.00294665012406948,0.00392886683209264,0,ASB9
471,0.00310173697270471,0.00279156327543424,0.00351530190239868,0.00108560794044665,0.00878825475599669,0.00186104218362283,0.0033085194375517,0.00367038875103391,0.00387717121588089,0,FEM1C
256,0.00165425971877585,0.0016025641025641,0.00222291149710505,0.000413564929693962,0.00346360628618693,0.000775434243176179,0.00186104218362283,0.00196443341604632,0.00201612903225806,0,TOM1L2
28,0.00299834574028122,0.00211952026468156,0.00315343258891646,0.000775434243176179,0.00832299421009098,0.00279156327543424,0.00346360628618693,0.00227460711331679,0.00367038875103391,0,SSH1
359,0.00460090984284533,0.0086848635235732,0.00687551695616212,0.00139578163771712,0.008116211745244,0.00294665012406948,0.00630686517783292,0.00873655913978495,0.00873655913978495,0,ACSL1
197,0.00842638544251447,0.00785773366418528,0.00873655913978495,0.00232630272952854,0.0207816377171216,0.00506617038875103,0.00827129859387924,0.00728908188585608,0.00878825475599669,0,PPP4C
38,0.0059449958643507,0.00516956162117452,0.00568651778329198,0.000827129859387924,0.00827129859387924,0.00237799834574028,0.00604838709677419,0.00506617038875103,0.00527295285359802,0,TUBB2B
98,0.00098221670802316,0.00170595533498759,0.00237799834574028,0.00010339123242349,0.00310173697270471,0.0010339123242349,0.00144747725392887,0.00149917287014061,0.00258478081058726,0,TMED7
50,0.000723738626964433,0.000775434243176179,0.000723738626964433,5.16956162117452e-05,0.00108560794044665,0.000258478081058726,0.000516956162117452,0.000723738626964433,0.000930521091811414,0,UNC50
91,0.00563482216708023,0.00454921422663358,0.00506617038875103,0.000672043010752688,0.00697890818858561,0.0027398676592225,0.00506617038875103,0.00263647642679901,0.00485938792390405,0,NCALD
67,0.00444582299421009,0.00315343258891646,0.0043424317617866,0.00139578163771712,0.0108560794044665,0.0027398676592225,0.00392886683209264,0.00336021505376344,0.00429073614557485,0,SMYD2
3,0.00232630272952854,0.00098221670802316,0.00206782464846981,0.000568651778329198,0.00496277915632754,0.00211952026468156,0.00196443341604632,0.000930521091811414,0.00211952026468156,0,ARVCF
16,0.000930521091811414,0.00201612903225806,0.00165425971877585,0.000206782464846981,0.00211952026468156,0.000413564929693962,0.00144747725392887,0.00155086848635236,0.00232630272952854,0,LPGAT1
16,0.000878825475599669,0.0011373035566584,0.0011373035566584,0.000310173697270471,0.00253308519437552,0.00149917287014061,0.000930521091811414,0.000723738626964433,0.0011373035566584,0,VPS51
