degree,downregulated.regen_Fraction_sp_less4,downregulated.stress_Fraction_sp_less4,downregulated.wound_Fraction_sp_less4,msigdb.regen_Fraction_sp_less4,msigdb.stress_Fraction_sp_less4,msigdb.wound_Fraction_sp_less4,upregulated.regen_Fraction_sp_less4,upregulated.stress_Fraction_sp_less4,upregulated.wound_Fraction_sp_less4,downregulated.regen_Fraction_sp_less4.1,downregulated.stress_Fraction_sp_less4.1,downregulated.wound_Fraction_sp_less4.1,msigdb.regen_Fraction_sp_less4.1,msigdb.stress_Fraction_sp_less4.1,msigdb.wound_Fraction_sp_less4.1,upregulated.regen_Fraction_sp_less4.1,upregulated.stress_Fraction_sp_less4.1,upregulated.wound_Fraction_sp_less4.1,label
3,0.0283806343906511,0.0177677080849034,0.0220605771523969,0.00512759360839494,0.0326735034581445,0.0144288099212974,0.0171714762699738,0.0176484617219175,0.021822084426425,0.0283806343906511,0.0177677080849034,0.0220605771523969,0.00512759360839494,0.0326735034581445,0.0144288099212974,0.0171714762699738,0.0176484617219175,0.021822084426425,1
12,0.0113284044836632,0.00739327450512759,0.0263534462198903,0.00178869544478893,0.0182446935368471,0.00810875268304317,0.0138325781063678,0.00810875268304317,0.0121631290245648,0.0113284044836632,0.00739327450512759,0.0263534462198903,0.00178869544478893,0.0182446935368471,0.00810875268304317,0.0138325781063678,0.00810875268304317,0.0121631290245648,1
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
19,0.0045313617934653,0.00810875268304317,0.00632005723825423,0.00119246362985929,0.0175292153589316,0.00202718817076079,0.00417362270450751,0.00691628905318388,0.00858573813498688,0.0045313617934653,0.00810875268304317,0.00632005723825423,0.00119246362985929,0.0175292153589316,0.00202718817076079,0.00417362270450751,0.00691628905318388,0.00858573813498688,1
1,0.0238492725971858,0.0164559980920582,0.0345814452659194,0.00417362270450751,0.0375626043405676,0.0131170999284522,0.0253994753160029,0.0183639398998331,0.0244455044121154,0.0238492725971858,0.0164559980920582,0.0345814452659194,0.00417362270450751,0.0375626043405676,0.0131170999284522,0.0253994753160029,0.0183639398998331,0.0244455044121154,1
5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
18,0.0250417362270451,0.0114476508466492,0.0194371571667064,0.00476985451943716,0.023491533508228,0.0128786072024803,0.015025041736227,0.0139518244693537,0.0175292153589316,0.0250417362270451,0.0114476508466492,0.0194371571667064,0.00476985451943716,0.023491533508228,0.0128786072024803,0.015025041736227,0.0139518244693537,0.0175292153589316,1
1,0.0062008108752683,0.00572382542332459,0.00465060815645123,0.00143095635583115,0.00488910088242309,0.00238492725971858,0.00393512997853565,0.00417362270450751,0.00560457906033866,0.0062008108752683,0.00572382542332459,0.00465060815645123,0.00143095635583115,0.00488910088242309,0.00238492725971858,0.00393512997853565,0.00417362270450751,0.00560457906033866,1
95,0.0283806343906511,0.0193179108037205,0.0281421416646792,0.00441211543047937,0.0383973288814691,0.0131170999284522,0.0197948962556642,0.0189601717147627,0.0249224898640591,0.0283806343906511,0.0193179108037205,0.0281421416646792,0.00441211543047937,0.0383973288814691,0.0131170999284522,0.0197948962556642,0.0189601717147627,0.0249224898640591,1
2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
