degree,amexicanum_regen_up_Fraction_sp_less4,celegans_stress_up_Fraction_sp_less4,clupisFamiliaris_wound_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_wound_up_Fraction_sp_less4,drerio_regen_up_Fraction_sp_less4,hsapiens_regen_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less4,hsapiens_wound_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less4,rnorvegicus_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less4,label
70,0.721719457013575,0.735795454545455,0.456521739130435,0.671309192200557,0.759795570698467,0.761538461538461,0.705014749262537,0.750670241286863,0.655172413793103,0.751381215469613,0.645367412140575,0.776572668112798,1
2,0.938914027149321,0.909090909090909,0.91304347826087,0.869047619047619,0.93526405451448,0.971794871794872,0.938053097345133,0.96514745308311,0.931034482758621,0.955801104972376,0.932907348242812,0.960954446854664,1
1,0.936651583710407,0.923295454545455,0.891304347826087,0.905292479108635,0.943781942078365,0.984615384615385,0.943952802359882,0.975871313672922,0.924137931034483,0.964088397790055,0.92332268370607,0.971800433839479,1
392,0.884615384615385,0.875,0.847826086956522,0.857142857142857,0.882453151618399,0.915384615384615,0.905604719764012,0.911528150134048,0.875862068965517,0.922651933701657,0.846645367412141,0.908893709327549,1
102,0.932126696832579,0.928977272727273,0.91304347826087,0.930362116991644,0.954003407155026,0.979487179487179,0.955752212389381,0.978552278820375,0.944827586206897,0.972375690607735,0.926517571884984,0.969631236442516,1
5,0.934389140271493,0.928977272727273,0.956521739130435,0.913649025069638,0.945485519591141,0.966666666666667,0.958702064896755,0.975871313672922,0.951724137931034,0.958563535911602,0.904153354632588,0.958785249457701,1
1,0.850678733031674,0.815340909090909,0.804347826086957,0.726190476190476,0.826235093696763,0.879487179487179,0.837758112094395,0.876675603217158,0.813793103448276,0.878453038674033,0.808306709265176,0.898047722342733,1
1,0.947963800904977,0.928977272727273,0.91304347826087,0.916666666666667,0.954003407155026,0.974358974358974,0.952802359882006,0.975871313672922,0.944827586206897,0.964088397790055,0.955271565495208,0.984815618221258,1
2,0.484162895927602,0.457386363636364,0.326086956521739,0.285714285714286,0.485519591141397,0.533333333333333,0.415929203539823,0.490616621983914,0.468965517241379,0.472375690607735,0.386581469648562,0.527114967462039,1
7,0.936651583710407,0.934659090909091,0.934782608695652,0.910863509749304,0.959114139693356,0.971794871794872,0.973451327433628,0.973190348525469,0.944827586206897,0.964088397790055,0.920127795527157,0.976138828633406,1
4,0.97737556561086,0.96875,0.956521739130435,0.972144846796657,0.984667802385009,0.994871794871795,0.970501474926254,0.989276139410188,0.96551724137931,0.977900552486188,0.964856230031949,0.997830802603037,1
5,0.454751131221719,0.386363636363636,0.260869565217391,0.412256267409471,0.475298126064736,0.525641025641026,0.371681415929204,0.447721179624665,0.310344827586207,0.400552486187845,0.447284345047923,0.490238611713666,1
1,0.816742081447964,0.798295454545455,0.695652173913043,0.75,0.805792163543441,0.843589743589744,0.817109144542773,0.863270777479893,0.76551724137931,0.848066298342541,0.779552715654952,0.891540130151844,1
