degree,downregulated.regen_Fraction_sp_less7,downregulated.stress_Fraction_sp_less7,downregulated.wound_Fraction_sp_less7,msigdb.regen_Fraction_sp_less7,msigdb.stress_Fraction_sp_less7,msigdb.wound_Fraction_sp_less7,upregulated.regen_Fraction_sp_less7,upregulated.stress_Fraction_sp_less7,upregulated.wound_Fraction_sp_less7,label,gene_list
38,0.059410142159983,0.0301294292382771,0.0727774241459792,0.0116698493528538,0.0668364099299809,0.0337364735837047,0.0526204116274135,0.037555697008275,0.0460428601739868,0,ITGAX
23,0.059410142159983,0.0305537873965627,0.074050498620836,0.0116698493528538,0.0670485890091237,0.0337364735837047,0.0528325907065563,0.0377678760874178,0.0466793974114152,0,BCL2A1
2,0,1,0,0,0,0,0,0,1,1,ITGAV
150,0.0642902609802673,0.0384044133248462,0.0782940802036919,0.0133672819859962,0.0823254827074051,0.0367069806917038,0.059410142159983,0.0454063229365585,0.0538934861022703,0,ITGAL
117,0.0600466793974114,0.0324633991088479,0.0727774241459792,0.0118820284319966,0.0712921705919796,0.0339486526628474,0.0534691279439847,0.0394653087205602,0.0483768300445576,0,ITGAM
2,1,0,0,0,0,0,0,0,0,0,ITGAD
2,0,0,0,0,0,0,0,0,0,0,ITGAE
2,0,0,0,1,0,0,0,0,0,0,IGF2R
2,0,0,0,0,0,0,0,1,0,0,SLC36A4
2,0,0,0,0,0,0,0,0,0,0,CKS1B
2,0,0,0,0,0,0,0,1,0,0,SLC36A1
2,0,0,0,0,0,0,0,0,0,0,ARTN
9,0.181818181818182,0,0.0909090909090909,0.272727272727273,0,0,0.0909090909090909,0,0.0909090909090909,0,ART1
2,0,0,0,0,0,0,0,0,0,0,ART4
2,0,0,0,0,0,0,0,0,0,0,CADPS2
3,0.0150647146191386,0.0108211330362826,0.0110333121154254,0.00254614894971356,0.0311903246339911,0.00530447697856991,0.00742626776999788,0.0120942075111394,0.0120942075111394,0,RLF
65,0.0645024400594101,0.0405262041162741,0.0780819011245491,0.0137916401442818,0.0901761086356885,0.0362826225334182,0.059410142159983,0.0460428601739868,0.0562274559728411,0,CRTAP
9,0.0638659028219817,0.0384044133248462,0.0780819011245491,0.0133672819859962,0.0848716316571186,0.0358582643751326,0.0596223212391258,0.0460428601739868,0.0538934861022703,0,ADPGK
2,0,0,0,0,0,0,0,0,0,0,CPEB4
59,0.0689582007214089,0.0398896668788457,0.0804158709951199,0.0144281773817102,0.0982389136431148,0.0373435179291322,0.0623806492679822,0.0483768300445576,0.0577127095268407,0,CPEB1
3,0.0558030978145555,0.0263102058137068,0.0676851262465521,0.0106089539571398,0.0598345003182686,0.0326755781879907,0.0492255463611288,0.0324633991088479,0.0439210693825589,1,CPEB3
2,0,0,0,0,1,0,0,0,0,0,CPEB2
2,1,0,0,0,0,0,0,0,0,0,SRBD1
2,0,1,0,0,1,1,0,0,0,0,ABAT
4,0,0,0,0,0,0,0,0,0,0,PHOX2A
4,0,0,0,0,0,0,0,0,0,1,PHOX2B
2,0,0,0,0,0,0,0,0,0,0,UPK2
3,0.0350095480585614,0.0157012518565669,0.0252493104179928,0.00721408869085508,0.0254614894971356,0.0180352217271377,0.0203691915977085,0.0163377890939953,0.0220666242308508,0,CFH
3,0,0,0.666666666666667,0,0,0,0,0,0,0,CFI
2,0,0,0,0,0,0,0,0,1,0,ANKFY1
2,1,0,0,0,0,0,1,0,0,0,CFB
2,0,0,1,0,0,0,0,0,0,0,CFP
2,0,0,0,0,1,0,0,0,0,0,AAAS
3,0.0328877572671335,0.0167621472522809,0.051135158073414,0.00551665605771271,0.0417992785911309,0.0195204752811373,0.035433906216847,0.0224909823891364,0.027158922130278,0,SIDT1
2,0,0,0,0,0,0,0,0,0,0,SIDT2
2,0,0,0,0,0,0,0,0,0,0,AAGAB
180,0.00063653723742839,0.00466793974114152,0.000424358158285593,0.000424358158285593,0.00106089539571398,0.000848716316571186,0.000848716316571186,0.00466793974114152,0.000848716316571186,0,C4orf17
2,0,0,0,0,0,0,0,0,0,0,SCYL1
24,0.0129429238277106,0.0129429238277106,0.0173986844897093,0.00275832802885635,0.0417992785911309,0.00297050710799915,0.0142159983025674,0.013579461065139,0.0152768936982813,0,ABCE1
4,0.0562274559728411,0.0326755781879907,0.0645024400594101,0.00954805856142584,0.074050498620836,0.0286441756842775,0.0526204116274135,0.0379800551665606,0.047952471886272,0,TEN1-CDK3
2,0,0,0,0,0,0,0,0,0,0,ZNF117
2,0,0,0,0,0,0,0,0,0,0,ZNF114
3,0.000848716316571186,0.00254614894971356,0.000212179079142797,0,0.00190961171228517,0.00063653723742839,0.00063653723742839,0.00233396987057076,0.000424358158285593,0,SEZ6L
4,0.00275832802885635,0.00933587948228305,0.00445576066199873,0.00106089539571398,0.0212179079142797,0.00127307447485678,0.00445576066199873,0.0059410142159983,0.00806280500742627,0,PRKAR2A
2,0,1,0,0,0,1,0,0,0,0,PRKAR2B
5,0.0184595798854233,0.0161256100148525,0.0188839380437089,0.00275832802885635,0.0235518777848504,0.00912370040314025,0.0203691915977085,0.0120942075111394,0.0212179079142797,0,MAGT1
3,0.0190961171228517,0.0110333121154254,0.0275832802885635,0.00360704434542754,0.034373010821133,0.0110333121154254,0.0207935497559941,0.0186717589645661,0.0171865054105665,0,ITGA2B
2,0,0,0,0,0,0,0,0,0,0,PHACTR1
2,0,0,0,0,0,0,0,0,0,0,OR2K2
2,0,0,1,0,0,0,0,0,1,0,PHACTR3
2,0,0,0,0,0,0,0,1,0,0,CASP5
2,0,1,0,0,1,0,0,1,0,0,NR1D1
3,0,1,0,0,0.333333333333333,0,0,0.333333333333333,0,0,NR1D2
2,0,0,0,0,0,0,0,0,0,0,OGFR
14,0.0668364099299809,0.0381922342457034,0.0757479312539784,0.0129429238277106,0.0916613621896881,0.035433906216847,0.0575005304476979,0.0445576066199873,0.0549543814979843,0,PTCH2
2,0,0,0,1,0,0,0,0,0,1,PTCH1
2,0,0,0,0,0,0,0,0,0,0,TIMM44
2,0,0,0,0,0,0,0,0,0,0,RAD9B
22,0.0645024400594101,0.0396774877997029,0.0787184383619775,0.0129429238277106,0.0933587948228305,0.0356460852959898,0.0617441120305538,0.047952471886272,0.0560152768936983,0,RAD9A
2,0,0,0,0,0,0,0,0,0,0,ERGIC2
3,0,0,0,0,0,0,0,0,0,0,ERGIC3
2,0,0,0,0,0,0,0,0,0,0,ERGIC1
2,0,0,0,0,0,0,0,0,0,0,B3GAT3
2,0,0,0,0,0,0,0,0,0,0,B3GAT2
2,0,0,0,0,0,0,0,0,0,0,B3GAT1
2,0,0,0,0,0,0,0,0,0,0,CALM2
2,0,0,0,0,0,0,0,0,0,0,CALM3
2,0,0,0,0,0,0,0,0,0,0,SPG21
13,0.0664120517716953,0.0398896668788457,0.0768088266496923,0.0137916401442818,0.09484404837683,0.0358582643751326,0.0608953957139826,0.0462550392531296,0.0572883513685551,0,SPG20
2,0,0,0,0,0,0,0,0,0,0,GSDMB
2,0,0,0,0,0,0,0,0,0,0,GSDMC
10,0.0551665605771271,0.0318268618714195,0.0689582007214089,0.010396774877997,0.0787184383619775,0.0322512200297051,0.049013367281986,0.0360704434542754,0.047952471886272,0,GSDMD
2,0,0,0,0,0,0,0,0,0,0,UPK1A
2,0,0,0,0,0,0,0,0,0,0,UPK1B
2,0,0,0,0,0,0,0,0,0,0,DLGAP2
2,0,0,0,0,0,0,0,0,0,0,DLGAP3
2,0,0,0,0,0,0,0,0,0,0,DLGAP1
2,1,0,0,0,0,0,1,0,0,0,DLGAP4
96,0.0560152768936983,0.0299172501591343,0.0721408869085508,0.010396774877997,0.0706556333545512,0.0301294292382771,0.0528325907065563,0.0371313388499894,0.0462550392531296,0,DLGAP5
4,0.0318268618714195,0.0188839380437089,0.0509229789942712,0.00551665605771271,0.0451941438574157,0.0180352217271377,0.0371313388499894,0.0233396987057076,0.0297050710799915,0,OIP5
3,0.0297050710799915,0.0188839380437089,0.023976235943136,0.00530447697856991,0.0326755781879907,0.0131551029068534,0.0210057288351369,0.0197326543602801,0.0237640568639932,0,FAM169A
