1825,0,NLGN2
885,0,NLGN3
916,0,ARHGAP44
338,0,CASQ1
633,0,ARHGAP40
1463,0,CASQ2
878,0,NUP107
110,0,TNNT1
907,0,CDC42EP3
635,0,CDC42EP2
257,0,CDC42EP1
582,0,CDC42EP5
183,0,CDC42EP4
10,0,GPRC6A
473,0,TBKBP1
1250,0,RAB36
2009,0,ABI2
1259,0,ABI3
788,1,ABI1
297,0,TESC
380,0,OTP
22,0,PITPNC1
20,0,KRT39
1110,0,ZBED5
71,0,KRT31
184,0,KRT32
2,0,KRT35
148,0,DHDDS
5,0,KRT37
383,0,KRT36
370,0,IL21
6,0,IL20
149,0,IL22
60,0,IL25
877,0,IL24
533,0,IL27
55,0,IL26
370,0,TIMP1
758,0,CLINT1
186,0,C4B
482,0,AHRR
759,0,ADCY4
1011,0,ADCY5
69,0,ADCY6
1131,0,ADCY7
354,0,ADCY1
1497,0,ADCY2
1462,0,ADCY3
28,0,ADCY8
496,0,ADCY9
1492,0,NUCKS1
229,0,DDI2
431,0,DDI1
852,0,XRCC1
1719,0,XRCC3
485,0,XRCC2
445,0,XRCC5
211,0,XRCC4
587,0,XRCC6
1757,0,MEIS3
528,0,MEIS2
470,0,MEIS1
362,0,PCDHAC1
1221,0,CTLA4
383,0,RSL1D1
470,0,DDX60
667,0,H2AFY2
2,0,ADCY10
2,0,KCNA6
92,0,KCNA7
213,0,KCNA4
752,0,KCNA5
431,0,KCNA2
882,0,KCNA3
428,0,KCNA1
238,0,OPTN
8,0,BHMT
966,0,OPTC
1016,0,FTL
453,0,MCCC1
1143,0,ZDHHC1
401,0,ACACB
481,0,ZDHHC3
152,0,PLA2G2A
87,0,PLA2G2C
226,0,PLA2G2E
471,0,PLA2G2D
6,0,PLA2G2F
146,0,SLC22A9
7,0,OR8J3
766,0,CYFIP1
535,0,CYFIP2
18,0,TTPAL
60,0,LHPP
251,0,NUP188
1111,0,GLT8D1
421,0,OR2C3
2,0,OR2C1
31,0,REG1A
24,0,REG1B
263,0,HES1
225,0,BPNT1
1613,1,BCL9
384,1,BCL6
1006,1,BCL3
909,1,BCL2
118,0,CLMN
46,0,MTM1
731,0,CSNK1G2
619,0,CSNK1G3
422,0,CSNK1G1
910,0,SERPINB1
109,0,SERPINB3
278,0,SERPINB2
179,0,SERPINB5
17,0,SERPINB4
55,0,SERPINB6
1027,0,FAM76B
1068,0,FAM76A
837,0,EXD3
401,0,EXD1
129,0,ELP4
521,0,ELP3
977,0,ELP2
369,0,SPRYD3
910,0,SPRYD4
1725,0,KLHDC9
1186,0,KLHDC4
823,0,KLHDC2
331,0,KLHDC3
796,1,ASXL1
365,0,TRIM51
306,1,ASXL2
1217,0,HDDC3
1019,0,DONSON
141,0,SPATA13
21,0,SPATA12
551,0,VCP
956,0,RINL
191,0,HFE
233,0,ZNF213
773,0,GPR143
344,0,SLC7A9
1098,0,HLA-C
1253,0,ZWINT
23,0,CITED2
475,0,CITED1
246,0,SLC7A4
43,0,CITED4
252,0,DAGLA
227,0,DAGLB
356,0,SLC7A2
1884,0,PHF21B
86,0,CSNK1A1L
104,0,HIRA
521,0,RIN1
954,0,RIN3
537,0,RIN2
531,0,WWOX
560,0,RIPK1
1863,0,RIPK3
308,0,RIPK2
640,0,PDCL
427,0,SRCIN1
113,0,CRABP1
424,0,CRABP2
1022,0,ZNF419
1383,0,ZNF418
941,0,ZNF417
441,0,ZNF416
740,0,ZNF414
293,0,ZNF410
208,0,SSSCA1
31,0,POU4F1
386,0,POU4F2
2,0,POU4F3
376,0,FBF1
186,0,RASA4
1636,0,RASA1
1520,0,RASA2
896,0,RASA3
49,0,ACTN3
157,0,ACTN2
1614,0,NGFRAP1
717,0,ACTN4
406,1,EZR
1081,0,N6AMT1
803,0,N6AMT2
5,0,OR5J2
109,0,ABLIM1
427,0,ABLIM3
110,0,ABLIM2
1189,0,FAM172A
947,0,GSTZ1
585,0,RAB6A
445,0,RAB6B
606,0,GDI2
1225,0,GDI1
317,0,TTC30A
346,0,TFAP4
292,0,SPDL1
293,0,CALM1
700,0,NAPEPLD
132,0,SPTA1
988,0,HGSNAT
2192,0,CRYZL1
477,0,SERF2
1142,0,NAT9
115,0,NAT2
755,0,NAT1
90,0,NAT6
1395,0,FAIM2
523,0,PARG
396,0,CCBL1
35,0,CCBL2
1576,0,COX5A
1103,0,COX5B
345,0,SIPA1L1
915,0,SIPA1L3
596,0,PPFIA4
405,0,SLC35F5
158,0,PPFIA1
199,0,SUPV3L1
218,0,TSPAN12
261,0,TSPAN15
793,0,TSPAN17
648,0,MT-ND1
690,0,MT-ND2
715,0,MT-ND3
702,0,MT-ND4
384,0,MT-ND5
265,0,MT-ND6
248,0,EAF1
318,0,EAF2
244,0,FOXF1
240,0,FOXF2
51,0,RBPJL
876,0,TMUB1
15,0,SCGB1C1
726,0,SYNCRIP
1125,0,TRIM34
472,0,MMAA
769,0,MMAB
102,0,TYR
405,0,ALG8
684,0,ALG2
850,0,ALG3
935,0,ALG1
579,0,ALG6
571,0,ALG5
213,1,WIF1
1213,0,PDXP
144,0,RNGTT
600,0,KIAA1324L
458,0,INSL3
264,0,RTN1
549,0,RDM1
1006,0,CLUL1
418,0,PDX1
256,0,FECH
331,0,ADAP1
1035,0,ADAP2
755,0,KLHL10
43,0,KLHL12
781,0,KLHL13
186,0,KLHL15
289,0,KLHL18
394,0,DMRTB1
1496,0,GABPB2
222,0,NPTX1
135,0,IER2
203,0,PARP1
28,0,SLN
945,0,SLK
1267,0,SLA
1291,0,PHYH
364,0,NOTCH4
899,0,MEAF6
2,0,MSMP
62,0,AZIN1
907,1,NOTCH1
1000,1,NOTCH2
1105,0,NOTCH3
252,0,ZNF658
429,0,ZNF655
1345,0,TCTEX1D2
253,0,ZNF653
5,0,TCTEX1D4
62,0,RAPGEF5
841,0,RAPGEF6
911,0,N4BP2L2
265,0,RAPGEF1
60,0,RAPGEF2
675,0,RAPGEF3
699,1,ZNF384
1128,0,ZNF383
1799,0,ZNF382
317,0,POC1B
31,0,KRTAP3-2
6,0,KRTAP3-1
324,0,SNRPD3
336,0,SNRPD2
392,0,SNRPD1
120,0,NMBR
54,0,PKP2
2036,0,IFT46
272,0,RFX6
415,0,GLDN
196,0,GLDC
42,1,ROS1
318,0,PC
102,0,DHRS12
694,0,DHRS13
68,0,MAP1LC3B2
233,0,LGMN
1621,0,CAPS2
861,0,EHMT1
2043,0,EHMT2
72,0,ADIPOR2
407,0,ADIPOR1
246,0,MARK4
1034,0,MARK1
1076,0,MARK2
159,0,MARK3
195,0,IGBP1
249,0,TPD52L2
385,0,TPD52L3
393,0,TPD52L1
458,0,EFCAB10
1334,0,ACTR3C
843,0,ACTR3B
185,0,WDR13
768,0,WDR12
715,0,WDR11
1724,0,WDR17
577,0,WDR18
510,0,USP9X
64,0,KRT33B
587,0,KRT33A
358,0,ZFP42
292,0,PLOD3
693,0,HPCA
680,0,HTATIP2
2,0,DEFB136
24,0,DEFB132
22,0,NKX6-1
1438,0,KCTD13
1417,0,KCTD12
510,0,KCTD11
1470,0,KCTD10
234,0,KCTD19
252,0,KCTD18
121,0,H6PD
80,0,SLC25A37
403,0,SLC25A36
479,0,SLC25A31
529,0,SLC25A32
284,0,SLC25A38
691,0,TUBA1C
198,0,TUBA1B
788,0,TUBA1A
227,0,IGSF10
628,0,FAM102B
413,0,FAM102A
2266,0,RIMKLB
30,0,PGBD3
992,0,PCID2
1180,0,POMT1
762,0,POMT2
1113,0,AIF1
287,0,AGPS
1118,0,STOM
376,0,NPLOC4
145,0,HOXA10
355,0,LGALS13
1100,0,SSBP4
201,0,PBLD
626,0,PGPEP1
688,0,SMU1
701,0,SSRP1
1346,0,IRAK1BP1
456,0,C1orf174
379,0,GPC1
968,0,GPC2
456,1,GPC3
365,0,GPC4
516,1,GPC5
557,0,GPC6
335,0,MPHOSPH10
200,0,C14orf119
388,0,GSC2
29,0,ORM1
168,0,WHSC1
342,0,ALDH3A2
619,0,ALDH3A1
528,0,EDC3
1082,0,EDC4
402,0,ATXN3L
866,0,ANAPC1
1240,0,ANAPC2
323,0,ANAPC5
1436,0,ANAPC4
391,0,ANAPC7
1014,0,PSMD14
440,0,PSMD11
765,0,PSMD10
305,0,PSMD13
578,0,PSMD12
1461,0,EXOSC10
22,0,MYLK2
42,0,MYLK3
571,0,MOB2
879,0,PQLC2
743,0,MOB4
181,0,LOXHD1
587,0,KIAA1524
849,0,KIAA1522
363,0,EEF1A1
851,0,EEF1A2
616,0,LRRC20
1790,0,CHP1
373,0,HMGB4
626,0,GCHFR
727,0,MNDA
406,0,MND1
1211,1,FGFR1OP
443,0,TPSAB1
217,1,CALR
1290,0,CALU
489,0,CHPF
501,0,DHX29
139,0,AGMO
975,0,RIBC1
699,0,CLEC1B
176,0,RFFL
320,0,RFC2
641,0,RAB27A
1058,0,RAB27B
33,0,FAM122A
1512,0,FAM122B
581,0,FAM122C
