sample	TCGA_GTEX_main_category
GTEX-145MH-2326-SM-5O9AW	GTEX Testis
GTEX-145MO-0126-SM-5S2QU	GTEX Testis
GTEX-14753-0626-SM-5Q5CY	GTEX Testis
GTEX-147F4-0626-SM-5LUAK	GTEX Testis
GTEX-147JS-0126-SM-5S2TW	GTEX Testis
GTEX-14A6H-2326-SM-5Q5B5	GTEX Testis
GTEX-14ABY-0626-SM-5Q5C9	GTEX Testis
GTEX-N7MS-0126-SM-3TW8O	GTEX Testis
GTEX-NFK9-0126-SM-3LK5H	GTEX Testis
GTEX-NPJ8-1226-SM-3MJHM	GTEX Testis
GTEX-O5YT-2126-SM-3MJGD	GTEX Testis
GTEX-OHPM-2126-SM-3LK75	GTEX Testis
GTEX-OIZI-0126-SM-3NB13	GTEX Testis
GTEX-OOBJ-2126-SM-3NB1N	GTEX Testis
GTEX-OOBK-2126-SM-3LK5T	GTEX Testis
GTEX-OXRL-2126-SM-3NM98	GTEX Testis
GTEX-P4PQ-2126-SM-3NMCV	GTEX Testis
GTEX-P4QR-0226-SM-3NMCH	GTEX Testis
GTEX-P4QS-2126-SM-3NMCF	GTEX Testis
GTEX-PLZ5-1526-SM-3P5ZX	GTEX Testis
GTEX-PLZ6-1226-SM-3P5ZS	GTEX Testis
GTEX-PW2O-1426-SM-48TCD	GTEX Testis
GTEX-Q2AH-1526-SM-48TZG	GTEX Testis
GTEX-Q2AI-1226-SM-48U14	GTEX Testis
GTEX-QDVN-1926-SM-48TZ8	GTEX Testis
GTEX-QEG4-0126-SM-48TZE	GTEX Testis
GTEX-QEG5-0126-SM-4R1JR	GTEX Testis
GTEX-QLQW-1026-SM-447A9	GTEX Testis
GTEX-QMRM-1526-SM-4R1K6	GTEX Testis
GTEX-QV31-1126-SM-4R1K4	GTEX Testis
GTEX-QV44-1726-SM-4R1KG	GTEX Testis
GTEX-R55C-1426-SM-48FED	GTEX Testis
GTEX-R55D-0126-SM-48FEL	GTEX Testis
GTEX-R55E-0726-SM-48FCZ	GTEX Testis
GTEX-REY6-0126-SM-48FDT	GTEX Testis
GTEX-RM2N-1326-SM-48FCW	GTEX Testis
GTEX-RN64-2326-SM-48FDW	GTEX Testis
GTEX-RUSQ-2126-SM-47JXK	GTEX Testis
GTEX-RWSA-2426-SM-47JXR	GTEX Testis
GTEX-S3XE-1526-SM-4AD5A	GTEX Testis
GTEX-S4Q7-1226-SM-4AD5I	GTEX Testis
GTEX-S4Z8-2126-SM-4AD5H	GTEX Testis
GTEX-S7SE-0326-SM-4AT5Q	GTEX Testis
GTEX-S95S-1126-SM-4B64E	GTEX Testis
GTEX-SIU7-1526-SM-4BRWQ	GTEX Testis
GTEX-SNMC-1026-SM-4DM7K	GTEX Testis
GTEX-SNOS-1126-SM-4DM67	GTEX Testis
GTEX-SUCS-1326-SM-4DM5T	GTEX Testis
GTEX-T5JC-0726-SM-4DM55	GTEX Testis
GTEX-T6MN-2026-SM-4DM7L	GTEX Testis
GTEX-T8EM-0126-SM-4DM5R	GTEX Testis
GTEX-TKQ2-1526-SM-4DXUN	GTEX Testis
GTEX-U3ZH-1526-SM-4DXV1	GTEX Testis
GTEX-U3ZM-1626-SM-4DXSK	GTEX Testis
GTEX-U8T8-1126-SM-4DXUE	GTEX Testis
GTEX-U8XE-0126-SM-4E3I3	GTEX Testis
GTEX-V1D1-2126-SM-4JBH4	GTEX Testis
GTEX-V955-1926-SM-4KL1L	GTEX Testis
GTEX-WFG8-1926-SM-4LVM1	GTEX Testis
GTEX-WH7G-1926-SM-4LVMM	GTEX Testis
GTEX-WHSB-2126-SM-4M1XF	GTEX Testis
GTEX-WHSE-0426-SM-4M1XO	GTEX Testis
GTEX-WK11-0326-SM-4OOS6	GTEX Testis
GTEX-WOFM-1126-SM-4OOSB	GTEX Testis
GTEX-WVJS-2726-SM-4MVNU	GTEX Testis
GTEX-WVLH-2626-SM-4MVNV	GTEX Testis
GTEX-WY7C-2226-SM-4ONCS	GTEX Testis
GTEX-WZTO-0326-SM-4PQYZ	GTEX Testis
GTEX-X261-2326-SM-4PQYU	GTEX Testis
GTEX-X3Y1-2626-SM-4PQZI	GTEX Testis
GTEX-X4XX-0726-SM-4QARS	GTEX Testis
GTEX-X5EB-2026-SM-4E3KA	GTEX Testis
GTEX-XAJ8-1326-SM-47JYT	GTEX Testis
GTEX-XBED-2026-SM-4AT5D	GTEX Testis
GTEX-XLM4-1526-SM-4AT6D	GTEX Testis
GTEX-XMK1-2026-SM-4B65K	GTEX Testis
GTEX-XPT6-1626-SM-4B655	GTEX Testis
GTEX-XQ3S-2726-SM-4BOP2	GTEX Testis
GTEX-Y111-2426-SM-4TT23	GTEX Testis
GTEX-Y3I4-2026-SM-4TT6Z	GTEX Testis
GTEX-Y5V6-1726-SM-4VDSZ	GTEX Testis
GTEX-Y8E4-2226-SM-5LU94	GTEX Testis
GTEX-Y9LG-1726-SM-4VBQE	GTEX Testis
GTEX-YB5E-1926-SM-5IFIG	GTEX Testis
GTEX-YEC3-1726-SM-5IFIK	GTEX Testis
GTEX-YEC4-1526-SM-4W1YU	GTEX Testis
GTEX-YF7O-2026-SM-4W1YE	GTEX Testis
GTEX-YFCO-1726-SM-4W21S	GTEX Testis
GTEX-Z93S-1726-SM-5HL8G	GTEX Testis
GTEX-ZA64-1626-SM-5CVME	GTEX Testis
GTEX-ZAB4-0126-SM-5CVMG	GTEX Testis
GTEX-ZAB5-2426-SM-5CVMW	GTEX Testis
GTEX-ZLFU-2026-SM-4WWG2	GTEX Testis
GTEX-ZPU1-2126-SM-57WED	GTEX Testis
GTEX-ZT9W-2226-SM-57WFU	GTEX Testis
GTEX-ZT9X-1426-SM-5DUX1	GTEX Testis
GTEX-ZTX8-1126-SM-51MRM	GTEX Testis
GTEX-ZUA1-2726-SM-59HLJ	GTEX Testis
GTEX-ZV7C-2026-SM-5NQ8F	GTEX Testis
GTEX-ZVTK-0126-SM-57WDG	GTEX Testis
GTEX-ZVZP-2226-SM-57WBF	GTEX Testis
GTEX-ZY6K-1726-SM-5GZX8	GTEX Testis
GTEX-ZYFC-0126-SM-5GIEH	GTEX Testis
GTEX-ZYT6-2726-SM-5GICP	GTEX Testis
GTEX-111CU-0926-SM-5EGIK	GTEX Stomach
GTEX-111YS-1126-SM-5GZYQ	GTEX Stomach
GTEX-1122O-1926-SM-5EGIQ	GTEX Stomach
GTEX-117YW-2226-SM-5N9DB	GTEX Stomach
GTEX-11DXX-1326-SM-5GIDZ	GTEX Stomach
GTEX-11EI6-2426-SM-5PNVS	GTEX Stomach
GTEX-11EM3-1026-SM-5A5KL	GTEX Stomach
GTEX-11EQ9-1226-SM-5987E	GTEX Stomach
GTEX-11GSP-2126-SM-5HL5E	GTEX Stomach
GTEX-11I78-1726-SM-5A5M3	GTEX Stomach
GTEX-11NSD-1426-SM-5HL67	GTEX Stomach
GTEX-11NUK-2426-SM-5BC4U	GTEX Stomach
GTEX-11P82-0726-SM-5PNYL	GTEX Stomach
GTEX-11TT1-0726-SM-5GU5A	GTEX Stomach
GTEX-11VI4-0326-SM-5EQ6L	GTEX Stomach
GTEX-11WQK-2626-SM-5EQ4K	GTEX Stomach
GTEX-1211K-1426-SM-5FQTF	GTEX Stomach
GTEX-12696-1726-SM-5EQLH	GTEX Stomach
GTEX-12BJ1-1726-SM-5HL9B	GTEX Stomach
GTEX-12C56-0526-SM-5FQST	GTEX Stomach
GTEX-12WS9-1426-SM-5FQT3	GTEX Stomach
GTEX-12WSD-2326-SM-59HKQ	GTEX Stomach
GTEX-12WSJ-0926-SM-5P9JD	GTEX Stomach
GTEX-13111-1226-SM-5GCNC	GTEX Stomach
GTEX-13113-0726-SM-5LZUF	GTEX Stomach
GTEX-131XE-2226-SM-5PNYX	GTEX Stomach
GTEX-131XF-1226-SM-5HL8V	GTEX Stomach
GTEX-131XG-1226-SM-5EGH9	GTEX Stomach
GTEX-132AR-2426-SM-5IFFD	GTEX Stomach
GTEX-132QS-1826-SM-5IFFN	GTEX Stomach
GTEX-1339X-1426-SM-5K7YO	GTEX Stomach
GTEX-1399R-1126-SM-5IFIO	GTEX Stomach
GTEX-139D8-2326-SM-5IFGE	GTEX Stomach
GTEX-139YR-1926-SM-5LZXM	GTEX Stomach
GTEX-13CF3-1926-SM-5K7WF	GTEX Stomach
GTEX-13D11-2126-SM-5IFH2	GTEX Stomach
GTEX-13FH7-1026-SM-5IJGF	GTEX Stomach
GTEX-13FTW-1726-SM-5KM2B	GTEX Stomach
GTEX-13FTX-0726-SM-5N9BI	GTEX Stomach
GTEX-13O21-0926-SM-5IFGT	GTEX Stomach
GTEX-13O3Q-2126-SM-5KM4C	GTEX Stomach
GTEX-13O61-1126-SM-5L3FI	GTEX Stomach
GTEX-13OVI-2426-SM-5KM4J	GTEX Stomach
GTEX-13OW6-2526-SM-5IJEC	GTEX Stomach
GTEX-13PVQ-2126-SM-5L3FW	GTEX Stomach
GTEX-13QBU-1126-SM-5LU44	GTEX Stomach
GTEX-13RTK-0226-SM-5RQHR	GTEX Stomach
GTEX-13S7M-1826-SM-5RQK6	GTEX Stomach
GTEX-13X6H-1626-SM-5Q5CT	GTEX Stomach
GTEX-144GN-1226-SM-5O991	GTEX Stomach
GTEX-145ME-1026-SM-5O9B4	GTEX Stomach
GTEX-145MO-2226-SM-5Q5BN	GTEX Stomach
GTEX-146FH-2126-SM-5SI9U	GTEX Stomach
GTEX-146FR-2026-SM-5NQAI	GTEX Stomach
GTEX-14BMU-1126-SM-5RQJ8	GTEX Stomach
GTEX-14BMV-2226-SM-5RQHX	GTEX Stomach
GTEX-NFK9-1526-SM-3LK7B	GTEX Stomach
GTEX-O5YW-1526-SM-3MJGL	GTEX Stomach
GTEX-OHPK-1526-SM-3MJGM	GTEX Stomach
GTEX-OIZH-1526-SM-3NB1J	GTEX Stomach
GTEX-OOBJ-1526-SM-3NB1Q	GTEX Stomach
GTEX-OXRK-1626-SM-3NB17	GTEX Stomach
GTEX-P4PP-1526-SM-3P61M	GTEX Stomach
GTEX-P4PQ-1526-SM-3NMCK	GTEX Stomach
GTEX-P4QT-1526-SM-3NMCT	GTEX Stomach
GTEX-P78B-1826-SM-3P5YX	GTEX Stomach
GTEX-PLZ6-0826-SM-3P61K	GTEX Stomach
GTEX-POMQ-0826-SM-3P61H	GTEX Stomach
GTEX-PW2O-1226-SM-48TCH	GTEX Stomach
GTEX-PWN1-1526-SM-48TDA	GTEX Stomach
GTEX-PWOO-1226-SM-48TCO	GTEX Stomach
GTEX-PX3G-1526-SM-48U11	GTEX Stomach
GTEX-Q2AH-1126-SM-48TZM	GTEX Stomach
GTEX-Q2AI-0826-SM-48TZO	GTEX Stomach
GTEX-Q734-1026-SM-48U16	GTEX Stomach
GTEX-QCQG-0526-SM-48U2A	GTEX Stomach
GTEX-QDVJ-1426-SM-48U1Y	GTEX Stomach
GTEX-QDVN-1226-SM-48TZ5	GTEX Stomach
GTEX-QLQ7-0826-SM-447B3	GTEX Stomach
GTEX-QLQW-0726-SM-447AA	GTEX Stomach
GTEX-QMRM-1126-SM-447BN	GTEX Stomach
GTEX-QV31-0626-SM-447C5	GTEX Stomach
GTEX-QV44-1226-SM-4R1KE	GTEX Stomach
GTEX-QXCU-1926-SM-48FE4	GTEX Stomach
