Gene	GeneType
KLF13	wound
PDK4	wound
DDX39B	wound
DST	wound
FBXO7	wound
LOX	wound
VCL	wound
ATIC	wound
GBA2	wound
NTRK3	wound
PEG3	wound
VDAC2	wound
IGF1	wound
ATP1B1	wound
BMPR1B	wound
GDF9	wound
MTDH	wound
CNOT1	wound
COPS2	wound
FMO5	wound
NPHP1	wound
PCED1A	wound
POLR2B	wound
CILP	wound
LPCAT4	wound
SLC1A1	wound
SOX9	wound
DIABLO	wound
OCLN	wound
PPARD	wound
TUBGCP3	wound
ZNF618	wound
ATP2A3	wound
CDS1	wound
MRPL52	wound
PDE4A	wound
BAALC	wound
FBN1	wound
HADHA	wound
IFI30	wound
INTS3	wound
MAN2A2	wound
PEBP4	wound
PPARA	wound
SLC5A1	wound
TGFB3	wound
TGFBR1	wound
ALDH2	wound
ARF5	wound
CATSPER2	wound
CLN3	wound
CYP24A1	wound
DDR1	wound
EDNRB	wound
EIF2A	wound
FHOD3	wound
FUT8	wound
INPP5A	wound
NPC2	wound
ORMDL1	wound
PANK1	wound
PDCD11	wound
PRKAG1	wound
SGSM3	wound
CD82	wound
CHD3	wound
DRG1	wound
ESD	wound
FBXL4	wound
FOXO1	wound
HR	wound
LAMC1	wound
MCHR1	wound
NCOA2	wound
PPP6R2	wound
SLC27A1	wound
ANPEP	wound
BAG6	wound
CACNB2	wound
CIB2	wound
COL1A2	wound
CYP19A1	wound
DEDD	wound
GAPDH	wound
IGFBP5	wound
PEG10	wound
SCD5	wound
TAP1	wound
THAP11	wound
TRAP1	wound
WTAP	wound
ARPC1A	wound
IGFALS	wound
INPPL1	wound
MYC	wound
OGT	wound
RAD54L	wound
RXRA	wound
SIX1	wound
SLC15A1	wound
VLDLR	wound
ADIPOR2	wound
ALG2	wound
ANAPC5	wound
ATG4A	wound
CA11	wound
DGKZ	wound
GFPT1	wound
GRB10	wound
HSDL2	wound
LAMP5	wound
LMNA	wound
MDGA1	wound
MITF	wound
PPP1CB	wound
TLR4	wound
VEGFA	wound
ADAM17	wound
AGPAT3	wound
AP3S2	wound
CAND2	wound
CAST	wound
CHD6	wound
CHD7	wound
CIT	wound
CXCL12	wound
FLOT2	wound
GUCD1	wound
HABP2	wound
MAP3K3	wound
MTHFR	wound
NCOR2	wound
RAB1A	wound
SLC3A1	wound
BIN1	wound
COPS4	wound
EPHX2	wound
FABP6	wound
FBXO32	wound
GAL	wound
GALP	wound
GLI1	wound
GP2	wound
KIF21A	wound
MEF2D	wound
PLAA	wound
POSTN	wound
PTCD3	wound
RAB28	wound
SOX10	wound
SRSF9	wound
STAT5B	wound
TLR1	wound
TNS3	wound
UBE2O	wound
ZFAND5	wound
ACOX2	wound
ANGPTL2	wound
BSCL2	wound
CD14	wound
CDK16	wound
DDX54	wound
FAM219B	wound
FBXO11	wound
FOLR1	wound
HEY2	wound
HLA-DOA	wound
HOXA3	wound
HSD17B8	wound
HTR4	wound
KCNJ5	wound
MAL2	wound
NCALD	wound
NPEPL1	wound
PSAP	wound
RGS16	wound
SCARB1	wound
SLC35A4	wound
SMTN	wound
SPOCK3	wound
TAB1	wound
VWF	wound
ACTN1	wound
AIMP1	wound
ARNTL	wound
CRY2	wound
DUOX1	wound
FDPS	wound
FGFR2	wound
FN1	wound
FUBP3	wound
GPAM	wound
HMGCR	wound
HSD11B1	wound
HSF1	wound
IGF2R	wound
MAN1C1	wound
MAPK8	wound
MARCO	wound
MED1	wound
NCF1	wound
NPY	wound
OPTN	wound
PATL1	wound
PCDH7	wound
PIP4K2A	wound
PKNOX2	wound
POLR3D	wound
PPP2R5A	wound
RPL5	wound
SAR1A	wound
SKP2	wound
SRSF11	wound
TBCD	wound
TEAD1	wound
TRA2B	wound
USP7	wound
XRCC6	wound
BZW1	wound
CALM3	wound
CDC123	wound
CFL2	wound
CPT2	wound
EIF3D	wound
GALNS	wound
GAS6	wound
GLT8D1	wound
GPANK1	wound
KCNJ3	wound
KLF4	wound
MAP2K2	wound
MTMR14	wound
NLN	wound
PECAM1	wound
PLP1	wound
PPP2CA	wound
PSORS1C2	wound
SDHD	wound
SEMA4D	wound
SLC9A3R1	wound
SPCS1	wound
TMBIM6	wound
TMEM63A	wound
TPM1	wound
TRAPPC9	wound
TSC1	wound
TSPAN9	wound
WDTC1	wound
ABCG2	wound
AP1B1	wound
BECN1	wound
CCNG1	wound
CES3	wound
CNN1	wound
COPS3	wound
DMD	wound
DNAJA4	wound
EIF2B1	wound
FLOT1	wound
FUT1	wound
GRB2	wound
GSTZ1	wound
GTPBP1	wound
HDAC3	wound
IKBKG	wound
ITIH1	wound
LDHB	wound
LPAR3	wound
MAGI3	wound
MSTN	wound
NSMCE4A	wound
PCSK2	wound
PDIA4	wound
PISD	wound
PLK3	wound
PTN	wound
PTPMT1	wound
RSL1D1	wound
SLC35B2	wound
SQLE	wound
SUFU	wound
TLR7	wound
YLPM1	wound
A2M	wound
AFTPH	wound
ARNT	wound
CA3	wound
CANX	wound
CAT	wound
COL5A2	wound
COPG2	wound
CPA1	wound
CPT1A	wound
DKK3	wound
DSPP	wound
EPB41	wound
