Gene	GeneType
MEST	stress
NLGN3	stress
NLGN4X	stress
NLGN4Y	stress
SERHL2	stress
SLC2A14	stress
SLC2A5	stress
SLC2A7	stress
VDR	stress
AKR1C1	stress
CCNJ	stress
FBXL3	stress
LGALS13	stress
LGALS14	stress
LGALS16	stress
PPARG	stress
SEC14L3	stress
SKP2	stress
SLC17A3	stress
SLC22A11	stress
SLC22A23	stress
SLC22A4	stress
TINAG	stress
AKR1B15	stress
B3GALT4	stress
CCNI2	stress
FBXL15	stress
FBXL17	stress
FBXL19	stress
FBXL2	stress
LGALS9	stress
SLC17A1	stress
SLC17A2	stress
SLC17A4	stress
SLC17A6	stress
SLC17A8	stress
SLC22A1	stress
SLC22A12	stress
SLC22A17	stress
SLC37A1	stress
SLC37A4	stress
VRK3	stress
ABHD14A	stress
ABHD14B	stress
AKR1C2	stress
AKR1C4	stress
AKR1C8P	stress
AKR7A3	stress
CLC	stress
CNN1	stress
CRYAB	stress
CTSL	stress
CTSW	stress
EPHX3	stress
EPHX4	stress
FBXL13	stress
FBXL14	stress
FBXL22	stress
FBXL5	stress
FBXL6	stress
GPR139	stress
GPR142	stress
LGALS1	stress
LGALS12	stress
LGALS9B	stress
LGALS9C	stress
MFSD1	stress
NR1D2	stress
NR5A2	stress
SEC14L5	stress
SLC16A10	stress
SLC22A15	stress
SLC22A3	stress
SLC22A31	stress
SVOPL	stress
ACP2	stress
CCNF	stress
CCNI	stress
CCNO	stress
CSNK1G1	stress
DHRS2	stress
GLIPR1	stress
HSPB8	stress
MAPRE2	stress
MAPRE3	stress
NR1H4	stress
PI15	stress
RARB	stress
RARG	stress
SEC14L2	stress
SEC14L4	stress
SKP1	stress
SLC22A10	stress
SLC22A13	stress
SLC22A14	stress
SLC22A16	stress
SLC22A2	stress
SLC22A24	stress
SLC22A25	stress
SLC22A5	stress
SLC22A6	stress
SLC22A7	stress
SLC22A8	stress
SLC22A9	stress
SLC26A7	stress
SLC31A2	stress
ACP3	stress
ACSBG1	stress
ARRDC5	stress
CCNA2	stress
CCNE1	stress
CLEC18A	stress
CLEC18B	stress
CLEC18C	stress
CRISP1	stress
CRISP2	stress
CRISP3	stress
CRISPLD1	stress
CSNK1A1L	stress
DNAJC12	stress
GLIPR1L1	stress
GLIPR1L2	stress
GOLT1A	stress
HSPB2	stress
HSPB3	stress
NR1D1	stress
NR1H2	stress
NR1H3	stress
NR1I2	stress
R3HDML	stress
RARA	stress
RORC	stress
SLC16A4	stress
SLC7A2	stress
TTBK1	stress
VRK1	stress
VRK2	stress
ZFP36	stress
ACP4	stress
ACP6	stress
ACSL6	stress
AKR7A2	stress
CCNJL	stress
CCNP	stress
ESRP1	stress
ESRP2	stress
GCNT1	stress
LIPA	stress
LRPAP1	stress
MAPK8	stress
NR1I3	stress
NR5A1	stress
PPEF2	stress
PPP3CA	stress
SLC26A1	stress
THRB	stress
ABHD4	stress
AGO3	stress
CBR3	stress
CHKA	stress
CRYAA	stress
CRYAA2	stress
CSNK1G2	stress
DYRK3	stress
FBXL16	stress
GCNT2	stress
GCNT3	stress
GOLT1B	stress
GRSF1	stress
HSPB7	stress
HSPB9	stress
MAPK10	stress
MFSD10	stress
MFSD8	stress
PPEF1	stress
SLC16A14	stress
SLC16A2	stress
SLC26A2	stress
SLC26A5	stress
SLC26A8	stress
SLC26A9	stress
SLC27A1	stress
SRPK2	stress
TRPM4	stress
WSCD2	stress
HNRNPF	stress
HNRNPH3	stress
LGI4	stress
LRG1	stress
MFSD14A	stress
MFSD14B	stress
NSD1	stress
OVGP1	stress
P4HA3	stress
RBM12	stress
RBM12B	stress
SLC16A1	stress
SLC16A7	stress
SLC27A2	stress
SLC27A3	stress
SLC38A6	stress
UGT1A1	stress
UGT1A10	stress
UGT1A3	stress
UGT1A4	stress
UGT1A5	stress
UGT1A6	stress
UGT1A7	stress
UGT1A8	stress
UGT1A9	stress
XYLT1	stress
AGO2	stress
ARRDC4	stress
BPHL	stress
CHI3L1	stress
CHI3L2	stress
CHIA	stress
CHIT1	stress
CPA6	stress
DISP1	stress
DNAJC16	stress
GCNT4	stress
GCNT7	stress
GSTA4	stress
GSTA5	stress
HSPB1	stress
HSPB6	stress
IGFN1	stress
KMT2A	stress
MAPK3	stress
MAPK9	stress
NLK	stress
PLSCR4	stress
SCNN1G	stress
SLC16A3	stress
SLC16A6	stress
SLC16A9	stress
SLC25A19	stress
SLC36A1	stress
SLC38A1	stress
SLC38A4	stress
SLC7A8	stress
XYLT2	stress
ACSL3	stress
ARRDC3	stress
ASH1L	stress
CHAD	stress
CHADL	stress
CILK1	stress
CPA4	stress
CPA5	stress
CPN2	stress
CPO	stress
DAGLB	stress
EHMT2	stress
ERGIC2	stress
GSTM1	stress
GSTM4	stress
KCTD10	stress
KMT2B	stress
LGI1	stress
LIPJ	stress
LRRC26	stress
MAPK12	stress
MMP3	stress
RAD50	stress
RXRG	stress
SEC14L1	stress
SETDB1	stress
SLC16A11	stress
SLC16A12	stress
SLC16A13	stress
SLC16A5	stress
SLC16A8	stress
SLC27A6	stress
SLC32A1	stress
SLC36A2	stress
SLC36A3	stress
SLC36A4	stress
SLC38A2	stress
SLC38A5	stress
SLC38A7	stress
SLC38A8	stress
SRPK3	stress
TAGLN3	stress
TRIL	stress
