label	gene
upregulated.regen	AGMAT
upregulated.regen	AGR3
upregulated.regen	AIFM3
upregulated.regen	ALOX15B
upregulated.regen	ALOX5
upregulated.regen	AMPD1
upregulated.regen	APOH
upregulated.regen	ASPM
upregulated.regen	B4GALT1
upregulated.regen	BNIP3
upregulated.regen	CBFB
upregulated.regen	CDC42EP2
upregulated.regen	CES2
upregulated.regen	CLEC4M
upregulated.regen	CMIP
upregulated.regen	CNDP1
upregulated.regen	CNN2
upregulated.regen	COQ10B
upregulated.regen	CPA3
upregulated.regen	CPNE4
upregulated.regen	CSRP2
upregulated.regen	CXCL14
upregulated.regen	DGAT2
upregulated.regen	DLGAP4
upregulated.regen	DMBT1
upregulated.regen	DPT
upregulated.regen	DSCAML1
upregulated.regen	EEF1E1
upregulated.regen	ELOVL4
upregulated.regen	EMILIN2
upregulated.regen	ENKUR
upregulated.regen	EPHA5
upregulated.regen	EPN3
upregulated.regen	EPS8
upregulated.regen	FAAH
upregulated.regen	FCN3
upregulated.regen	FOXO1
upregulated.regen	GCNT4
upregulated.regen	GLDN
upregulated.regen	GNPNAT1
upregulated.regen	GOSR2
upregulated.regen	GPR160
upregulated.regen	GRPEL1
upregulated.regen	GRPEL2
upregulated.regen	GSTM1
upregulated.regen	GSTO1
upregulated.regen	HCRTR2
upregulated.regen	HLA-E
upregulated.regen	HM13
upregulated.regen	HMGA2
upregulated.regen	HMOX1
upregulated.regen	HOPX
upregulated.regen	HS3ST1
upregulated.regen	HTR5A
upregulated.regen	IFI44L
upregulated.regen	IFIT5
upregulated.regen	KIF23
upregulated.regen	KIT
upregulated.regen	KRTAP9-2
upregulated.regen	L1TD1
upregulated.regen	LSP1
upregulated.regen	LYPD2
upregulated.regen	MANF
upregulated.regen	MCM3
upregulated.regen	MMP10
upregulated.regen	MMP19
upregulated.regen	MYH6
upregulated.regen	MYOZ2
upregulated.regen	NANS
upregulated.regen	NAT2
upregulated.regen	NKIRAS1
upregulated.regen	OCM2
upregulated.regen	OGDHL
upregulated.regen	OMG
upregulated.regen	PCNA
upregulated.regen	PDK2
upregulated.regen	PI3
upregulated.regen	PLCXD2
upregulated.regen	PLSCR1
upregulated.regen	PNLIP
upregulated.regen	PON2
upregulated.regen	POSTN
upregulated.regen	PPP1R14A
upregulated.regen	PPRC1
upregulated.regen	PRC1
upregulated.regen	PRMT5
upregulated.regen	PSMB9
upregulated.regen	RBP4
upregulated.regen	RHAG
upregulated.regen	RHOU
upregulated.regen	SCGN
upregulated.regen	SH3YL1
upregulated.regen	SLC14A2
upregulated.regen	SLC16A6
upregulated.regen	SLC35B1
upregulated.regen	SLC39A8
upregulated.regen	SLC43A1
upregulated.regen	SLC47A1
upregulated.regen	SLFN13
upregulated.regen	SOCS3
upregulated.regen	SRSF2
upregulated.regen	TGM3
upregulated.regen	TGM6
upregulated.regen	TLR2
upregulated.regen	TMEM44
upregulated.regen	TNFRSF12A
upregulated.regen	TNFRSF1A
upregulated.regen	UAP1
upregulated.regen	UBB
upregulated.regen	UBE2E1
upregulated.regen	UCHL1
upregulated.regen	VLDLR
upregulated.regen	WWC1
upregulated.regen	XDH
upregulated.regen	YPEL5
upregulated.regen	ZC3H13
upregulated.regen	ACAN
upregulated.regen	ACTN3
upregulated.regen	ADAMTS13
upregulated.regen	AIFM2
upregulated.regen	ALDH1A1
upregulated.regen	ANXA6
upregulated.regen	APCS
upregulated.regen	APLP2
upregulated.regen	ASNS
upregulated.regen	ATF5
upregulated.regen	B3GNT5
upregulated.regen	BCL6
upregulated.regen	BIRC5
upregulated.regen	BMP2
upregulated.regen	C1GALT1
upregulated.regen	C1QL2
upregulated.regen	C1QTNF1
upregulated.regen	CALR
upregulated.regen	CBX8
upregulated.regen	CCNA2
upregulated.regen	CDKN1B
upregulated.regen	CETP
upregulated.regen	CGREF1
upregulated.regen	CITED2
upregulated.regen	COX4I2
upregulated.regen	CXCL10
upregulated.regen	CYP2C8
upregulated.regen	CYP4B1
upregulated.regen	DDC
upregulated.regen	DNAJC15
upregulated.regen	DUOXA1
upregulated.regen	EIF4A2
upregulated.regen	EPHA1
upregulated.regen	ETS2
upregulated.regen	F10
upregulated.regen	F3
upregulated.regen	FASTKD1
upregulated.regen	FKBP11
upregulated.regen	FLNA
upregulated.regen	FRK
upregulated.regen	FYN
upregulated.regen	GMNN
upregulated.regen	GPX1
upregulated.regen	GRHL1
upregulated.regen	GSTM4
upregulated.regen	HERC4
upregulated.regen	HIGD1A
upregulated.regen	HMBS
upregulated.regen	HSD17B2
upregulated.regen	HSP90B1
upregulated.regen	HSPA9
upregulated.regen	HSPD1
upregulated.regen	ID2
upregulated.regen	ITGA2
upregulated.regen	ITGB4
upregulated.regen	JADE2
upregulated.regen	JMJD6
upregulated.regen	KIAA0319L
upregulated.regen	KIF11
upregulated.regen	KRT18
upregulated.regen	LGALS9C
upregulated.regen	LINGO1
upregulated.regen	MAD2L1
upregulated.regen	MAPK6
upregulated.regen	MBP
upregulated.regen	MDM2
upregulated.regen	MUC15
upregulated.regen	MYBPC3
upregulated.regen	MYL4
upregulated.regen	MYLK
upregulated.regen	MYO10
upregulated.regen	MYOT
upregulated.regen	NASP
upregulated.regen	NCAPD3
upregulated.regen	NFIL3
upregulated.regen	NFKBIE
upregulated.regen	NLRP3
upregulated.regen	NQO1
upregulated.regen	NUSAP1
upregulated.regen	OAT
upregulated.regen	ODC1
upregulated.regen	OLFML3
upregulated.regen	P2RY4
upregulated.regen	PDLIM2
upregulated.regen	PELI1
upregulated.regen	PHYH
upregulated.regen	PLCH1
upregulated.regen	PLK2
upregulated.regen	POLA2
upregulated.regen	PPP1R15B
upregulated.regen	PRSS27
upregulated.regen	PSMB8
upregulated.regen	PSPH
upregulated.regen	PTGS2
upregulated.regen	PTP4A3
upregulated.regen	RAB34
upregulated.regen	RAB40B
upregulated.regen	RAPH1
upregulated.regen	RGS2
upregulated.regen	RNASE1
upregulated.regen	SACS
upregulated.regen	SGMS1
upregulated.regen	SH3KBP1
upregulated.regen	SLC11A1
upregulated.regen	SLC16A9
upregulated.regen	SLC25A29
upregulated.regen	SLC25A37
upregulated.regen	SLC35D2
upregulated.regen	SLC39A9
upregulated.regen	SLC41A1
upregulated.regen	SLC7A3
upregulated.regen	SMG7
upregulated.regen	SMYD3
upregulated.regen	SNTB1
upregulated.regen	SPON2
upregulated.regen	STEAP1
upregulated.regen	STK39
upregulated.regen	STOM
upregulated.regen	TFF2
upregulated.regen	THBS4
upregulated.regen	TMCC1
upregulated.regen	TMEM45B
upregulated.regen	TNIP3
upregulated.regen	TNK2
upregulated.regen	TRABD
upregulated.regen	TRDN
upregulated.regen	TRIM27
upregulated.regen	TSHZ2
upregulated.regen	TXN
upregulated.regen	UGT1A9
upregulated.regen	UPP1
upregulated.regen	ZNF185
upregulated.regen	A4GNT
upregulated.regen	ACLY
upregulated.regen	ACSBG2
upregulated.regen	ADH1A
upregulated.regen	ADH1C
upregulated.regen	AGR2
upregulated.regen	ALKBH2
upregulated.regen	ALOXE3
upregulated.regen	AOAH
upregulated.regen	ARHGAP11A
upregulated.regen	ATP2B1
upregulated.regen	AURKA
upregulated.regen	BMPR2
upregulated.regen	BYSL
upregulated.regen	C1QTNF3
upregulated.regen	C5AR1
upregulated.regen	CALCB
upregulated.regen	CAMK2B
upregulated.regen	CAND2
upregulated.regen	CANT1
upregulated.regen	CCDC69
upregulated.regen	CD109
upregulated.regen	CD53
upregulated.regen	CEACAM1
upregulated.regen	CHST1
upregulated.regen	CKAP2
upregulated.regen	CPZ
upregulated.regen	CREM
upregulated.regen	CTPS2
upregulated.regen	CXCR3
upregulated.regen	CYBA
upregulated.regen	CYP46A1
upregulated.regen	CYP4F22
upregulated.regen	DCBLD1
upregulated.regen	DCTPP1
upregulated.regen	DENND2D
upregulated.regen	ELF3
upregulated.regen	ELFN1
upregulated.regen	ELMOD1
upregulated.regen	ENO3
upregulated.regen	ENPP5
upregulated.regen	ESCO2
upregulated.regen	EYA2
upregulated.regen	EZR
upregulated.regen	F2R
upregulated.regen	F2RL1
upregulated.regen	FAM110B
upregulated.regen	FASN
upregulated.regen	FERMT2
upregulated.regen	FERMT3
upregulated.regen	FHL1
upregulated.regen	FHL2
upregulated.regen	FKBP8
upregulated.regen	FMNL1
upregulated.regen	GADD45A
upregulated.regen	GCLC
upregulated.regen	GGCT
upregulated.regen	GJB7
upregulated.regen	GLT8D2
upregulated.regen	GPC1
upregulated.regen	GPM6B
upregulated.regen	HAPLN3
upregulated.regen	HBEGF
upregulated.regen	HEXB
upregulated.regen	IFI44
upregulated.regen	IGF1R
upregulated.regen	IL17B
upregulated.regen	INSIG1
upregulated.regen	ITGB2
upregulated.regen	ITLN1
upregulated.regen	JAK3
upregulated.regen	JUNB
upregulated.regen	KANK1
upregulated.regen	KCNE4
upregulated.regen	KDM3A
upregulated.regen	KIF20A
upregulated.regen	KLF11
upregulated.regen	KLF2
upregulated.regen	LAD1
upregulated.regen	LAMA4
upregulated.regen	LARP6
upregulated.regen	LBH
upregulated.regen	LCP2
upregulated.regen	LGI1
upregulated.regen	LNX1
upregulated.regen	LRRN4CL
upregulated.regen	LUM
upregulated.regen	MCM4
upregulated.regen	MDK
upregulated.regen	MELK
upregulated.regen	MICALL2
upregulated.regen	MMD
upregulated.regen	MMP7
upregulated.regen	MMP9
upregulated.regen	MR1
upregulated.regen	MUC19
upregulated.regen	MUC5B
upregulated.regen	MX1
upregulated.regen	MYBBP1A
upregulated.regen	NCAPH
upregulated.regen	NR3C2
upregulated.regen	NR4A1
upregulated.regen	NUPR1
upregulated.regen	OASL
upregulated.regen	OLFML2B
upregulated.regen	OSMR
upregulated.regen	OTOF
upregulated.regen	OXR1
upregulated.regen	PBX3
upregulated.regen	PCK1
upregulated.regen	PDCD4
upregulated.regen	PDE1C
upregulated.regen	PENK
upregulated.regen	PHLDA1
upregulated.regen	PIP5K1B
upregulated.regen	PKP3
upregulated.regen	PLAT
upregulated.regen	PLEK2
upregulated.regen	PLS1
upregulated.regen	PLXNB2
upregulated.regen	PNP
upregulated.regen	PPARG
upregulated.regen	PPP1R3C
upregulated.regen	PRDM1
upregulated.regen	PRLH
upregulated.regen	PROM2
upregulated.regen	PTPRC
upregulated.regen	PTPRJ
upregulated.regen	PWWP2B
upregulated.regen	RAB10
upregulated.regen	RAB11A
upregulated.regen	RAC2
upregulated.regen	RACGAP1
upregulated.regen	RALGPS2
upregulated.regen	RAPSN
