gene_mmusculus_stress_up,mmusculus_stress_up_Fraction_sp_less7,mmusculus_stress_up_Fraction_sp_less6,mmusculus_stress_up_Fraction_sp_less5,mmusculus_stress_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less3,mmusculus_stress_up_Fraction_sp_less2,mmusculus_stress_up_Fraction_sp_1,mmusculus_stress_up_Fraction_sp_0
NSMCE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NSMCE2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERGEF,0.31161165984100214,0.2674054444712118,0.13827993254637436,0.04059262828234161,0.004095398699108649,0.0,0.0,0.0
SCARA3,0.31871838111298484,0.30233678631655025,0.22669236328595518,0.1063599132739099,0.04276078053481089,0.003372681281618887,0.003252228378703927,0.00012045290291496025
SCARA5,0.3171524933750903,0.2951096121416526,0.20332450012045292,0.08997831847747531,0.035533606359913275,0.003252228378703927,0.0031317754757889667,0.00012045290291496025
ARHGDIB,0.3188388340158998,0.30402312695735967,0.23982172970368587,0.127198265478198,0.03324500120452903,0.006624909660322814,0.006624909660322814,0.0
ARHGDIA,0.30522765598650925,0.23644904842206696,0.10828715972054927,0.02288605155384245,0.001927246446639364,0.00012045290291496025,0.00012045290291496025,0.0
USH1C,0.2972777643941219,0.22319922910142134,0.09070103589496507,0.01421344254396531,0.0012045290291496024,0.00012045290291496025,0.00012045290291496025,0.0
USH1G,0.06311732112743917,0.006624909660322814,0.00036135870874488076,0.0,0.0,0.0,0.0,0.0
TANC1,0.3126957359672368,0.26596000963623223,0.15297518670199953,0.06046735726331005,0.01445434834979523,0.0007227174174897615,0.0006022645145748012,0.00012045290291496025
CES1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CES3,0.2735485425198747,0.15128884606119009,0.0399903637677668,0.003252228378703927,0.00036135870874488076,0.0,0.0,0.0
CES2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FFAR2,0.31257528306432186,0.26957359672368103,0.1539388099253192,0.048060708263069137,0.010720308359431462,0.000481811611659841,0.00036135870874488076,0.00012045290291496025
UCP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FFAR1,0.248494338713563,0.10961214165261383,0.018188388340158998,0.0015658877378944833,0.0,0.0,0.0,0.0
FFAR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREB3L2,0.31618887015177066,0.29137557215128884,0.1997109130330041,0.08491929655504697,0.02866779089376054,0.0010840761262346423,0.0010840761262346423,0.0
ZNF91,0.31594796434594075,0.2927005540833534,0.20103589496506866,0.06516502047699349,0.017345218019754277,0.0007227174174897615,0.0007227174174897615,0.0
ZNF92,0.3006504456757408,0.22849915682967958,0.10310768489520597,0.03312454830161407,0.0020476993495543243,0.0,0.0,0.0
ZNF93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAC3D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAET1E,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
