gene_mmusculus_stress_down,mmusculus_stress_down_Fraction_sp_less4,mmusculus_stress_down_Fraction_sp_less3,mmusculus_stress_down_Fraction_sp_less2,mmusculus_stress_down_Fraction_sp_1,mmusculus_stress_down_Fraction_sp_0
MRPL13,0.21258087706685838,0.02178289000718907,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
MSRA,0.16908698777857656,0.010496046010064701,7.189072609633358e-05,7.189072609633358e-05,0.0
NEIL2,0.2607476635514019,0.0492451473759885,0.0,0.0,0.0
NEUROD4,0.23285406182602444,0.024227174694464414,7.189072609633358e-05,7.189072609633358e-05,0.0
RAD9B,0.23443565780014378,0.03184759166067577,0.00021567217828900073,0.00021567217828900073,0.0
RBM26,0.1702372393961179,0.010999281092739037,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
RPS20,0.2908698777857656,0.11897915168943206,0.00201294033069734,0.00201294033069734,0.0
SSBP2,0.2775700934579439,0.06923076923076923,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
ST18,0.19784327821710998,0.012221423436376708,0.0,0.0,0.0
TOMM70A,0.27706685837526956,0.06606757728253056,0.0008626887131560029,0.0008626887131560029,0.0
WDR25,0.2593098490294752,0.05240833932422718,0.00014378145219266715,0.00014378145219266715,0.0
ZFAND5,0.26161035226455787,0.0498921639108555,0.0005751258087706686,0.000503235082674335,7.189072609633358e-05
ZFP3,0.17426312005751257,0.011790079079798706,0.0,0.0,0.0
ZFYVE1,0.23249460819554277,0.03486700215672178,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
ZMAT2,0.2481667864845435,0.03838964773544213,0.0003594536304816679,0.0003594536304816679,0.0
ZNF326,0.2293314162473041,0.02178289000718907,0.0,0.0,0.0
ZNF333,0.18411214953271027,0.01207764198418404,0.0,0.0,0.0
PPP2R5E,0.21890726096333574,0.0196980589503954,0.00014378145219266715,0.00014378145219266715,0.0
REV3L,0.26412652767792955,0.03889288281811646,0.0006470165348670022,0.0005751258087706686,7.189072609633358e-05
DHX8,0.27225017972681526,0.0693745506829619,0.00043134435657800146,0.00043134435657800146,0.0
LUC7L,0.23414809489575844,0.023436376707404744,0.0003594536304816679,0.0002875629043853343,7.189072609633358e-05
RBM23,0.25988497483824585,0.036304816678648454,0.0006470165348670022,0.0006470165348670022,0.0
SART1,0.24061826024442848,0.03731128684399712,0.00043134435657800146,0.00043134435657800146,0.0
SNRNP27,0.2470884255930985,0.03465132997843278,0.0002875629043853343,0.0002875629043853343,0.0
WDR47,0.14299065420560747,0.0019410496046010064,0.0,0.0,0.0
CHGA,0.20496046010064703,0.015025161754133716,0.0,0.0,0.0
SCG3,0.10431344356578001,0.003235082674335011,0.0,0.0,0.0
MOGS,0.2558590941768512,0.03803019410496046,0.00014378145219266715,0.00014378145219266715,0.0
SGK223,0.13199137311286843,0.004888569374550683,7.189072609633358e-05,7.189072609633358e-05,0.0
CHI3L1,0.20797987059669304,0.014234363767074048,7.189072609633358e-05,7.189072609633358e-05,0.0
HEXB,0.1565061107117182,0.004097771387491013,0.0002875629043853343,0.0002875629043853343,0.0
CHI3L2,0.2383177570093458,0.033501078360891445,0.00021567217828900073,0.00021567217828900073,0.0
CHIA,0.07721063982746226,0.0007907979870596693,0.0,0.0,0.0
RENBP,0.24191229331416247,0.029331416247304096,0.0002875629043853343,0.0002875629043853343,0.0
OTX1,0.2059669302659957,0.018044572250179726,0.0002875629043853343,0.0002875629043853343,0.0
CHIT1,0.10654205607476636,0.0012221423436376707,0.0,0.0,0.0
CHM,0.15485262401150252,0.005895039539899353,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
RAB1B,0.2164629762760604,0.022358015815959743,0.0002875629043853343,0.0002875629043853343,0.0
RAB7A,0.2721782890007189,0.04874191229331416,0.0012221423436376707,0.0012221423436376707,0.0
CHML,0.10496046010064701,0.00301941049604601,7.189072609633358e-05,7.189072609633358e-05,0.0
CHMP1A,0.2229331416247304,0.017613227893601726,0.00021567217828900073,0.00021567217828900073,0.0
KIAA1715,0.19180445722501796,0.016175413371675055,7.189072609633358e-05,7.189072609633358e-05,0.0
CHMP2A,0.2777138749101366,0.07764198418404025,0.00021567217828900073,0.00021567217828900073,0.0
CHMP6,0.2713874910136592,0.05061107117181884,0.0003594536304816679,0.0003594536304816679,0.0
CHMP7,0.2697340043134436,0.04665708123652049,0.0002875629043853343,0.0002875629043853343,0.0
VPS36,0.2783608914450036,0.07426312005751258,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
VPS37A,0.2731847591660676,0.05370237239396118,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
VPS37D,0.2631919482386772,0.046441409058231485,0.0002875629043853343,0.0002875629043853343,0.0
CHMP3,0.2751976994967649,0.059813084112149535,0.0003594536304816679,0.0002875629043853343,7.189072609633358e-05
CHMP4C,0.27074047447879224,0.04622573687994249,0.0002875629043853343,0.0002875629043853343,0.0
VPS37B,0.27232207045291157,0.05334291876347951,0.0002875629043853343,0.0002875629043853343,0.0
VPS37C,0.27548526240115023,0.056793673616103525,0.0002875629043853343,0.0002875629043853343,0.0
BROX,0.0818116462976276,0.0007907979870596693,7.189072609633358e-05,0.0,7.189072609633358e-05
PTPN23,0.22084831056793675,0.01430625449317038,7.189072609633358e-05,7.189072609633358e-05,0.0
ZNF142,0.2165348670021567,0.01624730409777139,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
ZNF91,0.051258087706685836,0.00043134435657800146,0.0,0.0,0.0
NXN,0.07081236520488857,0.0009345794392523365,7.189072609633358e-05,0.0,7.189072609633358e-05
MAPK8IP2,0.2762041696621136,0.04874191229331416,0.0017253774263120058,0.0017253774263120058,0.0
CHORDC1,0.13350107836089145,0.0034507548526240116,0.0,0.0,0.0
SLC9A3,0.18763479511143064,0.00805176132278936,0.0003594536304816679,0.0003594536304816679,0.0
SLC9A4,0.21337167505391805,0.026455787203450754,0.0,0.0,0.0
NFAT5,0.2516175413371675,0.0314881380301941,0.000503235082674335,0.00043134435657800146,7.189072609633358e-05
CHPF,0.23874910136592378,0.023005032350826744,0.000503235082674335,0.000503235082674335,0.0
CHST11,0.11351545650611071,0.005535585909417685,0.00043134435657800146,0.0003594536304816679,7.189072609633358e-05
