gene_mmusculus_stress_up,mmusculus_stress_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less3,mmusculus_stress_up_Fraction_sp_less2,mmusculus_stress_up_Fraction_sp_1,mmusculus_stress_up_Fraction_sp_0
C1ORF57,0.18763978811065332,0.016127133608004707,5.885815185403178e-05,5.885815185403178e-05,0.0
C1ORF58,0.1789287816362566,0.015303119482048263,5.885815185403178e-05,5.885815185403178e-05,0.0
C1ORF59,0.21859917598587406,0.041436138905238375,0.0,0.0,0.0
C1ORF61,0.09199529134785167,0.005532666274278988,5.885815185403178e-05,5.885815185403178e-05,0.0
C1ORF63,0.20306062389640966,0.023248969982342556,5.885815185403178e-05,5.885815185403178e-05,0.0
C1ORF64,0.1331371394938199,0.009535020600353149,0.0,0.0,0.0
C1orf65,0.14543849323131253,0.009181871689228958,5.885815185403178e-05,5.885815185403178e-05,0.0
C1ORF66,0.21283107710417892,0.04067098293113596,0.00011771630370806356,0.00011771630370806356,0.0
C1ORF69,0.21041789287816362,0.0329605650382578,0.0,0.0,0.0
C1ORF77,0.22854620364920541,0.05650382577987051,0.0,0.0,0.0
C1ORF83,0.17380812242495586,0.01318422601530312,5.885815185403178e-05,5.885815185403178e-05,0.0
C1ORF84,0.1416715715126545,0.014008240141259565,0.0,0.0,0.0
C1ORF85,0.12548557975279576,0.007945850500294291,5.885815185403178e-05,5.885815185403178e-05,0.0
C1ORF86,0.17027663331371395,0.016774573278399058,0.00011771630370806356,0.00011771630370806356,0.0
C1orf89,0.0,0.0,0.0,0.0,0.0
FLJ22688,0.0,0.0,0.0,0.0,0.0
C1ORF89,0.009829311359623307,0.0,0.0,0.0,0.0
FUZ,0.17145379635079458,0.009829311359623307,0.0,0.0,0.0
C1ORF9,0.2151854031783402,0.036374337845791645,0.0,0.0,0.0
C1ORF92,0.20235432607416126,0.03331371394938199,0.00011771630370806356,0.00011771630370806356,0.0
C1orf93,0.1405532666274279,0.007180694526191878,5.885815185403178e-05,5.885815185403178e-05,0.0
C1orf94,0.1329605650382578,0.006121247792819306,0.00011771630370806356,0.00011771630370806356,0.0
C14orf32,0.16921718658034138,0.007945850500294291,5.885815185403178e-05,5.885815185403178e-05,0.0
MAPK1IP1L,0.2179517363154797,0.039729252501471454,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
C1QB,0.11483225426721601,0.004826368452030606,0.000529723366686286,0.00047086521483225425,5.885815185403178e-05
C1QG,0.014243672748675692,0.0008828722778104767,0.00017657445556209535,0.00017657445556209535,0.0
C1QR1,0.13543260741612714,0.007533843437316068,0.0002942907592701589,0.0002942907592701589,0.0
C1R,0.17139493819894056,0.007239552678045909,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
C1S,0.21606827545615068,0.042083578575632725,0.00047086521483225425,0.00047086521483225425,0.0
CR1,0.19841082989994113,0.014655679811653914,0.00023543260741612713,0.00023543260741612713,0.0
HRG,0.13843437316068274,0.007945850500294291,0.00017657445556209535,0.00017657445556209535,0.0
PTX3,0.10070629782224838,0.0036492054149499706,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
DEFA1,0.16174220129487935,0.008416715715126545,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
HABP4,0.23025309005297234,0.04196586227192466,0.00047086521483225425,0.00047086521483225425,0.0
KLKB1,0.16339022954679222,0.0075927015891701,0.00023543260741612713,0.00023543260741612713,0.0
MMP14,0.21706886403766923,0.028428487345497352,0.001059446733372572,0.0010005885815185403,5.885815185403178e-05
PRCP,0.1251912889935256,0.004061212477928193,5.885815185403178e-05,0.0,5.885815185403178e-05
SERPING1,0.20982931135962332,0.02348440258975868,0.0009417304296645085,0.0008828722778104767,5.885815185403178e-05
SFRS9,0.207416127133608,0.02748675691583284,0.00017657445556209535,0.00017657445556209535,0.0
SRSF9,0.22878163625662154,0.03590347263095939,0.002472042377869335,0.002472042377869335,0.0
MATK,0.2286639199529135,0.05197174808711007,0.000824014125956445,0.000824014125956445,0.0
C1QL4,0.17951736315479694,0.020659211300765156,0.0,0.0,0.0
C1QTNF6,0.1938787522071807,0.022307239552678045,0.00017657445556209535,0.00017657445556209535,0.0
C1RL,0.21400824014125958,0.0377869334902884,0.00011771630370806356,0.00011771630370806356,0.0
C2,0.18428487345497352,0.016774573278399058,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
C5,0.1874043555032372,0.01954090641553855,0.0005885815185403178,0.0005885815185403178,0.0
C20ORF111,0.22789876397881106,0.060506180105944676,0.00011771630370806356,0.00011771630370806356,0.0
C20ORF112,0.16998234255444378,0.011771630370806356,0.0,0.0,0.0
C20ORF117,0.1872277810476751,0.022483814008240142,5.885815185403178e-05,5.885815185403178e-05,0.0
C20ORF141,0.18234255444379047,0.016303708063566805,0.00011771630370806356,0.00011771630370806356,0.0
C20ORF144,0.17951736315479694,0.020659211300765156,0.0,0.0,0.0
C20ORF149,0.18969982342554445,0.020659211300765156,0.00011771630370806356,0.00011771630370806356,0.0
C20ORF151,0.1975868157739847,0.022366097704532076,5.885815185403178e-05,5.885815185403178e-05,0.0
C20ORF177,0.207416127133608,0.03313713949381989,5.885815185403178e-05,5.885815185403178e-05,0.0
C20ORF185,0.15638610947616244,0.007651559741024131,5.885815185403178e-05,5.885815185403178e-05,0.0
C20ORF195,0.11954090641553855,0.0037080635668040023,5.885815185403178e-05,5.885815185403178e-05,0.0
C20orf195,0.10806356680400235,0.0031783402001177162,5.885815185403178e-05,5.885815185403178e-05,0.0
C20ORF196,0.18399058269570334,0.016303708063566805,5.885815185403178e-05,5.885815185403178e-05,0.0
DIP2A,0.1848145968216598,0.016656856974690996,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
EPC2,0.20800470865214832,0.025191288993525605,5.885815185403178e-05,5.885815185403178e-05,0.0
MBTD1,0.20017657445556208,0.020070629782224837,5.885815185403178e-05,0.0,5.885815185403178e-05
MRFAP1,0.19923484402589758,0.014949970570924074,0.00017657445556209535,0.00017657445556209535,0.0
RSL1D1,0.20035314891112418,0.023837551500882872,0.00017657445556209535,0.00017657445556209535,0.0
VPS72,0.20994702766333137,0.02636845203060624,0.00011771630370806356,0.00011771630370806356,0.0
C20ORF203,0.15191288993525603,0.013243084167157151,5.885815185403178e-05,5.885815185403178e-05,0.0
IPO11,0.20264861683343144,0.0214832254267216,5.885815185403178e-05,5.885815185403178e-05,0.0
SLC25A12,0.2057092407298411,0.028193054738081223,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
SSR4,0.2346085932901707,0.05909358446144791,0.0014125956444967628,0.0014125956444967628,0.0
SURF4,0.1551500882872278,0.011006474396703943,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
C20ORF26,0.17916421424367274,0.015773984696880516,0.0,0.0,0.0
C20orf27,0.02342554443790465,0.0003531489111241907,5.885815185403178e-05,5.885815185403178e-05,0.0
C20ORF27,0.15320776927604474,0.009652736904061212,5.885815185403178e-05,5.885815185403178e-05,0.0
C20orf28,0.08893466745144203,0.0020011771630370806,5.885815185403178e-05,5.885815185403178e-05,0.0
PLEKHF2,0.212948793407887,0.03696291936433196,0.0006474396703943496,0.0005885815185403178,5.885815185403178e-05
C20orf3,0.006886403766921719,0.0002942907592701589,0.00011771630370806356,0.00011771630370806356,0.0
LOXL3,0.11088875809299588,0.0054149499705709245,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
C20ORF3,0.19458505002942908,0.026839317245438494,5.885815185403178e-05,5.885815185403178e-05,0.0
TMEM9,0.16951147733961153,0.010064743967039436,5.885815185403178e-05,5.885815185403178e-05,0.0
PRDM9,0.1818128310771042,0.023896409652736903,0.00023543260741612713,0.00023543260741612713,0.0
TWIST1,0.2270747498528546,0.04473219540906415,0.0004120070629782225,0.0004120070629782225,0.0
C20orf4,0.0011771630370806356,5.885815185403178e-05,0.0,0.0,0.0
C14orf11,5.885815185403178e-05,0.0,0.0,0.0,0.0
C20ORF4,0.2198351971748087,0.04231901118304885,0.0,0.0,0.0
EAPP,0.16862860506180105,0.013125367863449087,0.00011771630370806356,0.00011771630370806356,0.0
GJA5,0.07751618599175986,0.0011771630370806356,5.885815185403178e-05,5.885815185403178e-05,0.0
C20ORF43,0.172218952324897,0.01653914067098293,0.00011771630370806356,0.00011771630370806356,0.0
C20ORF7,0.2174220129487934,0.03819894055326663,0.00023543260741612713,0.00023543260741612713,0.0
C20ORF71,0.087051206592113,0.0028251912889935256,0.0,0.0,0.0
C20ORF72,0.23266627427898764,0.07480871100647439,0.00047086521483225425,0.00047086521483225425,0.0
COPS7A,0.22989994114184814,0.042024720423778694,0.000529723366686286,0.000529723366686286,0.0
FBXW4,0.10011771630370807,0.0011771630370806356,0.0,0.0,0.0
RNF20,0.23031194820482637,0.051677457327839904,0.0002942907592701589,0.0002942907592701589,0.0
C21ORF119,0.1975868157739847,0.022366097704532076,5.885815185403178e-05,5.885815185403178e-05,0.0
C21ORF122,0.10429664508534432,0.0028840494408475573,5.885815185403178e-05,5.885815185403178e-05,0.0
C21ORF125,0.16244849911712772,0.009064155385520894,5.885815185403178e-05,5.885815185403178e-05,0.0
C21ORF129,0.18075338434373162,0.01088875809299588,0.0,0.0,0.0
C21ORF2,0.11324308416715716,0.008063566804002354,5.885815185403178e-05,5.885815185403178e-05,0.0
C21ORF29,0.10988816951147734,0.006827545615067687,0.00011771630370806356,0.00011771630370806356,0.0
C21orf33,0.002766333137139494,0.00011771630370806356,0.0,0.0,0.0
C21ORF33,0.2070041200706298,0.030547380812242494,0.00011771630370806356,0.00011771630370806356,0.0
C21ORF45,0.127781047675103,0.008828722778104767,0.0,0.0,0.0
C21ORF56,0.21530311948204828,0.0327839905826957,0.00017657445556209535,0.00017657445556209535,0.0
C21ORF57,0.10735726898175398,0.007239552678045909,0.0,0.0,0.0
C21ORF58,0.2172454384932313,0.03660977045320777,0.00017657445556209535,0.00017657445556209535,0.0
C21orf6,0.0857563272513243,0.0020600353148911123,5.885815185403178e-05,5.885815185403178e-05,0.0
C21ORF63,0.19164214243672748,0.02207180694526192,0.00011771630370806356,0.00011771630370806356,0.0
PDK3,0.22142436727486756,0.04255444379046498,0.00023543260741612713,0.00023543260741612713,0.0
C21ORF67,0.10735726898175398,0.007239552678045909,0.0,0.0,0.0
C21ORF7,0.17416127133608006,0.010829899941141849,0.0,0.0,0.0
C21orf7,0.10800470865214833,0.0012360211889346675,0.0,0.0,0.0
C21ORF70,0.10735726898175398,0.007239552678045909,0.0,0.0,0.0
C21ORF90,0.14490876986462625,0.009064155385520894,0.00011771630370806356,0.00011771630370806356,0.0
C21ORF91,0.06951147733961154,0.002236609770453208,5.885815185403178e-05,5.885815185403178e-05,0.0
C22ORF28,0.21977633902295468,0.043731606827545615,5.885815185403178e-05,5.885815185403178e-05,0.0
C22ORF30,0.201883460859329,0.022366097704532076,0.00017657445556209535,0.00017657445556209535,0.0
C22ORF31,0.1996468510888758,0.02348440258975868,0.0002942907592701589,0.0002942907592701589,0.0
C22ORF32,0.16539140670982933,0.01483225426721601,0.0,0.0,0.0
C22ORF45,0.13596233078281342,0.007886992348440258,5.885815185403178e-05,5.885815185403178e-05,0.0
C22ORF9,0.17569158328428489,0.018128310771041788,0.00011771630370806356,0.00011771630370806356,0.0
C22orf9,0.15968216597998822,0.013478516774573278,0.00011771630370806356,0.00011771630370806356,0.0
C2CD2,0.1975868157739847,0.022366097704532076,5.885815185403178e-05,5.885815185403178e-05,0.0
C2CD2L,0.16409652736904062,0.008416715715126545,5.885815185403178e-05,0.0,5.885815185403178e-05
C2CD3,0.127781047675103,0.008828722778104767,0.0,0.0,0.0
C2CD4A,0.12413184226015303,0.0075927015891701,5.885815185403178e-05,5.885815185403178e-05,0.0
FLJ20551,0.015950559152442614,0.0003531489111241907,0.0,0.0,0.0
C2ORF15,0.1623896409652737,0.011241907004120071,0.00011771630370806356,0.00011771630370806356,0.0
HMP19,0.22230723955267803,0.040376692171865805,0.0003531489111241907,0.0003531489111241907,0.0
KIAA0087,0.19523248969982343,0.01489111241907004,5.885815185403178e-05,5.885815185403178e-05,0.0
KIAA0232,0.15974102413184227,0.008828722778104767,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
MS4A7,0.2020600353148911,0.022189523248969983,5.885815185403178e-05,0.0,5.885815185403178e-05
PSMG2,0.09688051795173631,0.001883460859329017,0.0,0.0,0.0
SEC11A,0.22012948793407888,0.02942907592701589,0.000824014125956445,0.000824014125956445,0.0
TNFSF5IP1,0.003884638022366098,0.00023543260741612713,0.0,0.0,0.0
C2ORF28,0.17657445556209536,0.018422601530311947,0.0,0.0,0.0
C2orf3,0.14808711006474395,0.006238964096527369,0.00011771630370806356,0.00011771630370806356,0.0
C2ORF34,0.22124779281930548,0.043790464979399646,0.00017657445556209535,0.00017657445556209535,0.0
C2ORF42,0.17133608004708653,0.014714537963507945,0.00011771630370806356,0.00011771630370806356,0.0
C2ORF43,0.11324308416715716,0.008063566804002354,5.885815185403178e-05,5.885815185403178e-05,0.0
C2orf44,0.19793996468510888,0.023307828134196587,0.00023543260741612713,0.00023543260741612713,0.0
C2ORF44,0.21748087110064743,0.036197763390229544,0.0002942907592701589,0.0002942907592701589,0.0
C2ORF47,0.11600941730429665,0.008534432018834609,0.0,0.0,0.0
C2orf49,0.0770453207769276,0.0004120070629782225,5.885815185403178e-05,5.885815185403178e-05,0.0
C2ORF49,0.11600941730429665,0.008534432018834609,0.0,0.0,0.0
C2ORF50,0.19005297233666862,0.026603884638022365,5.885815185403178e-05,5.885815185403178e-05,0.0
C2ORF51,0.13119482048263684,0.005120659211300766,0.00011771630370806356,0.00011771630370806356,0.0
C2orf51,0.13119482048263684,0.005120659211300766,0.00011771630370806356,0.00011771630370806356,0.0
C2ORF54,0.175927015891701,0.011948204826368452,0.0,0.0,0.0
C2ORF60,0.1842260153031195,0.022542672160094174,0.0,0.0,0.0
C2ORF63,0.11324308416715716,0.008063566804002354,5.885815185403178e-05,5.885815185403178e-05,0.0
C2ORF64,0.10735726898175398,0.007239552678045909,0.0,0.0,0.0
C2ORF65,0.0377869334902884,0.00011771630370806356,0.0,0.0,0.0
C2ORF7,0.21765744555620953,0.028958210712183637,5.885815185403178e-05,5.885815185403178e-05,0.0
C2ORF74,0.127781047675103,0.008828722778104767,0.0,0.0,0.0
C2ORF76,0.18204826368452032,0.013478516774573278,5.885815185403178e-05,5.885815185403178e-05,0.0
C2ORF79,0.18893466745144202,0.022189523248969983,0.00011771630370806356,0.00011771630370806356,0.0
C2ORF85,0.1975868157739847,0.022366097704532076,5.885815185403178e-05,5.885815185403178e-05,0.0
C2ORF86,0.20765155974102414,0.03066509711595056,0.00011771630370806356,0.00011771630370806356,0.0
C2ORF88,0.11936433195997646,0.003943496174220129,0.0,0.0,0.0
CD46,0.21236021188934667,0.033902295467922304,0.0004120070629782225,0.0004120070629782225,0.0
CD55,0.23749264273101825,0.08640376692171865,0.0005885815185403178,0.000529723366686286,5.885815185403178e-05
CD81,0.22919364331959977,0.04761624484991171,0.0004120070629782225,0.0004120070629782225,0.0
CFB,0.2213066509711595,0.034137728075338436,0.00011771630370806356,0.00011771630370806356,0.0
CFHL3,0.06786344908769865,0.0014125956444967628,0.0,0.0,0.0
CFHL4,0.06786344908769865,0.0014125956444967628,0.0,0.0,0.0
CFHL5,0.06786344908769865,0.0014125956444967628,0.0,0.0,0.0
CFHR1,0.08799293702177752,0.001942319011183049,0.0,0.0,0.0
CFHR3,0.06786344908769865,0.0014125956444967628,0.0,0.0,0.0
CFHR4,0.06786344908769865,0.0014125956444967628,0.0,0.0,0.0
CFHR5,0.06786344908769865,0.0014125956444967628,0.0,0.0,0.0
CFI,0.092583872866392,0.002354326074161271,0.0,0.0,0.0
CFP,0.1840494408475574,0.009652736904061212,5.885815185403178e-05,0.0,5.885815185403178e-05
CPN1,0.14543849323131253,0.010417892878163625,0.0,0.0,0.0
IF,0.06921718658034137,0.0015303119482048264,0.0,0.0,0.0
ITGAX,0.21230135373749265,0.023248969982342556,0.0002942907592701589,0.0002942907592701589,0.0
MCP,0.20253090052972336,0.02401412595644497,0.0002942907592701589,0.0002942907592701589,0.0
