gene_hsapiens_stress_down,hsapiens_stress_down_Fraction_sp_less4,hsapiens_stress_down_Fraction_sp_less3,hsapiens_stress_down_Fraction_sp_less2,hsapiens_stress_down_Fraction_sp_1,hsapiens_stress_down_Fraction_sp_0
SPRED2,0.2634490876986463,0.05997645673925839,0.0004120070629782225,0.0004120070629782225,0.0
SPRYD3,0.21100647439670395,0.023837551500882872,5.885815185403178e-05,5.885815185403178e-05,0.0
SPSB3,0.23696291936433195,0.0379635079458505,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
SYNPO,0.2177751618599176,0.024308416715715125,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
TARS2,0.22430841671571514,0.027251324308416716,5.885815185403178e-05,5.885815185403178e-05,0.0
TCTEX1D4,0.2257798705120659,0.025603296056503827,0.00017657445556209535,0.00017657445556209535,0.0
TDRKH,0.2273690406121248,0.028899352560329605,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
THOC6,0.22054149499705708,0.025250147145379636,0.00017657445556209535,0.00017657445556209535,0.0
TM2D2,0.2192466156562684,0.027310182460270747,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
TM4SF18,0.20753384343731607,0.0214832254267216,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
TMEM160,0.24255444379046498,0.038022366097704534,0.00023543260741612713,0.00023543260741612713,0.0
TMEM161A,0.23566804002354327,0.031135962330782814,0.00011771630370806356,0.00011771630370806356,0.0
TMEM194A,0.23413772807533845,0.03272513243084167,0.00017657445556209535,0.00017657445556209535,0.0
TMEM45A,0.20806356680400234,0.02313125367863449,5.885815185403178e-05,5.885815185403178e-05,0.0
TMEM53,0.23095938787522072,0.032195409064155384,0.00017657445556209535,0.00017657445556209535,0.0
TMEM57,0.24879340788699233,0.0394349617422013,0.00011771630370806356,0.00011771630370806356,0.0
TMEM60,0.2396115361977634,0.03902295467922307,0.00017657445556209535,0.00017657445556209535,0.0
TOM1L2,0.24785167745732783,0.039788110653325486,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
TPCN1,0.23025309005297234,0.032195409064155384,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
TRAFD1,0.2609181871689229,0.051088875809299585,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
YIF1A,0.21671571512654503,0.027133608004708654,0.00011771630370806356,0.00011771630370806356,0.0
ZFYVE21,0.21977633902295468,0.022366097704532076,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
ZNF438,0.20753384343731607,0.0214832254267216,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
ZNF555,0.23660977045320777,0.03319599764567393,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
ZNF574,0.21977633902295468,0.022366097704532076,5.885815185403178e-05,5.885815185403178e-05,0.0
ZNF687,0.2461447910535609,0.03531489111241907,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
ZNF689,0.2535020600353149,0.0390818128310771,5.885815185403178e-05,5.885815185403178e-05,0.0
ZNF77,0.2368452030606239,0.03478516774573279,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
ZNF774,0.2226015303119482,0.024308416715715125,5.885815185403178e-05,5.885815185403178e-05,0.0
ZSWIM1,0.23584461447910535,0.03378457916421424,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
ZSWIM3,0.2364920541494997,0.03631547969393761,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
ZSWIM4,0.23507945850500295,0.035197174808711006,5.885815185403178e-05,5.885815185403178e-05,0.0
ZSWIM6,0.22984108298999412,0.02972336668628605,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
SPRR1B,0.1124190700412007,0.0038257798705120657,0.0,0.0,0.0
WASH2P,0.14879340788699236,0.00594467333725721,0.00011771630370806356,0.00011771630370806356,0.0
LOC645166,0.19676280164802826,0.016068275456150676,0.00017657445556209535,0.00017657445556209535,0.0
LOC654342,0.19399646851088875,0.014125956444967627,0.00011771630370806356,0.00011771630370806356,0.0
MPV17,0.18816951147733962,0.016127133608004707,0.00017657445556209535,0.00017657445556209535,0.0
NCRNA00263,0.23137139493819894,0.031135962330782814,0.00023543260741612713,0.00023543260741612713,0.0
PEG3AS,0.0899941141848146,0.0020600353148911123,5.885815185403178e-05,5.885815185403178e-05,0.0
RHBDF2,0.14820482636845203,0.009358446144791054,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
TMEM127,0.16809888169511478,0.014008240141259565,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
FOXQ1,0.13419658622719247,0.010947616244849911,5.885815185403178e-05,5.885815185403178e-05,0.0
G2E3,0.20253090052972336,0.018422601530311947,0.00011771630370806356,0.00011771630370806356,0.0
GPR126,0.20712183637433784,0.021600941730429663,0.00017657445556209535,0.00017657445556209535,0.0
GRAMD1A,0.21324308416715715,0.02413184226015303,0.00017657445556209535,0.00017657445556209535,0.0
HACL1,0.17004120070629783,0.014655679811653914,5.885815185403178e-05,5.885815185403178e-05,0.0
HELZ,0.1938787522071807,0.0214832254267216,0.00017657445556209535,0.00017657445556209535,0.0
IL1R1,0.2622719246615656,0.05668040023543261,0.0007651559741024132,0.0007062978222483814,5.885815185403178e-05
INPP1,0.22060035314891113,0.028899352560329605,0.001059446733372572,0.0010005885815185403,5.885815185403178e-05
JPH1,0.16992348440258975,0.012183637433784578,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
KRT39,0.17616244849911714,0.01689228958210712,0.00017657445556209535,0.00017657445556209535,0.0
LIN52,0.20594467333725722,0.015244261330194232,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
LOC100129637,0.13837551500882872,0.011712772218952325,0.00011771630370806356,0.00011771630370806356,0.0
LOC100286938,0.13837551500882872,0.011712772218952325,0.00011771630370806356,0.00011771630370806356,0.0
LOC145837,0.13837551500882872,0.011712772218952325,0.00011771630370806356,0.00011771630370806356,0.0
LOC146336,0.13419658622719247,0.010947616244849911,5.885815185403178e-05,5.885815185403178e-05,0.0
LOC221122,0.13419658622719247,0.010947616244849911,5.885815185403178e-05,5.885815185403178e-05,0.0
LOC286359,0.13837551500882872,0.011712772218952325,0.00011771630370806356,0.00011771630370806356,0.0
LOC344887,0.17616244849911714,0.01689228958210712,0.00017657445556209535,0.00017657445556209535,0.0
LRRC31,0.13419658622719247,0.010947616244849911,5.885815185403178e-05,5.885815185403178e-05,0.0
LRRC69,0.13419658622719247,0.010947616244849911,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
MTERFD2,0.21106533254855797,0.025250147145379636,0.00011771630370806356,0.00011771630370806356,0.0
NAALADL2,0.17533843437316068,0.013360800470865216,0.00011771630370806356,0.00011771630370806356,0.0
NCRNA00111,0.19788110653325486,0.01848145968216598,0.00011771630370806356,0.00011771630370806356,0.0
NKX3-1,0.24590935844614478,0.035726898175397294,0.0003531489111241907,0.0002942907592701589,5.885815185403178e-05
OSBPL6,0.1776339022954679,0.015420835785756327,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
PCMTD1,0.13419658622719247,0.010947616244849911,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
PKD1L1,0.21471453796350795,0.021542083578575632,0.00011771630370806356,0.00011771630370806356,0.0
PKDCC,0.13419658622719247,0.010947616244849911,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
PLEKHH2,0.1811065332548558,0.01912889935256033,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
PLEKHM3,0.13837551500882872,0.011712772218952325,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
PLK1S1,0.17616244849911714,0.01689228958210712,0.00017657445556209535,0.00017657445556209535,0.0
PNPLA7,0.16327251324308417,0.013949381989405533,0.0003531489111241907,0.0003531489111241907,0.0
PPP1R2,0.2355503237198352,0.027781047675103,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
PRR15L,0.2021777516185992,0.018716892289582107,5.885815185403178e-05,5.885815185403178e-05,0.0
RAPGEF5,0.17916421424367274,0.014125956444967627,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
RASA4P,0.13419658622719247,0.010947616244849911,5.885815185403178e-05,5.885815185403178e-05,0.0
REP15,0.13419658622719247,0.010947616244849911,5.885815185403178e-05,5.885815185403178e-05,0.0
REXO2,0.16968805179517363,0.015656268393172454,5.885815185403178e-05,5.885815185403178e-05,0.0
RFESD,0.21194820482636845,0.022719246615656268,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
RNF26,0.18081224249558564,0.014243672748675692,0.00011771630370806356,0.00011771630370806356,0.0
RPH3AL,0.23195997645673927,0.025250147145379636,0.0004120070629782225,0.0004120070629782225,0.0
SARM1,0.18993525603296058,0.019246615656268392,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
SEBOX,0.19564449676280166,0.01983519717480871,0.00023543260741612713,0.00023543260741612713,0.0
SEPHS2,0.23325485579752797,0.0303708063566804,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
SLC15A3,0.13419658622719247,0.010947616244849911,5.885815185403178e-05,5.885815185403178e-05,0.0
SLC16A5,0.18475573866980577,0.015597410241318423,0.00017657445556209535,0.00017657445556209535,0.0
SLC17A2,0.2498528546203649,0.04196586227192466,0.00017657445556209535,0.00017657445556209535,0.0
SOX12,0.23784579164214242,0.033431430253090054,0.00011771630370806356,0.00011771630370806356,0.0
SPAST,0.1470276633313714,0.011477339611536198,0.00011771630370806356,0.00011771630370806356,0.0
ST6GALNAC1,0.14514420247204238,0.012360211889346674,0.000529723366686286,0.00047086521483225425,5.885815185403178e-05
SYCP2,0.2268981753972925,0.033431430253090054,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
SYN3,0.21606827545615068,0.024072984108299,0.0003531489111241907,0.0002942907592701589,5.885815185403178e-05
THYN1,0.18846380223660977,0.021012360211889347,5.885815185403178e-05,5.885815185403178e-05,0.0
TMEM123,0.1809299587992937,0.018010594467333725,0.00023543260741612713,0.00023543260741612713,0.0
TMEM140,0.21077104178928782,0.02607416127133608,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
TMEM167A,0.13419658622719247,0.010947616244849911,5.885815185403178e-05,5.885815185403178e-05,0.0
TMEM205,0.18287227781047674,0.018246027074749854,0.00011771630370806356,0.00011771630370806356,0.0
TMPRSS13,0.1403766921718658,0.01159505591524426,5.885815185403178e-05,5.885815185403178e-05,0.0
TPRG1L,0.13419658622719247,0.010947616244849911,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
TRMT61A,0.2021777516185992,0.018716892289582107,5.885815185403178e-05,5.885815185403178e-05,0.0
TSPAN8,0.13837551500882872,0.011712772218952325,0.00011771630370806356,0.00011771630370806356,0.0
VPS13A,0.13837551500882872,0.011712772218952325,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
VPS54,0.14661565626839318,0.011006474396703943,0.00011771630370806356,0.00011771630370806356,0.0
YIPF4,0.14025897586815775,0.011712772218952325,0.00011771630370806356,0.00011771630370806356,0.0
ZBTB42,0.13419658622719247,0.010947616244849911,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
ZFAND2A,0.19181871689228958,0.019658622719246614,0.00023543260741612713,0.00023543260741612713,0.0
ZNRF1,0.19746909947027663,0.017951736315479694,0.0003531489111241907,0.0002942907592701589,5.885815185403178e-05
GSC,0.23419658622719247,0.02872277810476751,0.00011771630370806356,0.00011771630370806356,0.0
HPX,0.09264273101824602,0.006121247792819306,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
LOC284788,0.1381400824014126,0.011183048852266038,0.00011771630370806356,0.00011771630370806356,0.0
MAN1A1,0.21265450264861682,0.02118893466745144,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
MEG3,0.1502060035314891,0.011830488522660389,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
NCRNA00242,0.14467333725721013,0.011653914067098294,0.00011771630370806356,0.00011771630370806356,0.0
SCARNA13,0.15256032960565039,0.010417892878163625,5.885815185403178e-05,5.885815185403178e-05,0.0
SEMA4G,0.12283696291936433,0.007062978222483814,5.885815185403178e-05,5.885815185403178e-05,0.0
SPATS2L,0.18334314302530902,0.01489111241907004,0.00011771630370806356,0.00011771630370806356,0.0
UTP14C,0.09264273101824602,0.006121247792819306,5.885815185403178e-05,5.885815185403178e-05,0.0
FOXD1,0.0948204826368452,0.006180105944673337,0.0,0.0,0.0
FOXD3,0.1825779870512066,0.014067098293113596,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
FOXD4L1,0.10023543260741613,0.008416715715126545,0.0,0.0,0.0
FOXE1,0.1349617422012949,0.014302530900529723,5.885815185403178e-05,5.885815185403178e-05,0.0
JARID1B,0.15862271924661567,0.004532077692760447,0.00011771630370806356,0.00011771630370806356,0.0
SPAG6,0.024190700412007063,0.00047086521483225425,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
GUCA2B,0.01948204826368452,0.0008828722778104767,0.0,0.0,0.0
RSPO1,0.1527369040612125,0.010241318422601531,5.885815185403178e-05,5.885815185403178e-05,0.0
FOXR1,0.14025897586815775,0.009005297233666863,0.0,0.0,0.0
FPGT,0.005002942907592701,0.0,0.0,0.0,0.0
FUK,0.09393761035903472,0.005002942907592701,0.0,0.0,0.0
FRA10F,0.172218952324897,0.007651559741024131,0.0,0.0,0.0
AVO3,0.02177751618599176,5.885815185403178e-05,0.0,0.0,0.0
FREM1,0.04885226603884638,0.0017068864037669217,5.885815185403178e-05,5.885815185403178e-05,0.0
FRG2C,0.15550323719835196,0.015773984696880516,0.0,0.0,0.0
LOC152485,0.030547380812242494,0.001059446733372572,5.885815185403178e-05,5.885815185403178e-05,0.0
SCO1,0.11147733961153619,0.006121247792819306,0.00011771630370806356,0.00011771630370806356,0.0
TEAD2,0.1791053560918187,0.009947027663331371,0.0002942907592701589,0.0002942907592701589,0.0
ZFP30,0.14367274867569158,0.007886992348440258,0.00011771630370806356,0.00011771630370806356,0.0
ZNF343,0.13060623896409654,0.01153619776339023,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
FRMD1,0.20623896409652737,0.013655091230135374,0.0,0.0,0.0
FRMD4A,0.10765155974102414,0.0013537374926427311,5.885815185403178e-05,0.0,5.885815185403178e-05
