gene_xlaevis_wound_down,xlaevis_wound_down_Fraction_sp_less7,xlaevis_wound_down_Fraction_sp_less6,xlaevis_wound_down_Fraction_sp_less5,xlaevis_wound_down_Fraction_sp_less4,xlaevis_wound_down_Fraction_sp_less3,xlaevis_wound_down_Fraction_sp_less2,xlaevis_wound_down_Fraction_sp_1,xlaevis_wound_down_Fraction_sp_0
CARD16,0.10227031614682792,0.06980691703798006,0.029705071079991513,0.013155102906853384,0.005941014215998302,0.000424358158285593,0.000424358158285593,0.0
CARD14,0.09229789942711648,0.057712709526840655,0.030129429238277106,0.012518565669424995,0.000848716316571186,0.0002121790791427965,0.0002121790791427965,0.0
CUL4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUL4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMMT,0.09187354126883089,0.06047103755569701,0.03161468279227668,0.021005728835136857,0.014215998302567368,0.001697432633142372,0.001697432633142372,0.0
SLC6A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC6A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC6A5,0.002546148949713558,0.0021217907914279654,0.0019096117122851686,0.0019096117122851686,0.000848716316571186,0.0,0.0,0.0
SLC6A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC6A9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC6A8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIAA1919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C12orf57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FMNL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FMNL3,0.07956715467854869,0.05177169531084235,0.03416083174199024,0.013155102906853384,0.0006365372374283895,0.0,0.0,0.0
FMNL1,0.09378315298111606,0.04964990451941439,0.02143008699342245,0.008274984086569064,0.0046679397411415234,0.000424358158285593,0.000424358158285593,0.0
MAPRE1,0.06131975387226819,0.04116274135370253,0.020369191597708464,0.002970507107999151,0.000424358158285593,0.0,0.0,0.0
MAPRE3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAPRE2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNF219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNF215,0.09060046679397411,0.056015276893698285,0.019732654360280075,0.007850625928283471,0.000424358158285593,0.0,0.0,0.0
HIST3H3,0.0023339698705707617,0.0019096117122851686,0.0010608953957139827,0.000424358158285593,0.000424358158285593,0.0,0.0,0.0
RNF213,0.031826861871419476,0.015276893698281349,0.007001909611712286,0.000848716316571186,0.0002121790791427965,0.0,0.0,0.0
MED29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED28,0.08444727349883302,0.058349246764269044,0.02206662423085084,0.00488011882028432,0.0002121790791427965,0.0,0.0,0.0
MED21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENAH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
MED22,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
MED25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEPT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEPT8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEPT5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEPT4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEPT7,0.10799915128368343,0.08274984086569065,0.05007426267769998,0.022278803309993635,0.0038192234245703373,0.000424358158285593,0.000424358158285593,0.0
SEPT6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEPT1,0.09951198811797157,0.05728835136855506,0.02673456397199236,0.01103331211542542,0.005092297899427116,0.0002121790791427965,0.0002121790791427965,0.0
SEPT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEPT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIAP1,0.06322936558455336,0.03203904095056227,0.018671758964566094,0.0061531932951410994,0.000424358158285593,0.0,0.0,0.0
YARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARP8,0.08168894546997665,0.0426479949077021,0.01994483343942287,0.008699342244854658,0.0023339698705707617,0.0,0.0,0.0
PARP9,0.04328453214513049,0.021217907914279653,0.008487163165711862,0.001697432633142372,0.0002121790791427965,0.0002121790791427965,0.0,0.0002121790791427965
DNAJC5B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARP6,0.08084022915340547,0.03479736897941863,0.011669849352853808,0.004031402503713134,0.000424358158285593,0.0,0.0,0.0
