gene_sscrofa_wound_up,sscrofa_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less3,sscrofa_wound_up_Fraction_sp_less2,sscrofa_wound_up_Fraction_sp_1,sscrofa_wound_up_Fraction_sp_0
TPSD1,0.2884255930984903,0.033141624730409776,7.189072609633358e-05,7.189072609633358e-05,0.0
WISP1,0.2910136592379583,0.03335729690869878,0.00014378145219266715,0.00014378145219266715,0.0
ZNF121,0.2884255930984903,0.033141624730409776,7.189072609633358e-05,7.189072609633358e-05,0.0
MYH1,0.32473040977713874,0.060100647016534864,0.0003594536304816679,0.0003594536304816679,0.0
MYL4,0.2566498921639109,0.014450035945363048,0.0013659237958303378,0.0012940330697340044,7.189072609633358e-05
MYH14,0.23882099209202012,0.011358734723220704,0.0,0.0,0.0
MYLPF,0.2867002156721783,0.02415528396836808,0.0008626887131560029,0.0007907979870596693,7.189072609633358e-05
MYH7B,0.3165348670021567,0.05291157440690151,0.0,0.0,0.0
MYL10,0.2695183321351546,0.020848310567936738,0.0006470165348670022,0.0006470165348670022,0.0
TMOD1,0.2541337167505392,0.013946800862688713,0.0012940330697340044,0.0012940330697340044,0.0
MYL7,0.2695183321351546,0.020848310567936738,0.0006470165348670022,0.0006470165348670022,0.0
MYO16,0.16283249460819554,0.007189072609633357,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
MYRIP,0.11020848310567936,0.0023005032350826744,0.0002875629043853343,0.0002875629043853343,0.0
OLFM3,0.14953271028037382,0.0096333572969087,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
SERPINF1,0.2291157440690151,0.009992810927390367,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
MYOM2,0.15485262401150252,0.008411214953271028,0.0,0.0,0.0
MYPOP,0.17958303378864127,0.012149532710280374,0.0,0.0,0.0
MZB1,0.08303378864126527,0.0012221423436376707,0.0,0.0,0.0
MZT2A,0.11574406901509705,0.0016534867002156721,7.189072609633358e-05,7.189072609633358e-05,0.0
MZT1,0.1618979151689432,0.0027318475916606757,0.0002875629043853343,0.0002875629043853343,0.0
MZT2B,0.17397555715312724,0.0031631919482386773,0.0002875629043853343,0.0002875629043853343,0.0
N4BP2L2,0.18986340762041698,0.01286843997124371,7.189072609633358e-05,7.189072609633358e-05,0.0
NAA15,0.2175413371675054,0.008770668583752696,0.00021567217828900073,0.00021567217828900073,0.0
NAA30,0.015600287562904385,0.00021567217828900073,7.189072609633358e-05,7.189072609633358e-05,0.0
THUMPD3,0.028253055355859095,0.0013659237958303378,0.0,0.0,0.0
NABP2,0.041480948957584474,0.0009345794392523365,7.189072609633358e-05,7.189072609633358e-05,0.0
NAF1,0.10222861250898634,0.0034507548526240116,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
SFRP2,0.22961897915168944,0.0066139468008626886,0.0007907979870596693,0.0007189072609633358,7.189072609633358e-05
NANOS2,0.005679367361610352,0.0002875629043853343,0.0,0.0,0.0
VAMP8,0.27059669302659956,0.012796549245147375,0.0006470165348670022,0.0006470165348670022,0.0
NAPB,0.15815959741193386,0.009705248023005032,0.0,0.0,0.0
NAPG,0.20503235082674334,0.013946800862688713,7.189072609633358e-05,7.189072609633358e-05,0.0
RAB11FIP5,0.23932422717469445,0.012437095614665708,7.189072609633358e-05,7.189072609633358e-05,0.0
NAPSA,0.19985621854780733,0.010855499640546369,0.0,0.0,0.0
NBEA,0.2066139468008627,0.01207764198418404,0.0002875629043853343,0.0002875629043853343,0.0
ST8SIA3,0.15384615384615385,0.009920920201294033,0.00014378145219266715,0.00014378145219266715,0.0
NCAPD3,0.32386772106398276,0.06276060388209921,0.0,0.0,0.0
RNF40,0.29690869877785764,0.026096333572969088,0.00043134435657800146,0.0003594536304816679,7.189072609633358e-05
SYTL1,0.11998562185478073,0.0033069734004313443,0.0002875629043853343,0.0002875629043853343,0.0
NCLN,0.3257368799424874,0.06355140186915888,7.189072609633358e-05,0.0,7.189072609633358e-05
NUCB2,0.23321351545650612,0.015456506110711718,0.00021567217828900073,0.00021567217828900073,0.0
NSMCE4A,0.0603882099209202,0.0006470165348670022,7.189072609633358e-05,0.0,7.189072609633358e-05
SMC5,0.206901509705248,0.008483105679367362,7.189072609633358e-05,7.189072609633358e-05,0.0
NDRG3,0.23781452192667146,0.013731128684399713,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
NDUFB5,0.30071890726096334,0.03249460819554278,0.0013659237958303378,0.0013659237958303378,0.0
NDUFC2,0.2409058231488138,0.0066139468008626886,0.0012221423436376707,0.0011502516175413372,7.189072609633358e-05
NDUFA2,0.25168943206326383,0.007189072609633357,0.0012940330697340044,0.0012940330697340044,0.0
OXSM,0.16858375269590223,0.003953989935298346,0.00021567217828900073,0.00021567217828900073,0.0
SFTPC,0.2312724658519051,0.010567936736161035,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
SCN1A,0.18130841121495328,0.004169662113587347,0.0,0.0,0.0
TMEFF2,0.17117181883537025,0.003522645578720345,7.189072609633358e-05,7.189072609633358e-05,0.0
NEIL3,0.1873472322070453,0.00402588066139468,7.189072609633358e-05,7.189072609633358e-05,0.0
UBL4B,0.17296908698777858,0.010855499640546369,7.189072609633358e-05,7.189072609633358e-05,0.0
ZNF354C,0.15794392523364487,0.008483105679367362,0.0,0.0,0.0
ZNF69,0.16290438533429188,0.00884255930984903,0.0,0.0,0.0
NEK5,0.2252336448598131,0.0199137311286844,7.189072609633358e-05,7.189072609633358e-05,0.0
RUFY3,0.26908698777857654,0.026096333572969088,0.00043134435657800146,0.0003594536304816679,7.189072609633358e-05
SLC9A6,0.22034507548526241,0.011790079079798706,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
TIMM23,0.21193386053199137,0.016462976276060387,0.00014378145219266715,0.00014378145219266715,0.0
ZBED3,0.15427749820273184,0.007836089144500359,7.189072609633358e-05,7.189072609633358e-05,0.0
