gene_hsapiens_stress_up,hsapiens_stress_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less3,hsapiens_stress_up_Fraction_sp_less2,hsapiens_stress_up_Fraction_sp_1,hsapiens_stress_up_Fraction_sp_0
TAF5L,0.23794794417201057,0.04941531497548095,0.0006035458317615994,0.0006035458317615994,0.0
DBT,0.24254998113919277,0.06993587325537533,0.0007544322897019992,0.0007544322897019992,0.0
ASTE1,0.24971708789136174,0.07876273104488872,0.0024896265560165973,0.0024141833270463976,7.544322897019993e-05
MED1,0.24918898528857036,0.08532629196529612,0.005960015088645794,0.0058845718596755945,7.544322897019993e-05
MED6,0.23274236137306678,0.04986797434930215,0.0016597510373443983,0.0016597510373443983,0.0
MED7,0.0,0.0,0.0,0.0,0.0
MED4,0.24330441342889475,0.06148623161071294,0.0009053187476423991,0.0009053187476423991,0.0
MED8,0.24654847227461335,0.06880422482082234,0.000980761976612599,0.000980761976612599,0.0
MED9,0.2550735571482459,0.0906073179932101,0.0029422859298377972,0.0029422859298377972,0.0
MNX1,0.23402489626556017,0.04239909468125236,0.0005281026027913995,0.0005281026027913995,0.0
POP7,0.24292719728404374,0.07604677480196152,0.000980761976612599,0.000980761976612599,0.0
CCDC90B,0.23591097698981517,0.04436061863447756,0.0005281026027913995,0.0005281026027913995,0.0
TCF4,0.26246699358732556,0.13874009807619767,0.008977744247453791,0.008902301018483591,7.544322897019993e-05
TCF7,0.26163711806865336,0.13775933609958507,0.012372689551112788,0.012372689551112788,0.0
TCF3,0.2572614107883817,0.11655978875895888,0.005582798943794795,0.005507355714824595,7.544322897019993e-05
POP4,0.2509996227838551,0.08419464353074312,0.001961523953225198,0.001961523953225198,0.0
AFP,0.14477555639381365,0.005281026027913994,0.0005281026027913995,0.0005281026027913995,0.0
STK32C,0.24534138061109015,0.047076574877404756,0.001131648434552999,0.001131648434552999,0.0
STK32B,0.2087514145605432,0.038551490003772164,0.0005281026027913995,0.0005281026027913995,0.0
STK32A,0.25492267069030555,0.09166352319879291,0.0034703885326291964,0.0033949453036589967,7.544322897019993e-05
PPP5C,0.1005658242172765,0.0029422859298377972,0.00015088645794039985,0.00015088645794039985,0.0
ISLR2,0.23078083741984157,0.050471520181063746,0.0006789890607317993,0.0006789890607317993,0.0
MDN1,0.23817427385892115,0.06254243681629573,0.001961523953225198,0.001961523953225198,0.0
AMPD3,0.24662391550358356,0.07076574877404752,0.000980761976612599,0.0009053187476423991,7.544322897019993e-05
AMPD2,0.25628064881176915,0.0983779705771407,0.0016597510373443983,0.0016597510373443983,0.0
AMPD1,0.1974349302150132,0.03115805356469257,0.0006789890607317993,0.0006789890607317993,0.0
AREG,0.22753677857412297,0.03138438325160317,0.0006789890607317993,0.0006035458317615994,7.544322897019993e-05
MRGPRX2,0.22761222180309318,0.040211241041116556,0.0003017729158807997,0.0003017729158807997,0.0
UTP18,0.23900414937759337,0.06767257638626933,0.0006789890607317993,0.0006789890607317993,0.0
TET2,0.25877027536778574,0.11452282157676348,0.003998491135420596,0.003923047906450396,7.544322897019993e-05
OR2F2,0.14673708034703886,0.010562052055827989,0.002036967182195398,0.001961523953225198,7.544322897019993e-05
MYO18B,1.0,1.0,1.0,0.0,1.0
PCBD2,0.25311203319502074,0.07204828366654092,0.001886080724254998,0.0018106374952847981,7.544322897019993e-05
PRDX6,0.24270086759713316,0.05658242172764994,0.0006789890607317993,0.0006789890607317993,0.0
PRDX5,0.25409279517163336,0.09007921539041872,0.0012825348924933987,0.0012825348924933987,0.0
PCBD1,0.2545454545454545,0.0940777065258393,0.0033195020746887966,0.0033195020746887966,0.0
PRDX3,0.25394190871369293,0.0981516408902301,0.0027159562429271973,0.0027159562429271973,0.0
PRDX1,0.22987551867219916,0.041569219162580155,0.00045265937382119953,0.00045265937382119953,0.0
AP3S2,0.24926442851754055,0.07929083364768012,0.001056205205582799,0.001056205205582799,0.0
AP3S1,0.17676348547717843,0.012523576009053187,0.0,0.0,0.0
PITX2,0.17706525839305923,0.015164089023010184,0.0003772161448509996,0.0003017729158807997,7.544322897019993e-05
PITX3,0.21003394945303658,0.018257261410788383,7.544322897019993e-05,7.544322897019993e-05,0.0
PITX1,0.18113919275745002,0.015843078083741986,0.0003772161448509996,0.0003017729158807997,7.544322897019993e-05
AXIN2,0.23885326291965295,0.06970954356846473,0.0008298755186721991,0.0007544322897019992,7.544322897019993e-05
AXIN1,0.24413428894756695,0.07121840814786873,0.0018106374952847981,0.0018106374952847981,0.0
MMRN1,0.25628064881176915,0.09287061486231611,0.0058845718596755945,0.005809128630705394,7.544322897019993e-05
PLA2R1,0.2588457185967559,0.11407016220294229,0.0067898906073179935,0.006714447378347793,7.544322897019993e-05
IGLON5,0.17963032817804603,0.015088645794039984,0.00015088645794039985,0.00015088645794039985,0.0
CD38,0.225273481705017,0.04126744624669936,0.0015088645794039985,0.0014334213504337986,7.544322897019993e-05
TSSK1B,0.0,0.0,0.0,0.0,0.0
ZFR,0.26314598264805733,0.14854771784232365,0.007167106752168993,0.007091663523198793,7.544322897019993e-05
IFI27,0.1997736703130894,0.04006035458317616,0.0006789890607317993,0.0006789890607317993,0.0
CD33,0.25484722746133537,0.09626556016597511,0.014183327046397586,0.014107883817427386,7.544322897019993e-05
CD34,0.26171256129762355,0.12161448509996228,0.016672953602414182,0.016672953602414182,0.0
CD36,0.2593738211995473,0.1064503960769521,0.003847604677480196,0.003772161448509996,7.544322897019993e-05
CD37,0.25160316861561677,0.0905318747642399,0.012976235382874388,0.012900792153904187,7.544322897019993e-05
