gene_hsapiens_stress_up,hsapiens_stress_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less3,hsapiens_stress_up_Fraction_sp_less2,hsapiens_stress_up_Fraction_sp_1,hsapiens_stress_up_Fraction_sp_0
PPP1R14B,0.0011930801352157488,0.00039769337840524953,0.0,0.0,0.0
PPP1R14C,0.0,0.0,0.0,0.0,0.0
PPP1R14A,0.06760787432889243,0.023463909325909724,0.0013919268244183733,0.0013919268244183733,0.0
ACY1,0.00019884668920262477,0.0,0.0,0.0,0.0
PCDH10,0.04951282561145357,0.014316961622588983,0.0013919268244183733,0.0011930801352157488,0.00019884668920262477
PCDH17,0.0,0.0,0.0,0.0,0.0
ALKBH8,0.0,0.0,0.0,0.0,0.0
PCDH15,0.0,0.0,0.0,0.0,0.0
VPS53,1.0,1.0,1.0,0.0,1.0
ALKBH7,0.005170013919268244,0.0005965400676078744,0.0,0.0,0.0
VPS51,0.0,0.0,0.0,0.0,0.0
ALKBH2,0.0,0.0,0.0,0.0,0.0
ALKBH3,0.0,0.0,0.0,0.0,0.0
ALKBH1,0.0,0.0,0.0,0.0,0.0
PVR,1.0,1.0,1.0,0.0,1.0
KISS1,0.009345794392523364,0.000994233446013124,0.0,0.0,0.0
THAP3,0.0,0.0,0.0,0.0,0.0
NIPAL4,1.0,1.0,1.0,0.0,1.0
COL17A1,0.022270829190693973,0.005368860608470869,0.00019884668920262477,0.00019884668920262477,0.0
LIME1,0.006164247365281368,0.00019884668920262477,0.0,0.0,0.0
DHH,0.0,0.0,0.0,0.0,0.0
CDK20,0.05090475243587194,0.017697355339033605,0.001789620202823623,0.001789620202823623,0.0
ALPPL2,0.0,0.0,0.0,0.0,0.0
NRIP1,1.0,1.0,1.0,0.0,1.0
NRIP2,0.0,0.0,0.0,0.0,0.0
NRIP3,1.0,1.0,1.0,0.0,1.0
VTI1A,0.0,0.0,0.0,0.0,0.0
VTI1B,0.0,0.0,0.0,0.0,0.0
CDKN2AIP,0.0,0.0,0.0,0.0,0.0
CHSY3,0.0,0.0,0.0,0.0,0.0
CHSY1,0.0,0.0,0.0,0.0,0.0
AMACR,1.0,1.0,1.0,0.0,1.0
OCIAD2,0.03758202425929608,0.01252734141976536,0.0005965400676078744,0.0005965400676078744,0.0
OCIAD1,1.0,1.0,1.0,0.0,1.0
TRMU,0.009345794392523364,0.0011930801352157488,0.0,0.0,0.0
SH3GLB1,0.0,0.0,0.0,0.0,0.0
SH3GLB2,0.0033803937164446213,0.0,0.0,0.0,0.0
CHERP,0.0023861602704314975,0.0005965400676078744,0.00019884668920262477,0.00019884668920262477,0.0
TCL6,1.0,1.0,1.0,0.0,1.0
RCBTB2,0.0,0.0,0.0,0.0,0.0
HELT,0.0,0.0,0.0,0.0,0.0
