gene_hsapiens_stress_up,hsapiens_stress_up_Fraction_sp_less7,hsapiens_stress_up_Fraction_sp_less6,hsapiens_stress_up_Fraction_sp_less5,hsapiens_stress_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less3,hsapiens_stress_up_Fraction_sp_less2,hsapiens_stress_up_Fraction_sp_1,hsapiens_stress_up_Fraction_sp_0
PTPN5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTPN4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTF3,0.2594555528788244,0.20898578655745603,0.0845579378463021,0.012888460611900746,0.002288605155384245,0.0010840761262346423,0.0010840761262346423,0.0
WASH2P,0.2733076367140448,0.25873283546133463,0.20356540592628283,0.08925560105998555,0.01975427607805348,0.001927246446639364,0.001927246446639364,0.0
NNMT,0.26620091544206215,0.21645386653818358,0.11250301132257287,0.043724403758130574,0.00927487352445194,0.0006022645145748012,0.000481811611659841,0.00012045290291496025
AGBL5,0.2712599373644905,0.24174897615032523,0.14586846543001686,0.04830161406889906,0.009033967718622018,0.0,0.0,0.0
AGBL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGBL2,0.27390990122861963,0.2557215128884606,0.1942905324018309,0.07733076367140448,0.012647554806070826,0.0007227174174897615,0.0007227174174897615,0.0
EVI5L,0.27041676704408574,0.2430739580823898,0.14382076608046254,0.03155866056371959,0.0015658877378944833,0.00012045290291496025,0.00012045290291496025,0.0
RBM12B,0.2740303541315346,0.25788966514092987,0.18947241628523248,0.08805107203083594,0.026740544447121175,0.0018067935437244037,0.0016863406408094434,0.00012045290291496025
ARRB2,0.26559865092748736,0.22681281618887014,0.12804143579860275,0.0481811611659841,0.022163334136352686,0.0027704167670440857,0.0027704167670440857,0.0
ARRB1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
GPNMB,0.27643941218983376,0.2627077812575283,0.20766080462539147,0.10105998554565165,0.036858588291977835,0.00469766321368345,0.00469766321368345,0.0
PSMA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSMA3,0.2566851361117803,0.1927246446639364,0.05902192242833052,0.011443025776921224,0.0010840761262346423,0.0,0.0,0.0
PSMA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSMA6,0.2690917851120212,0.24223078776198506,0.14442303059503733,0.037701758612382556,0.007588532883642495,0.00036135870874488076,0.00036135870874488076,0.0
PSMA7,0.2702963141411708,0.24439894001445434,0.15538424476029872,0.030595037340399905,0.001445434834979523,0.00012045290291496025,0.00012045290291496025,0.0
PSMA4,0.2580101180438449,0.19392917369308602,0.06853770175861239,0.01409298964105035,0.0027704167670440857,0.00012045290291496025,0.00012045290291496025,0.0
PSMA5,0.2721031076848952,0.254396530956396,0.18067935437244037,0.051072030835943145,0.008190797398217297,0.0006022645145748012,0.0006022645145748012,0.0
PSMA8,0.07648759335099976,0.0187906528547338,0.008793061912792098,0.005420380631173212,0.004095398699108649,0.0021681522524692846,0.0021681522524692846,0.0
SYNRG,0.26836906769453145,0.24223078776198506,0.15899783184774752,0.053240183088412434,0.006745362563237774,0.00012045290291496025,0.00012045290291496025,0.0
MGLL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGPAT6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGPAT5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGPAT4,0.27776439412189835,0.2646350277041677,0.2169356781498434,0.10611900746807998,0.025054203806311733,0.0008431703204047217,0.0008431703204047217,0.0
AGPAT3,0.2718622018790653,0.25764875933509995,0.18405203565405925,0.08058299205010841,0.02409058058299205,0.00036135870874488076,0.00036135870874488076,0.0
AGPAT2,0.2622259696458685,0.20489038785834737,0.08901469525415563,0.010358949650686582,0.0006022645145748012,0.00012045290291496025,0.0,0.00012045290291496025
AGPAT1,0.2580101180438449,0.18634064080944351,0.0763671404480848,0.0074680799807275355,0.00012045290291496025,0.0,0.0,0.0
AGPAT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOXO3,0.2676463502770417,0.23307636714044808,0.12828234160443266,0.03890628764153216,0.004336304504938569,0.00036135870874488076,0.00036135870874488076,0.0
FOXO1,0.2754757889665141,0.2612623464225488,0.19983136593591905,0.08540110816670682,0.016381594796434595,0.0008431703204047217,0.0008431703204047217,0.0
FOXO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM159,0.2684895205974464,0.2327150084317032,0.1233437725849193,0.0381835702240424,0.004456757407853529,0.0,0.0,0.0
OSTF1,0.27668031799566367,0.2642736689954228,0.21958564201397254,0.1069621777884847,0.030474584437484943,0.0020476993495543243,0.0020476993495543243,0.0
HTR4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
METTL2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GANAB,0.2535533606359913,0.18465430016863407,0.05829920501084076,0.0042158516020236085,0.0006022645145748012,0.0,0.0,0.0
SLC34A1,0.12804143579860275,0.04047217537942664,0.012286196097325945,0.001445434834979523,0.00012045290291496025,0.0,0.0,0.0
SLC34A3,0.26897133220910624,0.23139002649963863,0.12490966032281378,0.03372681281618887,0.01011804384485666,0.0002409058058299205,0.0002409058058299205,0.0
SLC34A2,0.2549987954709709,0.18284750662490967,0.06335822693326909,0.01891110575764876,0.003493134184533847,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
OR2AE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF3CL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBR3,0.25536015417971575,0.19802457239219465,0.0751626114189352,0.00987713803902674,0.00012045290291496025,0.0,0.0,0.0
UBR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBR1,0.2680077089857866,0.23199229101421345,0.13984582028426884,0.04396530956396049,0.005781739339918092,0.0002409058058299205,0.0002409058058299205,0.0
UBR7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBR5,0.27439171284027947,0.25873283546133463,0.1951337027222356,0.08467839074921706,0.02324741026258733,0.0037340399903637678,0.0037340399903637678,0.0
UBR4,0.07600578173933992,0.021199710913033003,0.0021681522524692846,0.00012045290291496025,0.0,0.0,0.0,0.0
CCNY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCNF,0.2715008431703204,0.24439894001445434,0.1487593350999759,0.05348108889424235,0.008672609009877139,0.000481811611659841,0.000481811611659841,0.0
CCNC,0.27282582510238496,0.2457239219465189,0.15719103830402312,0.04336304504938569,0.009033967718622018,0.00036135870874488076,0.00036135870874488076,0.0
CCNO,0.2760780534810889,0.25813057094675984,0.18947241628523248,0.06865815466152735,0.01445434834979523,0.0008431703204047217,0.0007227174174897615,0.00012045290291496025
CCNH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCNI,0.2533124548301614,0.184895205974464,0.0733558178752108,0.00951577933028186,0.0008431703204047217,0.00012045290291496025,0.00012045290291496025,0.0
CCNJ,0.2215128884606119,0.11298482293423272,0.030233678631655023,0.00481811611659841,0.0006022645145748012,0.00012045290291496025,0.0,0.00012045290291496025
CCNK,0.248494338713563,0.17983618405203566,0.06588773789448325,0.01517706576728499,0.0015658877378944833,0.0002409058058299205,0.0002409058058299205,0.0
NCKAP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCKAP1,0.2721031076848952,0.2522283787039268,0.17622259696458684,0.04565165020476993,0.004456757407853529,0.00036135870874488076,0.00036135870874488076,0.0
JMY,0.26860997350036137,0.24162852324741027,0.15140929896410504,0.049385690195133704,0.006384003854492893,0.00012045290291496025,0.00012045290291496025,0.0
INVS,0.269694049626596,0.23789448325704649,0.13767766803179957,0.04866297277764394,0.0037340399903637678,0.00036135870874488076,0.00036135870874488076,0.0
CDC25C,0.2737894483257047,0.2541556251505661,0.1903155866056372,0.07708985786557455,0.018067935437244036,0.003493134184533847,0.003493134184533847,0.0
CDC25B,0.25258973741267166,0.19320645627559624,0.07564442303059504,0.007829438689472416,0.0013249819320645627,0.0002409058058299205,0.0002409058058299205,0.0
CDC25A,0.2660804625391472,0.22922187424716936,0.11756203324500121,0.030956396049144786,0.005420380631173212,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
UAP1,0.20814261623705133,0.07419898819561552,0.007708985786557456,0.001445434834979523,0.00012045290291496025,0.0,0.0,0.0
TMPRSS13,0.27896892315104793,0.26704408576246685,0.21898337749939772,0.11021440616718862,0.03348590701035895,0.0036135870874488074,0.0036135870874488074,0.0
ZNF821,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ZNF827,0.2710190315586606,0.23283546133461816,0.13526860997350035,0.03529270055408335,0.0037340399903637678,0.00012045290291496025,0.0,0.00012045290291496025
LRIG2,0.2737894483257047,0.2586123825584197,0.20790171043122138,0.09274873524451939,0.0281859792821007,0.0030113225728740063,0.0030113225728740063,0.0
LRIG1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
A1CF,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ACAN,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
POT1,0.2759576005781739,0.2612623464225488,0.20489038785834737,0.09744639845820284,0.026017827029631416,0.0008431703204047217,0.0008431703204047217,0.0
CD302,0.26620091544206215,0.22861960973259454,0.13719585642013973,0.054565165020476994,0.005661286437003131,0.00036135870874488076,0.00036135870874488076,0.0
CLPTM1L,0.275716694772344,0.2594555528788244,0.1973018549747049,0.06131052758371477,0.003854492893278728,0.00012045290291496025,0.00012045290291496025,0.0
LYZL1,0.18826788725608287,0.07251264755480608,0.017827029631414117,0.008190797398217297,0.004336304504938569,0.003372681281618887,0.003252228378703927,0.00012045290291496025
LYZL2,0.18826788725608287,0.07251264755480608,0.01770657672849916,0.007588532883642495,0.0042158516020236085,0.003252228378703927,0.003252228378703927,0.0
PIAS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIAS3,0.2742712599373645,0.26282823416044326,0.2072994459166466,0.10166225006022646,0.02397012768007709,0.0013249819320645627,0.0013249819320645627,0.0
