gene_hsapiens_stress_down,hsapiens_stress_down_Fraction_sp_less4,hsapiens_stress_down_Fraction_sp_less3,hsapiens_stress_down_Fraction_sp_less2,hsapiens_stress_down_Fraction_sp_1,hsapiens_stress_down_Fraction_sp_0
PABPC4,0.22648057336854016,0.01010939268200679,0.00015088645794039985,0.00015088645794039985,0.0
PHLPP2,0.34379479441720107,0.16076952093549604,0.01086382497170879,0.01086382497170879,0.0
PPME1,0.34409656733308186,0.14945303658996606,0.005507355714824595,0.005431912485854395,7.544322897019993e-05
CTNNBL1,0.3018483591097699,0.04534138061109015,0.00045265937382119953,0.00045265937382119953,0.0
PTPRN2,0.34364390795926064,0.14703885326291966,0.00927951716333459,0.009204073934364392,7.544322897019993e-05
HSF2BP,0.33489249339871746,0.12599019238023387,0.005054696341003395,0.005054696341003395,0.0
AASDHPPT,0.34334213504337985,0.15978875895888345,0.007996982270841191,0.007996982270841191,0.0
IDS,0.3290833647680121,0.0999622783855149,0.0036212749905695962,0.0035458317615993966,7.544322897019993e-05
NFATC3,0.33112033195020746,0.08638249717087891,0.0021878536401357977,0.002112410411165598,7.544322897019993e-05
GLIPR1L1,0.25839305922293476,0.03734439834024896,0.00022632968691059977,0.00022632968691059977,0.0
GLIPR1L2,0.33466616371180685,0.12591474915126366,0.006035458317615994,0.006035458317615994,0.0
NFATC4,0.34945303658996607,0.2047529234251226,0.022255752546208978,0.022255752546208978,0.0
IDE,0.3268955111278763,0.07574500188608073,0.0012070916635231988,0.0012070916635231988,0.0
SORL1,0.34160694077706527,0.14409656733308185,0.0053564692568841945,0.005281026027913994,7.544322897019993e-05
OBP2B,0.15971331572991324,0.008826857789513391,0.0017351942663145982,0.0016597510373443983,7.544322897019993e-05
POLD1,0.33572236891738966,0.13089400226329687,0.004073934364390796,0.004073934364390796,0.0
POLD2,0.3261410788381743,0.08427008675971331,0.0013579781214635986,0.0013579781214635986,0.0
POLD3,0.3024519049415315,0.05009430403621275,7.544322897019993e-05,7.544322897019993e-05,0.0
POLD4,0.34794417201056205,0.1941154281403244,0.011241041116559788,0.011241041116559788,0.0
DLC1,0.34304036212749905,0.16159939645416824,0.014937759336099586,0.014862316107129386,7.544322897019993e-05
NUB1,0.2958129007921539,0.04006035458317616,0.00045265937382119953,0.0003772161448509996,7.544322897019993e-05
ID4,0.32983779705771404,0.11633345907204828,0.004073934364390796,0.003998491135420596,7.544322897019993e-05
ID2,0.1087136929460581,0.002640513013956997,0.00015088645794039985,7.544322897019993e-05,7.544322897019993e-05
ID3,0.3242549981139193,0.1015465861938891,0.0053564692568841945,0.0053564692568841945,0.0
ID1,0.10841192003017729,0.006865333836288193,0.00015088645794039985,7.544322897019993e-05,7.544322897019993e-05
CPAMD8,0.25514900037721616,0.04496416446623915,0.0007544322897019992,0.0006789890607317993,7.544322897019993e-05
GLI2,0.3464353074311581,0.1829498302527348,0.01833270463975858,0.018257261410788383,7.544322897019993e-05
GLI3,0.34930215013202565,0.20324405884571858,0.024896265560165973,0.024820822331195775,7.544322897019993e-05
GLI1,0.1032063372312335,0.002263296869105998,0.00015088645794039985,7.544322897019993e-05,7.544322897019993e-05
GLI4,0.32402866842700867,0.07499056959637873,0.0016597510373443983,0.0016597510373443983,0.0
ORC6,0.3213127121840815,0.07627310448887212,0.0015843078083741984,0.0015843078083741984,0.0
ORC4,0.3377593360995851,0.14009807619766126,0.005507355714824595,0.005431912485854395,7.544322897019993e-05
ORC5,0.3063749528479819,0.05371557902678235,0.00022632968691059977,0.00022632968691059977,0.0
ORC2,0.3282534892493399,0.0991324028668427,0.0036212749905695962,0.0036212749905695962,0.0
ORC3,0.3437193511882309,0.16544700113164842,0.0063372312334967935,0.0063372312334967935,0.0
ORC1,0.3410033949453037,0.14696341003394944,0.005054696341003395,0.005054696341003395,0.0
DMKN,0.34304036212749905,0.14960392304790646,0.012146359864202188,0.012070916635231988,7.544322897019993e-05
GSTK1,0.34892493398717467,0.2021878536401358,0.010637495284798189,0.010637495284798189,0.0
NR0B2,0.3364013579781215,0.11135420596001509,0.002112410411165598,0.002112410411165598,0.0
NR0B1,0.3215390418709921,0.08494907582044511,0.002112410411165598,0.002036967182195398,7.544322897019993e-05
C2CD3,0.33662768766503204,0.11814409656733309,0.005507355714824595,0.005507355714824595,0.0
C2CD2,0.28064881176914375,0.04790645039607695,0.0003772161448509996,0.0003772161448509996,0.0
OSGEP,0.33738211995473405,0.12138815541305167,0.004224820822331196,0.004224820822331196,0.0
RRBP1,0.33896642776310826,0.11935118823085628,0.0036967182195397964,0.0036212749905695962,7.544322897019993e-05
BAK1,0.34718973972086004,0.19117314221048662,0.007468879668049793,0.007468879668049793,0.0
CSN2,0.013278008298755186,0.002036967182195398,0.0,0.0,0.0
CSN3,0.0021878536401357977,0.0,0.0,0.0,0.0
CNTFR,0.23538287438702377,0.023689173896642775,0.00022632968691059977,0.00022632968691059977,0.0
TACR3,0.06390041493775933,0.0016597510373443983,0.0,0.0,0.0
TACR2,0.33059222934741606,0.11248585439456808,0.004903809883062995,0.004828366654092795,7.544322897019993e-05
TACR1,0.34439834024896265,0.15888344021124104,0.013881554130516786,0.013806110901546586,7.544322897019993e-05
SERBP1,0.33874009807619765,0.1053187476423991,0.001961523953225198,0.001961523953225198,0.0
PPP4C,0.34522821576763485,0.18875895888344021,0.007921539041870993,0.007921539041870993,0.0
KIAA0586,0.27393436439079594,0.03319502074688797,0.0003017729158807997,0.00022632968691059977,7.544322897019993e-05
BARX2,0.34583176159939644,0.15126367408525085,0.016295737457563183,0.016295737457563183,0.0
BARX1,0.5,0.5,0.5,0.5,0.0
SH2B2,0.25846850245190495,0.024971708789136175,0.0003017729158807997,0.00022632968691059977,7.544322897019993e-05
SH2B3,0.34153149754809503,0.14055073557148245,0.012070916635231988,0.011995473406261788,7.544322897019993e-05
SH2B1,0.34568087514145607,0.17125612976235383,0.012523576009053187,0.012523576009053187,0.0
SRRT,0.34107883817427387,0.13866465484722745,0.004903809883062995,0.004903809883062995,0.0
TMEM51,0.2864579403998491,0.044134288947566956,0.0007544322897019992,0.0007544322897019992,0.0
PGLYRP1,0.17525462089777444,0.02089777442474538,0.0007544322897019992,0.0007544322897019992,0.0
PGLYRP4,0.34198415692191625,0.13821199547340626,0.008298755186721992,0.008298755186721992,0.0
RGS20,0.3108261033572237,0.05899660505469634,0.0009053187476423991,0.0009053187476423991,0.0
UTS2,0.0,0.0,0.0,0.0,0.0
ALKBH6,0.32138815541305166,0.07597133157299132,0.0015843078083741984,0.0015843078083741984,0.0
SASH3,0.34439834024896265,0.16250471520181065,0.023085628064881177,0.023085628064881177,0.0
SASH1,0.34635986420218784,0.15835533760844964,0.011241041116559788,0.011241041116559788,0.0
ALKBH5,0.3314975480950585,0.09754809505846851,0.0015088645794039985,0.0015088645794039985,0.0
CYB5A,0.2903055450773293,0.03055450773293097,0.000980761976612599,0.000980761976612599,0.0
CYB5B,0.0,0.0,0.0,0.0,0.0
VPS54,0.3287815918521313,0.1011693700490381,0.002866842700867597,0.002866842700867597,0.0
PCK2,0.34651075066012826,0.18234628442097323,0.007619766125990192,0.007619766125990192,0.0
PCK1,0.14183327046397587,0.005960015088645794,0.0003017729158807997,0.00022632968691059977,7.544322897019993e-05
OR10K2,0.0,0.0,0.0,0.0,0.0
OR10K1,0.0,0.0,0.0,0.0,0.0
MRPL33,0.34304036212749905,0.15171633345907204,0.004375707280271595,0.004375707280271595,0.0
ZMPSTE24,0.1839305922293474,0.00927951716333459,0.00015088645794039985,0.00015088645794039985,0.0
MRPL36,0.33738211995473405,0.11769143719351188,0.0033195020746887966,0.0033195020746887966,0.0
MRPL37,0.3450773293096945,0.16522067144473784,0.006186344775556394,0.006186344775556394,0.0
MRPL34,0.34138061109015466,0.13677857412297245,0.004602036967182196,0.004526593738211996,7.544322897019993e-05
MRPL35,0.33217653715579026,0.09566201433421351,0.0023387400980761975,0.0023387400980761975,0.0
MRPL32,0.2009053187476424,0.00973217653715579,0.00015088645794039985,0.00015088645794039985,0.0
MRPL30,0.3125612976235383,0.05952470765748774,0.0005281026027913995,0.0005281026027913995,0.0
CLEC17A,0.33836288193134667,0.12365145228215768,0.010712938513768389,0.010637495284798189,7.544322897019993e-05
MRPL38,0.3348170501697473,0.0991324028668427,0.001886080724254998,0.001886080724254998,0.0
THOC3,0.31542814032440586,0.06850245190494153,0.0006789890607317993,0.0006789890607317993,0.0
THOC2,0.33572236891738966,0.11550358355337609,0.004149377593360996,0.004149377593360996,0.0
THOC1,0.34628442097321765,0.18023387400980762,0.016522067144473785,0.016522067144473785,0.0
THOC7,0.3331572991324029,0.11286307053941909,0.001961523953225198,0.001961523953225198,0.0
THOC6,0.27876273104488875,0.034628442097321764,7.544322897019993e-05,7.544322897019993e-05,0.0
THOC5,0.3238777819690683,0.08034703885326291,0.0016597510373443983,0.0016597510373443983,0.0
ZNF672,0.3256129762353829,0.0998113919275745,0.0018106374952847981,0.0018106374952847981,0.0
RNF103,0.14024896265560166,0.004149377593360996,0.00015088645794039985,0.00015088645794039985,0.0
NUP88,0.3036589966050547,0.03741984156921916,0.0003017729158807997,0.00022632968691059977,7.544322897019993e-05
RECQL4,0.33987174651075064,0.13406261788004525,0.0033195020746887966,0.0033195020746887966,0.0
SAA4,0.017804602036967182,0.0003017729158807997,7.544322897019993e-05,7.544322897019993e-05,0.0
SAA2,0.025198038476046774,0.0005281026027913995,7.544322897019993e-05,7.544322897019993e-05,0.0
SAA1,0.2550735571482459,0.017653715579026782,0.0003017729158807997,0.00022632968691059977,7.544322897019993e-05
YTHDF3,0.2816295737457563,0.02776310826103357,0.0003772161448509996,0.0003772161448509996,0.0
PPOX,0.34228592983779704,0.15322519803847603,0.008449641644662392,0.008374198415692192,7.544322897019993e-05
YTHDF1,0.24111655978875896,0.012674462466993587,0.00015088645794039985,0.00015088645794039985,0.0
KTI12,0.3012448132780083,0.03115805356469257,0.0007544322897019992,0.0007544322897019992,0.0
GTSF1,0.27665032063372313,0.04903809883062995,0.0018106374952847981,0.0018106374952847981,0.0
NLK,0.3410033949453037,0.12968691059977366,0.004828366654092795,0.004752923425122595,7.544322897019993e-05
PHLDB2,0.3410033949453037,0.13511882308562806,0.01003394945303659,0.00995850622406639,7.544322897019993e-05
RSL24D1,0.3315729913240287,0.10811014711429649,0.0008298755186721991,0.0008298755186721991,0.0
LETMD1,0.32998868351565447,0.0926442851754055,0.0017351942663145982,0.0017351942663145982,0.0
MTMR12,0.22172764994341757,0.011241041116559788,0.00015088645794039985,0.00015088645794039985,0.0
MTMR11,0.3184458694832139,0.0898528857035081,0.0014334213504337986,0.0013579781214635986,7.544322897019993e-05
MTMR10,0.0,0.0,0.0,0.0,0.0
PTCHD2,0.33466616371180685,0.11603168615616749,0.005281026027913994,0.005281026027913994,0.0
BBX,0.34605809128630705,0.1771407016220294,0.012900792153904187,0.012825348924933987,7.544322897019993e-05
TCEB3,0.3081855903432667,0.042549981139192755,0.0003772161448509996,0.0003772161448509996,0.0
TCEB2,0.32727272727272727,0.08034703885326291,0.0015843078083741984,0.0015843078083741984,0.0
TCEB1,0.3396454168238401,0.13285552621652208,0.004224820822331196,0.004224820822331196,0.0
C20orf195,0.32923425122595246,0.1041116559788759,0.0015843078083741984,0.0015843078083741984,0.0
POR,0.3168615616748397,0.08193134666163712,0.0013579781214635986,0.0012825348924933987,7.544322897019993e-05
ST3GAL3,0.35216899283289327,0.23296869105997736,0.025499811391927574,0.025499811391927574,0.0
ST3GAL2,0.3353451527725387,0.1040362127499057,0.004602036967182196,0.004526593738211996,7.544322897019993e-05
ST3GAL1,0.3328555262165221,0.11618257261410789,0.0029422859298377972,0.002866842700867597,7.544322897019993e-05
ST3GAL6,0.24172010562052057,0.012221803093172388,7.544322897019993e-05,7.544322897019993e-05,0.0
ST3GAL5,0.22806488117691437,0.018408147868728783,0.00022632968691059977,0.00015088645794039985,7.544322897019993e-05
ST3GAL4,0.1836288193134666,0.011693700490380989,0.00015088645794039985,7.544322897019993e-05,7.544322897019993e-05
CEP131,0.33926820067898905,0.13640135797812147,0.004375707280271595,0.004300264051301396,7.544322897019993e-05
CEP135,0.34288947566955863,0.16318370426254244,0.005809128630705394,0.005809128630705394,0.0
BCKDHB,0.24345529988683515,0.014711429649188985,0.0005281026027913995,0.0005281026027913995,0.0
BCKDHA,0.32591474915126367,0.1080347038853263,0.0015843078083741984,0.0015843078083741984,0.0
WIPF3,0.34658619388909845,0.1895133911731422,0.013504337985665787,0.013428894756695587,7.544322897019993e-05
WIPF2,0.32440588457185965,0.08411920030177292,0.002036967182195398,0.002036967182195398,0.0
WIPF1,0.34937759336099583,0.2080724254998114,0.023990946812523575,0.023990946812523575,0.0
MON1A,0.3265937382119955,0.06714447378347793,0.0014334213504337986,0.0014334213504337986,0.0
MON1B,0.32840437570728026,0.1071293851376839,0.0015088645794039985,0.0015088645794039985,0.0
MC2R,0.2092795171633346,0.013806110901546586,0.00022632968691059977,0.00022632968691059977,0.0
RBM41,0.3307431158053565,0.0960392304790645,0.0015843078083741984,0.0015843078083741984,0.0
RBM42,0.2860052810260279,0.024896265560165973,0.0003017729158807997,0.0003017729158807997,0.0
RBM43,0.3253112033195021,0.1011693700490381,0.0015088645794039985,0.0015088645794039985,0.0
RBM45,0.33625047152018106,0.11882308562806489,0.005809128630705394,0.005809128630705394,0.0
RBM47,0.35066012825348924,0.225273481705017,0.01931346661637118,0.01923802338740098,7.544322897019993e-05
PPM1G,0.3225198038476047,0.07529234251225952,0.001056205205582799,0.001056205205582799,0.0
PPM1F,0.33625047152018106,0.11384383251603168,0.004903809883062995,0.004903809883062995,0.0
PPM1E,0.33443983402489624,0.11369294605809128,0.003847604677480196,0.003772161448509996,7.544322897019993e-05
PPM1D,0.3339871746510751,0.11044888721237268,0.001961523953225198,0.001961523953225198,0.0
PPM1B,0.2572614107883817,0.025198038476046774,0.00045265937382119953,0.0003772161448509996,7.544322897019993e-05
PPM1A,0.2730290456431535,0.021124104111655977,0.0006035458317615994,0.0006035458317615994,0.0
PPM1M,0.34666163711806863,0.18725009430403622,0.00943040362127499,0.00943040362127499,0.0
PPM1L,0.3069784986797435,0.04345529988683516,0.0006789890607317993,0.0006035458317615994,7.544322897019993e-05
PPM1J,0.32953602414183325,0.0885703508110147,0.002036967182195398,0.001961523953225198,7.544322897019993e-05
CHEK2,0.3073557148245945,0.06284420973217654,0.0003772161448509996,0.0003772161448509996,0.0
CHEK1,0.3073557148245945,0.05861938890984534,0.001131648434552999,0.001056205205582799,7.544322897019993e-05
GINS2,0.3296869105997737,0.0970199924556771,0.002112410411165598,0.002112410411165598,0.0
GINS3,0.23047906450396077,0.013956997359486986,0.00015088645794039985,0.00015088645794039985,0.0
GINS1,0.3410033949453037,0.12961146737080348,0.005205582798943795,0.005130139569973595,7.544322897019993e-05
GINS4,0.33164843455299886,0.10878913617502829,0.0029422859298377972,0.0029422859298377972,0.0
ALG10B,0.33089400226329685,0.1079592606563561,0.003847604677480196,0.003847604677480196,0.0
CYP2S1,0.3431912485854395,0.15435684647302905,0.01735194266314598,0.01735194266314598,0.0
ADI1,0.3054696341003395,0.04730290456431535,0.0012070916635231988,0.0012070916635231988,0.0
C9,0.011316484345529988,0.001056205205582799,0.00015088645794039985,0.00015088645794039985,0.0
C3,0.32757450018860806,0.08306299509619011,0.003093172387778197,0.003017729158807997,7.544322897019993e-05
C2,0.33353451527725386,0.11112787627310448,0.01048660882685779,0.01048660882685779,0.0
C7,0.3282534892493399,0.09686910599773671,0.004526593738211996,0.004526593738211996,0.0
C6,0.2890230101848359,0.034930215013202565,0.000980761976612599,0.000980761976612599,0.0
C5,0.2958129007921539,0.05273481705016975,0.0003017729158807997,0.00022632968691059977,7.544322897019993e-05
EXPH5,0.34628442097321765,0.15805356469256884,0.01750282912108638,0.017427385892116183,7.544322897019993e-05
CS,0.3143719351188231,0.05884571859675594,0.0003772161448509996,0.0003772161448509996,0.0
CP,0.15888344021124104,0.007921539041870993,0.00022632968691059977,0.00015088645794039985,7.544322897019993e-05
