gene_dmelanogaster_stress_up,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less3,dmelanogaster_stress_up_Fraction_sp_less2,dmelanogaster_stress_up_Fraction_sp_1,dmelanogaster_stress_up_Fraction_sp_0
SLC22A12,0.29980699120737725,0.29494602902280365,0.0072199585388519555,0.00714847380084352,7.14847380084352e-05
DESI2,0.29980699120737725,0.29801987275716635,0.007076989062835085,0.007005504324826649,7.14847380084352e-05
SLCO4C1,0.29980699120737725,0.2968761169490314,0.008292229608978484,0.008292229608978484,0.0
BTBD8,0.29980699120737725,0.2475516477232111,0.0011437558081349632,0.0011437558081349632,0.0
MED24,0.29980699120737725,0.2980913574951748,0.014011008649653298,0.013939523911644864,7.14847380084352e-05
MRFAP1,0.29980699120737725,0.29108585317034813,0.0047179927085567236,0.0047179927085567236,0.0
SLU7,0.29980699120737725,0.2993780827793266,0.018514547144184716,0.01844306240617628,7.14847380084352e-05
KLHDC3,0.29980699120737725,0.29458860533276143,0.0047179927085567236,0.0047179927085567236,0.0
TXNL4A,0.29980699120737725,0.2993065980413182,0.02130245192651369,0.021230967188505253,7.14847380084352e-05
GTF3C5,0.29980699120737725,0.2983772964472085,0.014797340767746086,0.014797340767746086,0.0
PKIG,0.29980699120737725,0.29315891057259275,0.0038601758524555007,0.0038601758524555007,0.0
TMEM51,0.29980699120737725,0.2845807420115805,0.0027879047823289728,0.0027879047823289728,0.0
PRR11,0.29980699120737725,0.29723354063907353,0.008649653299020659,0.008649653299020659,0.0
NELFE,0.29980699120737725,0.29787690328114946,0.014225462863678604,0.014225462863678604,0.0
DHX38,0.29980699120737725,0.29966402173136036,0.03181070841375366,0.03181070841375366,0.0
GTF3C1,0.29980699120737725,0.2982343269711917,0.010436771749231539,0.010436771749231539,0.0
RAPSN,0.29980699120737725,0.29551790692687113,0.006076202730716992,0.006076202730716992,0.0
GRHL1,0.29980699120737725,0.29623275430695545,0.005289870612624204,0.005289870612624204,0.0
MEPCE,0.29980699120737725,0.2987347201372507,0.015011794981771392,0.014940310243762956,7.14847380084352e-05
DPY30,0.29980699120737725,0.2993780827793266,0.017227821860032883,0.017227821860032883,0.0
DCUN1D5,0.29980699120737725,0.2979483880191579,0.013653584959611123,0.013653584959611123,0.0
LARP4,0.29980699120737725,0.2993065980413182,0.024161841446851098,0.024161841446851098,0.0
GTF3C4,0.29980699120737725,0.2967331474730145,0.011366073343341197,0.011366073343341197,0.0
POLA2,0.29980699120737725,0.29923511330330976,0.021373936664522124,0.021373936664522124,0.0
DCAF7,0.29980699120737725,0.29830581170920006,0.011937951247408679,0.011937951247408679,0.0
C19orf43,0.29980699120737725,0.29666166273500605,0.009864893845164058,0.009864893845164058,0.0
FAM32A,0.29980699120737725,0.2638501679891343,0.0020015726642361857,0.0020015726642361857,0.0
PLEKHM1,0.29980699120737725,0.29623275430695545,0.006862534848809779,0.006862534848809779,0.0
MORF4L1,0.29980699120737725,0.2995210522553435,0.031095861033669313,0.031024376295660877,7.14847380084352e-05
CCDC130,0.29980699120737725,0.2982343269711917,0.00922153120308814,0.009150046465079706,7.14847380084352e-05
MORC2,0.29980699120737725,0.297805418543141,0.008363714346986918,0.008363714346986918,0.0
TFCP2L1,0.29980699120737725,0.2951604832368289,0.004432053756522982,0.004432053756522982,0.0
TFCP2,0.29980699120737725,0.298949174351276,0.009507470155121881,0.009507470155121881,0.0
GINS1,0.29980699120737725,0.29944956751733504,0.019014940310243762,0.018943455572235327,7.14847380084352e-05
RNF26,0.29980699120737725,0.2957323611408964,0.004575023232539853,0.004575023232539853,0.0
PRPF18,0.29980699120737725,0.29830581170920006,0.01072271070126528,0.010651225963256844,7.14847380084352e-05
URM1,0.29980699120737725,0.29787690328114946,0.012724283365501465,0.012724283365501465,0.0
RB1CC1,0.29980699120737725,0.2990921438272929,0.017227821860032883,0.017227821860032883,0.0
ZKSCAN3,0.29980699120737725,0.2979483880191579,0.007005504324826649,0.007005504324826649,0.0
PITPNM3,0.29980699120737725,0.29859175066123383,0.009793409107155622,0.009793409107155622,0.0
ZNF638,0.29980699120737725,0.2969476016870398,0.006147687468725427,0.006147687468725427,0.0
GPR160,0.29980699120737725,0.2869397383658589,0.0024304810922867967,0.0024304810922867967,0.0
ACBD3,0.29980699120737725,0.2993780827793266,0.011509042819358066,0.011437558081349632,7.14847380084352e-05
ULK4,0.29980699120737725,0.2976624490671242,0.008220744870970048,0.008220744870970048,0.0
ESD,0.29980699120737725,0.29944956751733504,0.01880048609621846,0.018729001358210023,7.14847380084352e-05
WAC,0.29980699120737725,0.2995925369933519,0.019300879262277505,0.019300879262277505,0.0
INTS6,0.29980699120737725,0.29830581170920006,0.010222317535206233,0.010222317535206233,0.0
ZBTB24,0.29980699120737725,0.2988062048752591,0.010365287011223103,0.010365287011223103,0.0
E2F5,0.29980699120737725,0.2995210522553435,0.024161841446851098,0.024161841446851098,0.0
MADD,0.29980699120737725,0.2982343269711917,0.00907856172707127,0.00907856172707127,0.0
RBM23,0.29980699120737725,0.29859175066123383,0.011437558081349632,0.011437558081349632,0.0
HNRNPL,0.29980699120737725,0.2997355064693688,0.036957609550360995,0.036957609550360995,0.0
SUMF2,0.29980699120737725,0.29830581170920006,0.009364500679105011,0.009364500679105011,0.0
RNF13,0.29980699120737725,0.2967331474730145,0.005504324826649511,0.005504324826649511,0.0
LACRT,0.29980699120737725,0.27907641718493104,0.0027879047823289728,0.0027879047823289728,0.0
LAMTOR2,0.29980699120737725,0.2993065980413182,0.013725069697619559,0.013725069697619559,0.0
E2F8,0.29980699120737725,0.2995925369933519,0.019586818214311245,0.019586818214311245,0.0
DEPTOR,0.29980699120737725,0.2975194795911073,0.009578954893130317,0.009578954893130317,0.0
NQO2,0.29980699120737725,0.2960183000929302,0.0064336264207591675,0.0064336264207591675,0.0
MICA,0.29980699120737725,0.2985202659232254,0.008006290656944743,0.008006290656944743,0.0
BNIP3L,0.29980699120737725,0.298949174351276,0.01265279862749303,0.012581313889484596,7.14847380084352e-05
E2F2,0.29980699120737725,0.29966402173136036,0.027307169919222246,0.02723568518121381,7.14847380084352e-05
PMAIP1,0.29980699120737725,0.298949174351276,0.014797340767746086,0.014797340767746086,0.0
KBTBD7,0.29980699120737725,0.297805418543141,0.008864107513045965,0.008864107513045965,0.0
STK36,0.29980699120737725,0.2967331474730145,0.00729144327686039,0.0072199585388519555,7.14847380084352e-05
MAP1LC3B2,0.29980699120737725,0.298949174351276,0.010293802273214669,0.010293802273214669,0.0
TMEM59,0.29980699120737725,0.29330188004860963,0.004074630066480806,0.004074630066480806,0.0
NEK10,0.29980699120737725,0.29830581170920006,0.007005504324826649,0.007005504324826649,0.0
PDS5B,0.29980699120737725,0.2995925369933519,0.024090356708842662,0.024018871970834226,7.14847380084352e-05
TRIM27,0.29980699120737725,0.29944956751733504,0.01308170705554364,0.01308170705554364,0.0
BNIP2,0.29980699120737725,0.29373078847666023,0.006219172206733862,0.006147687468725427,7.14847380084352e-05
SNUPN,0.29980699120737725,0.29594681535492173,0.007076989062835085,0.007076989062835085,0.0
