gene_hsapiens_wound_up,hsapiens_wound_up_Fraction_sp_less7,hsapiens_wound_up_Fraction_sp_less6,hsapiens_wound_up_Fraction_sp_less5,hsapiens_wound_up_Fraction_sp_less4,hsapiens_wound_up_Fraction_sp_less3,hsapiens_wound_up_Fraction_sp_less2,hsapiens_wound_up_Fraction_sp_1,hsapiens_wound_up_Fraction_sp_0
ZNHIT2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12783042754828908,0.10388482963177313,0.0008681183534688563,0.0008681183534688563,0.0
ZNHIT1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1280474571366563,0.10822542139911741,0.0022426390797945454,0.0022426390797945454,0.0
ZNHIT6,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12117485350502785,0.01403458004774651,0.01403458004774651,0.0
NFATC2IP,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.11596614338421471,0.004557621355711495,0.004557621355711495,0.0
OR7G2,0.12826448672502352,0.12826448672502352,0.12739636837155466,0.019170946972437243,0.00014468639224480938,0.0,0.0,0.0
OR7G3,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12732402517543226,0.015915503146929032,0.00014468639224480938,0.00014468639224480938,0.0
BLID,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.1234174925848224,0.01801345583447877,0.0,0.0,0.0
FAAH2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12471967011502569,0.014251609636113724,0.014251609636113724,0.0
ZP3,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1279751139405339,0.09346740939014686,0.0006510887651016422,0.0006510887651016422,0.0
ZP2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12717933878318743,0.03161397670549085,0.0,0.0,0.0
TTYH2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12008970556319178,0.007957751573464516,0.007957751573464516,0.0
STK11IP,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.1186428416407437,0.005136366924690733,0.005136366924690733,0.0
NFS1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1279751139405339,0.12262171742747595,0.014396296028358534,0.014396296028358534,0.0
FBXL3,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.11987267597482457,0.009042899515300585,0.009042899515300585,0.0
ROBO2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.10229327931708022,0.0028213846487737827,0.002749041452651378,7.234319612240469e-05
FBXL5,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.1019315633364682,0.0006510887651016422,0.0006510887651016422,0.0
DES,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.1187875280329885,0.006727917239383636,0.006727917239383636,0.0
ROBO4,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12783042754828908,0.11560442740360269,0.011068509006727918,0.011068509006727918,0.0
DEK,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1279751139405339,0.11799175287564205,0.006727917239383636,0.006727917239383636,0.0
HTR2A,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12754105476379946,0.1125660131664617,0.008536497142443754,0.008536497142443754,0.0
HTR2C,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12739636837155466,0.06735151558995876,0.0006510887651016422,0.0006510887651016422,0.0
HTR2B,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12768574115604428,0.09628879403892064,0.00571511249366997,0.00571511249366997,0.0
GBA2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12739636837155466,0.092599291036678,0.0006510887651016422,0.0006510887651016422,0.0
P2RX7,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12761339795992188,0.10583809592707806,0.0021702958836721407,0.0021702958836721407,0.0
KIAA0895,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.12226000144686393,0.019026260580192432,0.019026260580192432,0.0
GBAS,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.11480865224625623,0.0038341893944874483,0.0038341893944874483,0.0
TBPL2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12768574115604428,0.03769080517977284,0.00021702958836721407,0.00021702958836721407,0.0
TBPL1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12696230919482024,0.08420748028647905,0.0005787455689792375,0.0005787455689792375,0.0
ESAM,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.11900455762135571,0.015409100774072199,0.015336757577949793,7.234319612240469e-05
ERMN,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281921435289011,0.11488099544237865,0.01511972798958258,0.01511972798958258,0.0
ACE,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1280474571366563,0.09853143311871518,0.0015915503146929032,0.0015192071185704985,7.234319612240469e-05
ACD,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281921435289011,0.1219706286623743,0.010055704261014252,0.010055704261014252,0.0
ATP5S,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12790277074441148,0.09954423786442886,0.0016638935108153079,0.0016638935108153079,0.0
ATP5J,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.12139188309339506,0.008319467554076539,0.008319467554076539,0.0
ATP5I,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12761339795992188,0.1095999421254431,0.002532011864284164,0.002532011864284164,0.0
