gene_dmelanogaster_stress_up,dmelanogaster_stress_up_Fraction_sp_less7,dmelanogaster_stress_up_Fraction_sp_less6,dmelanogaster_stress_up_Fraction_sp_less5,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less3,dmelanogaster_stress_up_Fraction_sp_less2,dmelanogaster_stress_up_Fraction_sp_1,dmelanogaster_stress_up_Fraction_sp_0
AGBL3,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3014540982420603,0.25963973088331044,0.01128553859509513,0.01128553859509513,0.0
AGBL2,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.2905302756275772,0.029733053606308325,0.029733053606308325,0.0
EVI5L,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.2885046661361499,0.020328438110395718,0.020328438110395718,0.0
RBM12B,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30167112783042754,0.28278955364247993,0.026332923388555307,0.0262605801924329,7.234319612240469e-05
ARRB2,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3012370686536931,0.24806481950372566,0.00788540837734211,0.00788540837734211,0.0
ARRB1,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3014540982420603,0.231498227591695,0.0046299645518339,0.0046299645518339,0.0
GPNMB,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.28546625189900887,0.022932793170802285,0.022932793170802285,0.0
PSMA2,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30102003906532593,0.24198799102944368,0.006583230847138827,0.006510887651016422,7.234319612240469e-05
PSMA3,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30138175504593795,0.2640526658467771,0.013672864067134485,0.013600520871012082,7.234319612240469e-05
PSMA1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
PSMA6,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30167112783042754,0.2802575417781958,0.023873254720393547,0.02380091152427114,7.234319612240469e-05
PSMA7,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30167112783042754,0.2877088909788034,0.022715763582435072,0.022643420386312667,7.234319612240469e-05
