gene_sscrofa_wound_up,sscrofa_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less3,sscrofa_wound_up_Fraction_sp_less2,sscrofa_wound_up_Fraction_sp_1,sscrofa_wound_up_Fraction_sp_0
RGMA,0.23713949381989405,0.020894643908181285,0.000529723366686286,0.000529723366686286,0.0
RGMB,0.2596821659799882,0.0457327839905827,0.000529723366686286,0.000529723366686286,0.0
STAP2,0.2589758681577399,0.03890523837551501,0.000529723366686286,0.000529723366686286,0.0
TBX3,0.27604473219540904,0.05261918775750441,0.00047086521483225425,0.0004120070629782225,5.885815185403178e-05
BMP5,0.251912889935256,0.02601530311948205,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
DLX5,0.24049440847557388,0.02401412595644497,0.0004120070629782225,0.0004120070629782225,0.0
BMP8A,0.07863449087698646,0.0028840494408475573,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
DULLARD,0.20882872277810477,0.017598587404355503,0.00017657445556209535,0.00017657445556209535,0.0
GDF6,0.20264861683343144,0.015067686874632136,0.00023543260741612713,0.00023543260741612713,0.0
PLCD4,0.28958210712183635,0.07057092407298411,0.003766921718658034,0.0037080635668040023,5.885815185403178e-05
ZMYND11,0.28387286639199527,0.05673925838728664,0.000529723366686286,0.000529723366686286,0.0
KLHL1,0.14596821659799883,0.007239552678045909,0.00011771630370806356,0.00011771630370806356,0.0
NKIRAS1,0.26291936433196,0.0353737492642731,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
OXSR1,0.2762801648028252,0.05850500294290759,0.0007651559741024132,0.0007062978222483814,5.885815185403178e-05
PLEKHB1,0.201824602707475,0.01583284284873455,0.0004120070629782225,0.0003531489111241907,5.885815185403178e-05
PPP3CC,0.2633313713949382,0.04008240141259564,0.0007062978222483814,0.0007062978222483814,0.0
RAB38,0.24702766333137138,0.024955856386109476,0.00023543260741612713,0.00023543260741612713,0.0
RAB6B,0.17563272513243083,0.012242495585638611,0.0002942907592701589,0.0002942907592701589,0.0
ROR2,0.1864626250735727,0.01253678634490877,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
SASH3,0.2505591524426133,0.026780459093584463,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
SRGAP1,0.24396703943496173,0.0392583872866392,0.0004120070629782225,0.0003531489111241907,5.885815185403178e-05
STK35,0.2201883460859329,0.01483225426721601,0.00023543260741612713,0.00023543260741612713,0.0
TNNT1,0.2855208946439082,0.05620953502060035,0.002354326074161271,0.0022954679223072395,5.885815185403178e-05
TTC17,0.2190700412007063,0.0188934667451442,0.00017657445556209535,0.00017657445556209535,0.0
TTC27,0.27286639199529134,0.06574455562095351,0.00017657445556209535,0.00017657445556209535,0.0
UBE2Z,0.26586227192466155,0.031842260153031196,0.0007651559741024132,0.0007651559741024132,0.0
USP45,0.25785756327251325,0.027192466156562685,0.0007651559741024132,0.0007062978222483814,5.885815185403178e-05
VEPH1,0.22966450853443202,0.02371983519717481,0.00023543260741612713,0.00023543260741612713,0.0
WDR68,0.19070041200706297,0.014243672748675692,5.885815185403178e-05,5.885815185403178e-05,0.0
CES3,0.24379046497939966,0.033549146556798116,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
FOXL1,0.2474396703943496,0.03484402589758682,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
FRS3,0.28605061801059445,0.0809299587992937,0.0006474396703943496,0.0005885815185403178,5.885815185403178e-05
HNRNPR,0.29323131253678636,0.09888169511477339,0.0018246027074749853,0.0018246027074749853,0.0
LMX1A,0.23125367863449087,0.02077692760447322,0.0003531489111241907,0.0003531489111241907,0.0
LSM10,0.22307239552678046,0.014773396115361978,0.00011771630370806356,0.00011771630370806356,0.0
PDZRN3,0.21824602707474985,0.013125367863449087,0.0002942907592701589,0.0002942907592701589,0.0
PMPCA,0.23937610359034725,0.021306650971159507,0.000529723366686286,0.00047086521483225425,5.885815185403178e-05
RABGGTA,0.27657445556209537,0.07027663331371395,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
TSR1,0.18151854031783402,0.006650971159505591,0.0004120070629782225,0.0004120070629782225,0.0
TUBB4,0.27098293113596233,0.05538552089464391,0.00023543260741612713,0.00023543260741612713,0.0
ZNF485,0.2676280164802825,0.049558563861094765,0.0003531489111241907,0.0003531489111241907,0.0
BMS1,0.2721012360211889,0.0618599175985874,5.885815185403178e-05,5.885815185403178e-05,0.0
RCL1,0.2557386698057681,0.040376692171865805,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
BMS1P4,0.21494997057092408,0.023543260741612712,0.0,0.0,0.0
BRD9,0.2733372572101236,0.06715715126545027,0.00023543260741612713,0.00023543260741612713,0.0
C13ORF15,0.25732783990582697,0.038552089464390815,0.0003531489111241907,0.0003531489111241907,0.0
C17ORF61,0.2402001177163037,0.034608593290170686,0.00017657445556209535,0.00017657445556209535,0.0
C20ORF19,0.20323719835197174,0.018128310771041788,0.00011771630370806356,0.00011771630370806356,0.0
CAMK4,0.27733961153619774,0.053972925250147144,0.0005885815185403178,0.000529723366686286,5.885815185403178e-05
CCDC146,0.23437316068275457,0.03702177751618599,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
CENPT,0.25397292525014714,0.030900529723366685,0.0003531489111241907,0.0002942907592701589,5.885815185403178e-05
CIP29,0.25273690406121246,0.03143025309005297,0.00011771630370806356,0.00011771630370806356,0.0
CITED4,0.2545026486168334,0.03531489111241907,0.0002942907592701589,0.0002942907592701589,0.0
CPEB1,0.16115361977633902,0.011183048852266038,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
CRABP2,0.26674514420247203,0.04808711006474397,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
DUSP26,0.1655679811653914,0.011771630370806356,5.885815185403178e-05,5.885815185403178e-05,0.0
EBF3,0.21318422601530312,0.021954090641553854,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
ERCC8,0.27104178928781636,0.045379635079458504,0.0008828722778104767,0.0008828722778104767,0.0
EVX2,0.21100647439670395,0.02177751618599176,0.00011771630370806356,0.00011771630370806356,0.0
FABP3,0.2635668040023543,0.047263095938787525,0.0003531489111241907,0.0002942907592701589,5.885815185403178e-05
FAM104A,0.23531489111241907,0.03266627427898764,0.00023543260741612713,0.00023543260741612713,0.0
FAM44A,0.22201294879340788,0.02548557975279576,5.885815185403178e-05,5.885815185403178e-05,0.0
FMR1,0.2662742789876398,0.04614479105356092,0.0005885815185403178,0.000529723366686286,5.885815185403178e-05
FOXN2,0.2849323131253679,0.07987051206592113,0.00023543260741612713,0.00023543260741612713,0.0
H1FOO,0.20771041789287817,0.02142436727486757,5.885815185403178e-05,5.885815185403178e-05,0.0
H2AFV,0.2878163625662154,0.09052383755150088,0.0005885815185403178,0.0005885815185403178,0.0
H2AFY2,0.2087110064743967,0.01942319011183049,0.00017657445556209535,0.00017657445556209535,0.0
HNRPH2,0.16115361977633902,0.011183048852266038,5.885815185403178e-05,5.885815185403178e-05,0.0
HSFY1,0.2670394349617422,0.04302530900529723,0.0005885815185403178,0.0005885815185403178,0.0
