gene_amexicanum_regen_up,amexicanum_regen_up_Fraction_sp_less4,amexicanum_regen_up_Fraction_sp_less3,amexicanum_regen_up_Fraction_sp_less2,amexicanum_regen_up_Fraction_sp_1,amexicanum_regen_up_Fraction_sp_0
TRAPPC2,0.09493819894055326,0.006297822248381401,0.00011771630370806356,0.00011771630370806356,0.0
TTC18,0.08452030606238964,0.00494408475573867,5.885815185403178e-05,5.885815185403178e-05,0.0
TTC32,0.09535020600353149,0.008534432018834609,5.885815185403178e-05,5.885815185403178e-05,0.0
TUBG1,0.11748087110064744,0.03890523837551501,0.0010005885815185403,0.0010005885815185403,0.0
TUBGCP5,0.10988816951147734,0.023896409652736903,0.00011771630370806356,0.00011771630370806356,0.0
VDAC3,0.11100647439670394,0.025897586815773983,0.00017657445556209535,0.00017657445556209535,0.0
WNT2B,0.08663919952913479,0.004885226603884638,0.00017657445556209535,0.00017657445556209535,0.0
YIPF3,0.10200117716303708,0.014361389052383756,0.00017657445556209535,0.00017657445556209535,0.0
YOD1,0.11106533254855798,0.023013537374926427,0.0002942907592701589,0.0002942907592701589,0.0
ZFC3H1,0.09782224838140083,0.009181871689228958,5.885815185403178e-05,5.885815185403178e-05,0.0
ZNF286A,0.08269570335491466,0.004590935844614479,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
ZNF346,0.09376103590347264,0.007474985285462037,5.885815185403178e-05,5.885815185403178e-05,0.0
C11orf30,0.05897586815773985,0.00164802825191289,0.0,0.0,0.0
FANCE,0.11247792819305474,0.026191877575044143,0.0007651559741024132,0.0007651559741024132,0.0
HMG20B,0.1101824602707475,0.022424955856386108,0.0004120070629782225,0.0004120070629782225,0.0
PCAF,0.1088875809299588,0.016421424367274867,0.0004120070629782225,0.0004120070629782225,0.0
SERPINH1,0.11400824014125957,0.022895821071218365,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
SHFM1,0.10082401412595644,0.007474985285462037,5.885815185403178e-05,5.885815185403178e-05,0.0
UQCC,0.07580929958799294,0.0050618010594467334,0.0,0.0,0.0
WDR16,0.07086521483225426,0.002354326074161271,0.0,0.0,0.0
XRCC3,0.10670982931135962,0.015597410241318423,0.00011771630370806356,0.00011771630370806356,0.0
DDOST,0.1151854031783402,0.031489111241907,0.00023543260741612713,0.00023543260741612713,0.0
E2F5,0.11595055915244261,0.034549735138316655,0.0006474396703943496,0.0006474396703943496,0.0
EXOC8,0.10906415538552089,0.019952913478516774,0.00017657445556209535,0.00017657445556209535,0.0
FAM175B,0.10665097115950559,0.020070629782224837,0.00017657445556209535,0.00017657445556209535,0.0
NDUFA10,0.09935256032960565,0.008946439081812831,0.00011771630370806356,0.00011771630370806356,0.0
BRD1,0.09752795762213066,0.00988816951147734,5.885815185403178e-05,5.885815185403178e-05,0.0
BRPF1,0.06562683931724544,0.0015891701000588581,5.885815185403178e-05,5.885815185403178e-05,0.0
BRPF3,0.056386109476162447,0.0017068864037669217,0.0,0.0,0.0
FEZ2,0.08828722778104768,0.006886403766921719,0.00023543260741612713,0.00023543260741612713,0.0
MEAF6,0.10264861683343143,0.009181871689228958,0.00011771630370806356,0.00011771630370806356,0.0
TMIGD2,0.08452030606238964,0.006121247792819306,5.885815185403178e-05,5.885815185403178e-05,0.0
TFAM,0.11371394938198941,0.02966450853443202,0.00023543260741612713,0.00023543260741612713,0.0
C7orf25,0.09470276633313714,0.010064743967039436,0.0002942907592701589,0.0002942907592701589,0.0
MED12,0.11783402001177164,0.034490876986462624,0.0005885815185403178,0.0005885815185403178,0.0
RFC2,0.11659799882283696,0.03702177751618599,0.0014714537963507945,0.0014714537963507945,0.0
SOX13,0.0659211300765156,0.0018246027074749853,0.00011771630370806356,0.00011771630370806356,0.0
BTBD2,0.10959387875220718,0.019070041200706298,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
PAFAH1B3,0.11595055915244261,0.027545615067686876,0.000529723366686286,0.000529723366686286,0.0
SERPINB9,0.1101824602707475,0.02077692760447322,0.0002942907592701589,0.0002942907592701589,0.0
BRD8,0.11412595644496763,0.032254267216009415,0.0002942907592701589,0.0002942907592701589,0.0
EPC1,0.11236021188934668,0.028134196586227192,0.0002942907592701589,0.0002942907592701589,0.0
MRGBP,0.09211300765155975,0.004649793996468511,5.885815185403178e-05,5.885815185403178e-05,0.0
DHRS7B,0.03001765744555621,0.0005885815185403178,0.0,0.0,0.0
HSPC142,0.03001765744555621,0.0005885815185403178,0.0,0.0,0.0
MMS19,0.10929958799293703,0.023307828134196587,0.0002942907592701589,0.0002942907592701589,0.0
RPN2,0.11642142436727487,0.03549146556798117,0.0002942907592701589,0.0002942907592701589,0.0
SLC25A13,0.11236021188934668,0.03137139493819894,0.00011771630370806356,0.00011771630370806356,0.0
TMX3,0.03001765744555621,0.0005885815185403178,0.0,0.0,0.0
TTC28,0.09540906415538553,0.010182460270747498,0.0,0.0,0.0
UGGT2,0.043790464979399646,0.0011771630370806356,5.885815185403178e-05,5.885815185403178e-05,0.0
GTF3C4,0.10806356680400235,0.01983519717480871,5.885815185403178e-05,5.885815185403178e-05,0.0
GTF3C5,0.11436138905238376,0.02937021777516186,5.885815185403178e-05,5.885815185403178e-05,0.0
GCN1L1,0.11341965862271924,0.02807533843437316,0.00023543260741612713,0.00023543260741612713,0.0
HEATR2,0.10812242495585639,0.01983519717480871,0.00011771630370806356,0.00011771630370806356,0.0
MYO1B,0.10323719835197175,0.017892878163625663,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
PTPLAD1,0.10935844614479105,0.026133019423190112,0.00017657445556209535,0.00017657445556209535,0.0
SMAP1,0.05997645673925839,0.003766921718658034,5.885815185403178e-05,5.885815185403178e-05,0.0
SMPD4,0.0214832254267216,0.0004120070629782225,0.0,0.0,0.0
TMEM33,0.10623896409652737,0.02012948793407887,0.00011771630370806356,0.00011771630370806356,0.0
TNPO3,0.0998234255444379,0.014479105356091818,0.0,0.0,0.0
XPO4,0.023602118893466747,0.0008828722778104767,0.0,0.0,0.0
XPO7,0.09217186580341377,0.007239552678045909,5.885815185403178e-05,5.885815185403178e-05,0.0
BRI3BP,0.07810476751030018,0.0075927015891701,0.0,0.0,0.0
BRINP1,0.07104178928781636,0.0031783402001177162,0.0,0.0,0.0
SMPDL3A,0.0672160094173043,0.0031194820482636845,0.0,0.0,0.0
BRIX1,0.11383166568569747,0.031783402001177165,0.0004120070629782225,0.0004120070629782225,0.0
CD48,0.09599764567392584,0.010123602118893467,0.00011771630370806356,0.00011771630370806356,0.0
CDC42BPB,0.07951736315479693,0.0054149499705709245,5.885815185403178e-05,0.0,5.885815185403178e-05
GTPBP4,0.10959387875220718,0.019658622719246614,0.00023543260741612713,0.00023543260741612713,0.0
KIAA0020,0.10876986462625074,0.022366097704532076,0.0003531489111241907,0.0003531489111241907,0.0
LYAR,0.10423778693349028,0.013655091230135374,0.0002942907592701589,0.0002942907592701589,0.0
MRTO4,0.10700412007062979,0.017068864037669218,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
NOC3L,0.1040612124779282,0.02142436727486757,0.00017657445556209535,0.00017657445556209535,0.0
RPF1,0.08864037669217187,0.007239552678045909,0.00017657445556209535,0.00017657445556209535,0.0
RPF2,0.09652736904061213,0.007651559741024131,0.00023543260741612713,0.00023543260741612713,0.0
RRP15,0.08281341965862273,0.0047675103001765745,0.00011771630370806356,0.00011771630370806356,0.0
UBA2,0.09505591524426132,0.007416127133608005,5.885815185403178e-05,5.885815185403178e-05,0.0
RBP1,0.10335491465567981,0.011124190700412007,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
SAP25,0.10971159505591524,0.018716892289582107,0.0003531489111241907,0.0003531489111241907,0.0
BRMS1L,0.10753384343731606,0.021247792819305472,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
PBXIP1,0.08505002942907593,0.004649793996468511,0.0,0.0,0.0
BRS3,0.022836962919364334,0.000529723366686286,0.0,0.0,0.0
NMB,0.008122424955856387,0.00011771630370806356,0.0,0.0,0.0
BRSK1,0.10718069452619187,0.02113007651559741,5.885815185403178e-05,5.885815185403178e-05,0.0
CDC25C,0.11712772218952325,0.04214243672748676,0.000824014125956445,0.000824014125956445,0.0
STRADA,0.10670982931135962,0.0188934667451442,0.0002942907592701589,0.0002942907592701589,0.0
MKNK2,0.11653914067098294,0.0327839905826957,0.0003531489111241907,0.0003531489111241907,0.0
BRWD1,0.08151854031783402,0.004885226603884638,0.0,0.0,0.0
BRWD3,0.010829899941141849,0.0002942907592701589,5.885815185403178e-05,0.0,5.885815185403178e-05
BSCL2,0.1124190700412007,0.02772218952324897,5.885815185403178e-05,5.885815185403178e-05,0.0
C5ORF62,0.07186580341377281,0.0047675103001765745,0.0,0.0,0.0
MDS032,0.07698646262507357,0.007533843437316068,0.0,0.0,0.0
NID67,0.02772218952324897,5.885815185403178e-05,0.0,0.0,0.0
