gene_dmelanogaster_stress_down,dmelanogaster_stress_down_Fraction_sp_less4,dmelanogaster_stress_down_Fraction_sp_less3,dmelanogaster_stress_down_Fraction_sp_less2,dmelanogaster_stress_down_Fraction_sp_1,dmelanogaster_stress_down_Fraction_sp_0
PSMD4,0.11042183622828784,0.11037014061207609,0.013182382133995037,0.013182382133995037,0.0
PFDN1,0.11042183622828784,0.11026674937965261,0.004549214226633582,0.004549214226633582,0.0
CLHC1,0.11042183622828784,0.11016335814722912,0.005531430934656741,0.005531430934656741,0.0
GNAQ,0.11042183622828784,0.11037014061207609,0.007754342431761787,0.007702646815550041,5.1695616211745244e-05
TMED10,0.11042183622828784,0.11011166253101737,0.004859387923904053,0.004859387923904053,0.0
SYNPO2,0.11042183622828784,0.11031844499586435,0.005841604631927212,0.005841604631927212,0.0
SLC2A4,0.11042183622828784,0.11037014061207609,0.017318031430934657,0.01726633581472291,5.1695616211745244e-05
EGFR,0.11042183622828784,0.11037014061207609,0.03722084367245657,0.03722084367245657,0.0
GNB2,0.11042183622828784,0.11037014061207609,0.008064516129032258,0.008064516129032258,0.0
MYO6,0.11042183622828784,0.11026674937965261,0.008529776674937966,0.008529776674937966,0.0
RGL3,0.11042183622828784,0.10721670802315963,0.0012406947890818859,0.0012406947890818859,0.0
MAP2K1,0.11042183622828784,0.11021505376344086,0.01804177005789909,0.01804177005789909,0.0
ANKRD29,0.11042183622828784,0.11016335814722912,0.004807692307692308,0.004807692307692308,0.0
GSK3B,0.11042183622828784,0.11026674937965261,0.026261373035566585,0.02620967741935484,5.1695616211745244e-05
CSNK1A1L,0.11042183622828784,0.10954301075268817,0.004083953680727875,0.004083953680727875,0.0
ENSG00000267261,0.11042183622828784,0.11037014061207609,0.015301902398676593,0.015301902398676593,0.0
KIF3B,0.11042183622828784,0.11026674937965261,0.005841604631927212,0.005841604631927212,0.0
VPS18,0.11042183622828784,0.11005996691480563,0.004859387923904053,0.004859387923904053,0.0
NMT2,0.11042183622828784,0.10985318444995865,0.0036703887510339123,0.0036703887510339123,0.0
RGL2,0.11042183622828784,0.10850909842845327,0.0020678246484698098,0.0020678246484698098,0.0
MAP3K9,0.11042183622828784,0.11021505376344086,0.007650951199338296,0.007650951199338296,0.0
GUCY2D,0.11042183622828784,0.11016335814722912,0.005583126550868486,0.005583126550868486,0.0
RGS12,0.11042183622828784,0.1098014888337469,0.004290736145574855,0.004290736145574855,0.0
C14orf2,0.11042183622828784,0.10845740281224152,0.0013957816377171215,0.0013957816377171215,0.0
KDR,0.11042183622828784,0.11037014061207609,0.015456989247311828,0.015456989247311828,0.0
ANKK1,0.11042183622828784,0.11026674937965261,0.006151778329197684,0.006151778329197684,0.0
RMDN3,0.11042183622828784,0.10840570719602978,0.0014991728701406121,0.0014991728701406121,0.0
HGF,0.11042183622828784,0.11021505376344086,0.010287427626137303,0.010235732009925558,5.1695616211745244e-05
RACGAP1,0.11042183622828784,0.11031844499586435,0.005944995864350703,0.005893300248138958,5.1695616211745244e-05
STX6,0.11042183622828784,0.11021505376344086,0.007030603804797354,0.006978908188585608,5.1695616211745244e-05
TRIB3,0.11042183622828784,0.11031844499586435,0.01173490488006617,0.011683209263854424,5.1695616211745244e-05
UCK2,0.11042183622828784,0.11026674937965261,0.007909429280397022,0.007909429280397022,0.0
MALRD1,0.11042183622828784,0.11005996691480563,0.005169561621174525,0.005169561621174525,0.0
PPP5C,0.11042183622828784,0.11031844499586435,0.013078990901571547,0.013078990901571547,0.0
LDHB,0.11042183622828784,0.11031844499586435,0.011166253101736972,0.011166253101736972,0.0
PGM1,0.11042183622828784,0.11016335814722912,0.009873862696443341,0.009873862696443341,0.0
TEC,0.11042183622828784,0.11005996691480563,0.006565343258891646,0.006565343258891646,0.0
SPTBN4,0.11042183622828784,0.11037014061207609,0.009356906534325889,0.009356906534325889,0.0
PIK3C2A,0.11042183622828784,0.11037014061207609,0.015301902398676593,0.015301902398676593,0.0
GBF1,0.11042183622828784,0.11011166253101737,0.006823821339950372,0.006772125723738627,5.1695616211745244e-05
ARHGEF4,0.11042183622828784,0.11005996691480563,0.005841604631927212,0.005841604631927212,0.0
GOLGA5,0.11042183622828784,0.10902605459057071,0.0021712158808933004,0.0021712158808933004,0.0
