gene_hsapiens_stress_down,hsapiens_stress_down_Fraction_sp_less7,hsapiens_stress_down_Fraction_sp_less6,hsapiens_stress_down_Fraction_sp_less5,hsapiens_stress_down_Fraction_sp_less4,hsapiens_stress_down_Fraction_sp_less3,hsapiens_stress_down_Fraction_sp_less2,hsapiens_stress_down_Fraction_sp_1,hsapiens_stress_down_Fraction_sp_0
PIK3AP1,0.33895446880269814,0.30992531920019273,0.21380390267405444,0.07733076367140448,0.025415562515056615,0.0015658877378944833,0.0015658877378944833,0.0
FAM185A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR6K3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR6K2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
OR6K6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
LEF1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
MTFMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAA38,0.3350999759094194,0.29715731149120694,0.16526138279932545,0.02842688508793062,0.004456757407853529,0.0002409058058299205,0.0002409058058299205,0.0
NAA35,0.28499156829679595,0.16477957118766562,0.04733799084557938,0.006143098048662973,0.00012045290291496025,0.0,0.0,0.0
NAA30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATAD2B,0.3348590701035895,0.30631173211274393,0.2063358226933269,0.06239460370994941,0.007708985786557456,0.0007227174174897615,0.0007227174174897615,0.0
SYCP1,0.19597687304264033,0.07949891592387376,0.022645145748012525,0.008793061912792098,0.00481811611659841,0.0030113225728740063,0.0030113225728740063,0.0
PGF,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
PGD,0.33040231269573594,0.2746326186461094,0.14803661768248616,0.044206215369790414,0.0026499638641291254,0.0,0.0,0.0
PGC,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
PDE1C,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
PDE1B,0.33004095398699107,0.2812575283064322,0.15731149120693808,0.036497229583232954,0.0030113225728740063,0.00012045290291496025,0.00012045290291496025,0.0
PDE1A,0.3324500120452903,0.29197783666586363,0.18260660081907973,0.07624668754516983,0.013490725126475547,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
DYM,0.3196820043363045,0.23837629486870635,0.09298964105034932,0.01770657672849916,0.000481811611659841,0.00012045290291496025,0.00012045290291496025,0.0
PGR,0.3418453384726572,0.327150084317032,0.27583714767525896,0.14984341122621056,0.05372199470007227,0.005299927728258251,0.005299927728258251,0.0
PGP,0.3266682727053722,0.2616237051312937,0.10744398940014455,0.020476993495543244,0.0018067935437244037,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
IVNS1ABP,0.3329318236569501,0.2802939050831125,0.15767284991568298,0.04215851602023609,0.002409058058299205,0.0,0.0,0.0
NDUFC1,0.33895446880269814,0.31570705854011083,0.22874006263550953,0.06661045531197302,0.009033967718622018,0.0015658877378944833,0.001445434834979523,0.00012045290291496025
NDUFC2,0.339315827511443,0.3163093230546856,0.2318718381112985,0.0675740785352927,0.008913514815707058,0.000963623223319682,0.0008431703204047217,0.00012045290291496025
BMI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRS2,0.3006504456757408,0.18622018790652856,0.03721994700072272,0.003974945796193688,0.00012045290291496025,0.0,0.0,0.0
PDE12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMXL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMXL1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
OSBPL9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFRD2,0.3246205733558179,0.2593350999759094,0.11105757648759335,0.018067935437244036,0.001445434834979523,0.0002409058058299205,0.0002409058058299205,0.0
MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBFB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGNL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EID2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EID3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EID1,0.3459407371717658,0.33774993977354856,0.3036617682486148,0.21019031558660564,0.07468079980727535,0.00469766321368345,0.00469766321368345,0.0
WNT2B,0.32233196820043364,0.25174656709226695,0.12129607323536497,0.04300168634064081,0.0027704167670440857,0.00012045290291496025,0.0,0.00012045290291496025
GHRHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAL,0.336304504938569,0.2978800289086967,0.17995663695495062,0.04239942182606601,0.0036135870874488074,0.00012045290291496025,0.00012045290291496025,0.0
SF3A1,0.3318477475307155,0.2902914960250542,0.16128643700313178,0.025776921223801492,0.003854492893278728,0.000481811611659841,0.000481811611659841,0.0
SF3A2,0.33642495784148396,0.3096844133943628,0.22392194651891112,0.07721031076848953,0.006865815466152734,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
SF3A3,0.32654781980245723,0.26017827029631413,0.10563719585642015,0.013370272223560587,0.0012045290291496024,0.00012045290291496025,0.00012045290291496025,0.0
GREB1,0.32835461334618166,0.27198265478198025,0.14863888219706095,0.0499879547097085,0.007106721271982655,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
TIFA,0.3382317513852084,0.3054685617923392,0.2169356781498434,0.0845579378463021,0.007347627077812576,0.0,0.0,0.0
ZNF25,0.3459407371717658,0.3379908455793785,0.3106480366176825,0.22621055167429535,0.08479884365213201,0.008311250301132257,0.008311250301132257,0.0
ZNF24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF26,0.33678631655022884,0.30631173211274393,0.22079017104312215,0.0781739339918092,0.017224765116839316,0.0008431703204047217,0.0008431703204047217,0.0
ZNF20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF22,0.251626114189352,0.10648036617682487,0.01891110575764876,0.0007227174174897615,0.0002409058058299205,0.00012045290291496025,0.0,0.00012045290291496025
ZNF28,0.3160684172488557,0.23620814261623704,0.09828956877860756,0.019513370272223562,0.0013249819320645627,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
SH3TC2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SH3TC1,0.34172488556974223,0.32233196820043364,0.2590941941700795,0.13719585642013973,0.04215851602023609,0.0018067935437244037,0.0016863406408094434,0.00012045290291496025
BBS10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBS12,0.33811129848229343,0.31040713081185256,0.21645386653818358,0.08985786557456035,0.025536015417971573,0.001445434834979523,0.0013249819320645627,0.00012045290291496025
UBL4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBL4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNPEP,0.3448566610455312,0.3340158997831848,0.2881233437725849,0.16899542278968924,0.04625391471934474,0.0016863406408094434,0.0016863406408094434,0.0
RNF113B,0.11069621777884847,0.029390508311250303,0.011081667068176343,0.006143098048662973,0.004456757407853529,0.0027704167670440857,0.0027704167670440857,0.0
RNF113A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNCA,0.3370272223560588,0.30077089857865574,0.1945314382076608,0.053240183088412434,0.004456757407853529,0.000963623223319682,0.0008431703204047217,0.00012045290291496025
RANBP9,0.2263310045772103,0.06974223078776198,0.00951577933028186,0.0008431703204047217,0.0002409058058299205,0.0,0.0,0.0
RANBP6,0.2928210069862684,0.16983859311009394,0.04950614309804866,0.002288605155384245,0.00012045290291496025,0.00012045290291496025,0.00012045290291496025,0.0
RANBP1,0.11190074680799807,0.01589978318477475,0.0037340399903637678,0.0002409058058299205,0.0,0.0,0.0,0.0
RANBP3,0.3232955914237533,0.263550951577933,0.11141893519633823,0.013249819320645628,0.0007227174174897615,0.00012045290291496025,0.00012045290291496025,0.0
