gene_celegans_stress_down,celegans_stress_down_Fraction_sp_less4,celegans_stress_down_Fraction_sp_less3,celegans_stress_down_Fraction_sp_less2,celegans_stress_down_Fraction_sp_1,celegans_stress_down_Fraction_sp_0
WASH2P,0.25082712985938793,0.19592638544251448,0.0006720430107526882,0.0006720430107526882,0.0
WASH1,0.25082712985938793,0.2353701406120761,0.0014991728701406121,0.0014991728701406121,0.0
COL23A1,0.25082712985938793,0.24674317617866004,0.004083953680727875,0.004083953680727875,0.0
OR5AC2,0.25082712985938793,0.21143507030603806,0.0015508684863523574,0.0015508684863523574,0.0
WASH4P,0.25082712985938793,0.18894747725392888,0.0005169561621174524,0.0005169561621174524,0.0
TMEM38B,0.25082712985938793,0.24389991728701407,0.0034636062861869315,0.0034636062861869315,0.0
SPATA31A3,0.25082712985938793,0.13337468982630274,0.0004652605459057072,0.0004652605459057072,0.0
PHOSPHO1,0.25082712985938793,0.24519230769230768,0.0037220843672456576,0.0037220843672456576,0.0
C9orf40,0.25082712985938793,0.19975186104218362,0.0008271298593879239,0.0008271298593879239,0.0
AGPAT6,0.25082712985938793,0.24870760959470636,0.010184036393713814,0.010184036393713814,0.0
ENSG00000255730,0.25082712985938793,0.24607113316790735,0.005944995864350703,0.005944995864350703,0.0
HSDL1,0.25082712985938793,0.2488626964433416,0.008839950372208437,0.008788254755996691,5.1695616211745244e-05
TMEM189,0.25082712985938793,0.24265922249793218,0.0026364764267990076,0.0026364764267990076,0.0
TMEM177,0.25082712985938793,0.21882754342431762,0.001705955334987593,0.0016542597187758478,5.1695616211745244e-05
MUSTN1,0.25082712985938793,0.24358974358974358,0.0030500413564929696,0.0030500413564929696,0.0
TMEM138,0.25082712985938793,0.22058519437551696,0.002377998345740281,0.002377998345740281,0.0
RNF39,0.25082712985938793,0.24694995864350702,0.003618693134822167,0.003618693134822167,0.0
WBP2,0.25082712985938793,0.24658808933002482,0.004755996691480562,0.004704301075268817,5.1695616211745244e-05
C12orf60,0.25082712985938793,0.18124483043837883,0.0005169561621174524,0.0005169561621174524,0.0
C1orf64,0.25082712985938793,0.22218775847808106,0.0011373035566583955,0.0011373035566583955,0.0
FAM214A,0.25082712985938793,0.2246174524400331,0.0012406947890818859,0.0012406947890818859,0.0
FAM174B,0.25082712985938793,0.2384718775847808,0.0020678246484698098,0.0020678246484698098,0.0
FAR2,0.25082712985938793,0.24860421836228289,0.0073407775020678245,0.00728908188585608,5.1695616211745244e-05
OR1J4,0.25082712985938793,0.20854011579818033,0.0011889991728701406,0.0011889991728701406,0.0
OR2AE1,0.25082712985938793,0.2021298593879239,0.0010856079404466502,0.0010856079404466502,0.0
FAM180B,0.25082712985938793,0.19215260545905707,0.0007237386269644334,0.0007237386269644334,0.0
