gene_celegans_stress_up,celegans_stress_up_Fraction_sp_less4,celegans_stress_up_Fraction_sp_less3,celegans_stress_up_Fraction_sp_less2,celegans_stress_up_Fraction_sp_1,celegans_stress_up_Fraction_sp_0
ATP6V1A,0.3152772538664655,0.14515277253866465,0.008147868728781591,0.008147868728781591,0.0
DTL,0.30833647680120707,0.1074311580535647,0.005582798943794795,0.005582798943794795,0.0
ATP6V1H,0.28532629196529613,0.05092417955488495,0.0006789890607317993,0.0006789890607317993,0.0
RAP1GDS1,0.20528102602791398,0.011844586948321387,7.544322897019993e-05,7.544322897019993e-05,0.0
PDE6B,0.3123349679366277,0.12636740852508488,0.004073934364390796,0.003998491135420596,7.544322897019993e-05
PDE6C,0.2929460580912863,0.07815918521312712,0.0018106374952847981,0.0017351942663145982,7.544322897019993e-05
PDE6A,0.18709920784609582,0.010788381742738589,0.0003017729158807997,0.00022632968691059977,7.544322897019993e-05
PDE6G,0.3071293851376839,0.10162202942285929,0.004375707280271595,0.004375707280271595,0.0
PDE6D,0.2835156544700113,0.033345907204828364,0.0006035458317615994,0.0005281026027913995,7.544322897019993e-05
IL11RA,0.28208223311957753,0.06216522067144474,0.0003772161448509996,0.0003772161448509996,0.0
PDE6H,0.0,0.0,0.0,0.0,0.0
RBM12,0.28313843832516034,0.07921539041870992,0.003847604677480196,0.003772161448509996,7.544322897019993e-05
RBM11,0.3126367408525085,0.12742361373066768,0.0077706525839305925,0.007695209354960392,7.544322897019993e-05
RBM10,0.2955865711052433,0.06880422482082234,0.0012825348924933987,0.0012825348924933987,0.0
RBM17,0.2662391550358355,0.04790645039607695,0.0009053187476423991,0.0009053187476423991,0.0
RBM15,0.24805733685401735,0.028668427008675973,0.0005281026027913995,0.0005281026027913995,0.0
RBM19,0.30780837419841567,0.11625801584307809,0.0063372312334967935,0.006261788004526593,7.544322897019993e-05
RBM18,0.2838928706148623,0.05688419464353074,0.001056205205582799,0.001056205205582799,0.0
MVP,0.2963410033949453,0.07144473783477932,0.002866842700867597,0.002866842700867597,0.0
MVD,0.3016220294228593,0.08132780082987552,0.0018106374952847981,0.0017351942663145982,7.544322897019993e-05
MVK,0.3131648434552999,0.13919275745001886,0.005960015088645794,0.005960015088645794,0.0
ALK,0.2967182195397963,0.08336476801207092,0.0035458317615993966,0.0035458317615993966,0.0
SUCLA2,0.3115050924179555,0.13625047152018108,0.004979253112033195,0.004903809883062995,7.544322897019993e-05
ALB,0.01750282912108638,0.00045265937382119953,0.0003017729158807997,0.0003017729158807997,0.0
RELL2,0.31731422104866086,0.16733308185590343,0.011241041116559788,0.011241041116559788,0.0
RFT1,0.2907582044511505,0.07325537533006413,0.0018106374952847981,0.0018106374952847981,0.0
ZNF14,0.3054696341003395,0.11037344398340249,0.0033195020746887966,0.0033195020746887966,0.0
ZNF16,0.3044134288947567,0.12342512259524707,0.004526593738211996,0.004526593738211996,0.0
ZNF10,0.31293851376838927,0.13843832516031687,0.009053187476423991,0.009053187476423991,0.0
ZNF12,0.2990569596378725,0.11029800075443229,0.004375707280271595,0.004375707280271595,0.0
SELPLG,0.3038098830629951,0.08525084873632592,0.007167106752168993,0.007167106752168993,0.0
RRN3,0.2780837419841569,0.07363259147491513,0.003772161448509996,0.0036967182195397964,7.544322897019993e-05
LPIN2,0.2951339117314221,0.06593738211995473,0.0015088645794039985,0.0014334213504337986,7.544322897019993e-05
LILRA6,0.3080347038853263,0.0958883440211241,0.005507355714824595,0.005507355714824595,0.0
UPRT,0.213202565069785,0.016597510373443983,0.00015088645794039985,7.544322897019993e-05,7.544322897019993e-05
NFE2L3,0.3046397585816673,0.0951339117314221,0.002036967182195398,0.002036967182195398,0.0
NFE2L2,0.2794417201056205,0.042549981139192755,0.00045265937382119953,0.00045265937382119953,0.0
NFE2L1,0.3066012825348925,0.11399471897397209,0.0036967182195397964,0.0036967182195397964,0.0
ASNSD1,0.3010184835910977,0.08660882685778952,0.001131648434552999,0.001056205205582799,7.544322897019993e-05
SCAND1,0.2867597133157299,0.06382497170878913,0.0018106374952847981,0.0017351942663145982,7.544322897019993e-05
KIRREL2,0.2932478310071671,0.06254243681629573,0.0015843078083741984,0.0015088645794039985,7.544322897019993e-05
KIRREL3,0.1092417955488495,0.0024896265560165973,7.544322897019993e-05,0.0,7.544322897019993e-05
STK17B,0.3139947189739721,0.14809505846850246,0.00980761976612599,0.00980761976612599,0.0
STK17A,0.2629196529611467,0.03923047906450396,0.0005281026027913995,0.0005281026027913995,0.0
ZC3H11A,0.2910599773670313,0.07966804979253111,0.003017729158807997,0.003017729158807997,0.0
CYB5R4,0.27612221803093173,0.04624669935873255,0.0005281026027913995,0.0005281026027913995,0.0
CYB5R3,0.3020746887966805,0.08570350811014711,0.0029422859298377972,0.002866842700867597,7.544322897019993e-05
CYB5R2,0.3011693700490381,0.0953602414183327,0.001886080724254998,0.0018106374952847981,7.544322897019993e-05
CYB5R1,0.0,0.0,0.0,0.0,0.0
SECTM1,0.3139192757450019,0.14198415692191627,0.007996982270841191,0.007996982270841191,0.0
