gene_celegans_stress_up,celegans_stress_up_Fraction_sp_less4,celegans_stress_up_Fraction_sp_less3,celegans_stress_up_Fraction_sp_less2,celegans_stress_up_Fraction_sp_1,celegans_stress_up_Fraction_sp_0
TGIF2,0.2736161035226456,0.04529115744069015,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
HDAC10,0.2925233644859813,0.05902228612508986,0.0012940330697340044,0.0012221423436376707,7.189072609633358e-05
HOPX,0.2252336448598131,0.017828900071890728,0.00021567217828900073,0.00021567217828900073,0.0
MAGEA2,0.24464414090582315,0.01912293314162473,7.189072609633358e-05,7.189072609633358e-05,0.0
PRAM1,0.2672178289000719,0.028684399712437095,0.0002875629043853343,0.0002875629043853343,0.0
SMYD1,0.22602444284687276,0.013084112149532711,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
MORC2,0.24982027318475916,0.021854780733285405,0.00021567217828900073,0.00021567217828900073,0.0
PRPF39,0.16549245147375988,0.011502516175413372,7.189072609633358e-05,7.189072609633358e-05,0.0
RBM25,0.2685118619698059,0.03910855499640546,0.000503235082674335,0.000503235082674335,0.0
SFXN1,0.2787922358015816,0.05456506110711718,0.00043134435657800146,0.0003594536304816679,7.189072609633358e-05
MIIP,0.22746225736879944,0.019410496046010063,0.00014378145219266715,0.00014378145219266715,0.0
TPPP,0.20395398993529834,0.010352264557872035,7.189072609633358e-05,7.189072609633358e-05,0.0
UBD,0.27038102084831056,0.04694464414090582,0.0002875629043853343,0.0002875629043853343,0.0
HDDC2,0.12839683680805175,0.00704529115744069,0.0,0.0,0.0
HDGFRP3,0.12444284687275342,0.0034507548526240116,0.0,0.0,0.0
HDHD3,0.10273184759166068,0.001869158878504673,0.0,0.0,0.0
HDX,0.17426312005751257,0.0051761322789360175,7.189072609633358e-05,0.0,7.189072609633358e-05
HEATR5A,0.047879223580158156,0.0020848310567936736,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
HEBP1,0.1616822429906542,0.009920920201294033,0.00014378145219266715,0.00014378145219266715,0.0
HECTD3,0.1552839683680805,0.006398274622573688,7.189072609633358e-05,7.189072609633358e-05,0.0
HECW2,0.2340762041696621,0.01833213515456506,0.0,0.0,0.0
HELB,0.2079079798705967,0.013803019410496047,0.00021567217828900073,0.00021567217828900073,0.0
HELT,0.16010064701653487,0.009345794392523364,0.0,0.0,0.0
HEPH,0.16621135873472323,0.00826743350107836,0.0,0.0,0.0
HERC3,0.2741193386053199,0.05046728971962617,0.0002875629043853343,0.0002875629043853343,0.0
HERC6,0.19942487419122934,0.012940330697340043,0.00014378145219266715,0.00014378145219266715,0.0
HERC4,0.012940330697340043,0.00014378145219266715,0.0,0.0,0.0
IFI44,0.14478792235801582,0.0033788641265276777,7.189072609633358e-05,7.189072609633358e-05,0.0
UBA7,0.1562904385334292,0.0029475197699496765,0.00014378145219266715,0.00014378145219266715,0.0
HES3,0.10539180445722501,0.00826743350107836,7.189072609633358e-05,7.189072609633358e-05,0.0
HESX1,0.17613227893601727,0.007117181883537024,0.00014378145219266715,0.00014378145219266715,0.0
SPINT1,0.14270309130122213,0.005104241552839684,7.189072609633358e-05,0.0,7.189072609633358e-05
SPINT2,0.034363767074047445,0.0003594536304816679,7.189072609633358e-05,0.0,7.189072609633358e-05
ILKAP,0.15564342199856218,0.0066139468008626886,7.189072609633358e-05,7.189072609633358e-05,0.0
OSBPL5,0.24737598849748382,0.03357296908698778,7.189072609633358e-05,0.0,7.189072609633358e-05
PPP1R7,0.23910855499640546,0.023795830337886414,0.00021567217828900073,0.00021567217828900073,0.0
SCRN1,0.12048885693745506,0.0033069734004313443,0.0,0.0,0.0
HHIPL2,0.0008626887131560029,7.189072609633358e-05,0.0,0.0,0.0
RNF39,0.05449317038102085,0.0008626887131560029,7.189072609633358e-05,7.189072609633358e-05,0.0
HIAT1,0.23292595255212079,0.021639108554996407,7.189072609633358e-05,7.189072609633358e-05,0.0
VHLL,0.15478073328540617,0.004457225017972682,7.189072609633358e-05,7.189072609633358e-05,0.0
ZNF197,0.2098490294751977,0.011574406901509706,7.189072609633358e-05,7.189072609633358e-05,0.0
HIGD1A,0.2501797268152408,0.037958303378864126,0.0,0.0,0.0
HIGD2A,0.2678648454349389,0.05348670021567218,0.00014378145219266715,0.00014378145219266715,0.0
HIGD2B,0.15197699496764916,0.010783608914450037,7.189072609633358e-05,7.189072609633358e-05,0.0
TP53INP1,0.22832494608195542,0.014809489575844716,7.189072609633358e-05,7.189072609633358e-05,0.0
LIMS2,0.14378145219266714,0.004529115744069015,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
ZNF107,0.21718188353702372,0.013874910136592379,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
KPNA7,0.09784327821710999,0.0009345794392523365,0.0,0.0,0.0
HIST1H2BE,0.24061826024442848,0.020560747663551402,7.189072609633358e-05,7.189072609633358e-05,0.0
HIST1H2BH,0.21926671459381739,0.012508986340762042,0.00014378145219266715,0.00014378145219266715,0.0
HIST1H2BI,0.21926671459381739,0.012508986340762042,0.00014378145219266715,0.00014378145219266715,0.0
KDM6B,0.24342199856218547,0.018547807332854063,7.189072609633358e-05,7.189072609633358e-05,0.0
PARP10,0.2668583752695902,0.04392523364485981,7.189072609633358e-05,7.189072609633358e-05,0.0
SIRT7,0.23112868439971243,0.018547807332854063,0.0002875629043853343,0.0002875629043853343,0.0
UBR7,0.10467289719626169,0.003953989935298346,7.189072609633358e-05,0.0,7.189072609633358e-05
HIST1H3G,0.2282530553558591,0.014162473040977714,0.00014378145219266715,0.00014378145219266715,0.0
SUV420H1,0.21171818835370237,0.013443565780014379,7.189072609633358e-05,7.189072609633358e-05,0.0
HIST1H4G,0.11473759884974838,0.0025880661394680087,7.189072609633358e-05,7.189072609633358e-05,0.0
VRK1,0.27656362329259526,0.03587347232207045,0.0003594536304816679,0.0002875629043853343,7.189072609633358e-05
BRDT,0.06232925952552121,0.0005751258087706686,7.189072609633358e-05,0.0,7.189072609633358e-05
HIST2H4B,0.10654205607476636,0.0050323508267433505,7.189072609633358e-05,7.189072609633358e-05,0.0
ZNF516,0.16923076923076924,0.005391804457225018,7.189072609633358e-05,7.189072609633358e-05,0.0
TREH,0.08605319913731128,0.0030913012221423434,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
HKR1,0.18483105679367362,0.013084112149532711,0.0,0.0,0.0
C7orf34,0.0,0.0,0.0,0.0,0.0
KIR2DL1,0.1770668583752696,0.005751258087706686,0.0,0.0,0.0
KIR2DL3,0.22947519769949676,0.01624730409777139,0.00021567217828900073,0.00021567217828900073,0.0
KIR2DL4,0.11294033069734004,0.0030913012221423434,0.0,0.0,0.0
KIR3DL1,0.16448598130841122,0.00481667864845435,0.0,0.0,0.0
KIR3DL2,0.09568655643421999,0.002372393961179008,0.0,0.0,0.0
KIR3DL3,0.09568655643421999,0.002372393961179008,0.0,0.0,0.0
KLRC2,0.10682961897915169,0.002803738317757009,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
KLRC3,0.10682961897915169,0.002803738317757009,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
KLRC4,0.13429187634795112,0.0066858375269590225,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
KLRD1,0.13745506829618978,0.0033788641265276777,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
MAGEA1,0.23199137311286844,0.01653486700215672,0.00021567217828900073,0.00021567217828900073,0.0
PLS3,0.10093457943925234,0.002372393961179008,7.189072609633358e-05,0.0,7.189072609633358e-05
MICB,0.07498202731847592,0.0014378145219266715,0.00014378145219266715,0.00014378145219266715,0.0
PRPF40B,0.15959741193386054,0.004385334291876348,0.0,0.0,0.0
HMCN1,0.26642703091301223,0.04212796549245147,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
POU3F1,0.14191229331416247,0.00201294033069734,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
NEUROD6,0.1270309130122214,0.0015815959741193387,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
HMGB4,0.20115025161754133,0.010855499640546369,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
SNX7,0.1194823867721064,0.0033788641265276777,0.0,0.0,0.0
USP38,0.16247304097771387,0.005319913731128684,0.0002875629043853343,0.0002875629043853343,0.0
HN1,0.2310567936736161,0.014162473040977714,7.189072609633358e-05,7.189072609633358e-05,0.0
SLC2A2,0.2413371675053918,0.021998562185478073,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
KLC4,0.25363048166786484,0.028109273903666427,0.00021567217828900073,0.00021567217828900073,0.0
LAPTM4A,0.15916606757728252,0.010136592379583033,7.189072609633358e-05,7.189072609633358e-05,0.0
LBX2,0.23285406182602444,0.02451473759884975,0.00021567217828900073,0.00021567217828900073,0.0
LEAP2,0.15916606757728252,0.010136592379583033,7.189072609633358e-05,7.189072609633358e-05,0.0
MECR,0.2370956146657081,0.02271746944644141,0.0005751258087706686,0.000503235082674335,7.189072609633358e-05
MOGAT3,0.20733285406182603,0.015456506110711718,0.0005751258087706686,0.000503235082674335,7.189072609633358e-05
NSMCE1,0.20373831775700935,0.017397555715312724,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
PEX13,0.23551401869158878,0.02796549245147376,0.0007189072609633358,0.0006470165348670022,7.189072609633358e-05
PGAP3,0.15916606757728252,0.010136592379583033,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
PLEKHG6,0.17620416966211358,0.01128684399712437,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
SLC22A7,0.15916606757728252,0.010136592379583033,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
SLC26A1,0.2780733285406183,0.05449317038102085,0.0003594536304816679,0.0002875629043853343,7.189072609633358e-05
SLC28A1,0.15916606757728252,0.010136592379583033,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
SLC2A9,0.23551401869158878,0.019626168224299065,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
SLC38A3,0.21279654924514738,0.0192667145938174,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
SLCO2B1,0.20014378145219267,0.017900790797987058,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
STARD7,0.15916606757728252,0.010136592379583033,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
TATDN3,0.25686556434219987,0.031128684399712437,0.00014378145219266715,0.00014378145219266715,0.0
TMEM150A,0.15916606757728252,0.010136592379583033,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
TMEM169,0.16642703091301222,0.01107117181883537,0.00014378145219266715,0.00014378145219266715,0.0
TTC31,0.26987778576563626,0.050179726815240834,0.0003594536304816679,0.0002875629043853343,7.189072609633358e-05
TTYH3,0.2759166067577283,0.0514018691588785,0.00014378145219266715,0.00014378145219266715,0.0
UNC93A,0.22322070452911574,0.023436376707404744,0.00014378145219266715,0.00014378145219266715,0.0
MRPL37,0.2222861250898634,0.023508267433501078,0.00021567217828900073,0.00021567217828900073,0.0
SYTL2,0.24148094895758448,0.0203450754852624,0.00014378145219266715,0.00014378145219266715,0.0
C17orf85,0.1479511143062545,0.007260963335729691,0.00021567217828900073,0.00021567217828900073,0.0
SF3B6,0.26189791516894323,0.029690869877785766,0.0019410496046010064,0.001869158878504673,7.189072609633358e-05
POU3F4,0.15176132278936016,0.0038102084831056794,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
RPL21,0.29007907979870595,0.08080517613227893,0.0007189072609633358,0.0006470165348670022,7.189072609633358e-05
C1orf116,0.026024442846872754,0.0007907979870596693,0.0,0.0,0.0
TRPC4,0.15988497483824587,0.007404744787922358,0.0006470165348670022,0.0005751258087706686,7.189072609633358e-05
HOXA13,0.2338605319913731,0.016822429906542057,0.00021567217828900073,0.00021567217828900073,0.0
