gene_sscrofa_wound_up,sscrofa_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less3,sscrofa_wound_up_Fraction_sp_less2,sscrofa_wound_up_Fraction_sp_1,sscrofa_wound_up_Fraction_sp_0
NYNRIN,0.36031686156167486,0.14801961523953225,0.004903809883062995,0.004903809883062995,0.0
C11orf68,0.35729913240286687,0.11150509241795549,0.0027159562429271973,0.0027159562429271973,0.0
CCR1,0.3586571105243304,0.12138815541305167,0.011920030177291588,0.011844586948321387,7.544322897019993e-05
CCR2,0.36227838551490005,0.14628442097321764,0.013881554130516786,0.013806110901546586,7.544322897019993e-05
CCR3,0.26789890607317995,0.03598642021878536,0.0003772161448509996,0.0003772161448509996,0.0
CCR4,0.36092040739343645,0.14047529234251227,0.013730667672576385,0.013730667672576385,0.0
RHOT1,0.3347416069407771,0.06367408525084874,0.0012070916635231988,0.001131648434552999,7.544322897019993e-05
CCR7,0.36046774801961523,0.14681252357600905,0.01033572236891739,0.01026027913994719,7.544322897019993e-05
CCR8,0.2887212372689551,0.04752923425122595,0.0003772161448509996,0.0003772161448509996,0.0
CCR9,0.17102980007544322,0.013428894756695587,0.0,0.0,0.0
CDS1,0.3691437193511882,0.17118068653338364,0.01041116559788759,0.01033572236891739,7.544322897019993e-05
CDS2,0.36310826103357224,0.14039984911354206,0.004073934364390796,0.003998491135420596,7.544322897019993e-05
WT1,0.1820445115050924,0.011618257261410789,0.00015088645794039985,0.00015088645794039985,0.0
S100P,0.36205205582798944,0.14741606940777066,0.005733685401735194,0.005733685401735194,0.0
CRIPAK,0.361901169370049,0.14462466993587325,0.008298755186721992,0.008298755186721992,0.0
S100B,0.3157299132402867,0.04933987174651075,0.0016597510373443983,0.0016597510373443983,0.0
CYP4V2,0.34281403244058845,0.06420218785364014,0.000980761976612599,0.000980761976612599,0.0
CLDN20,0.0,0.0,0.0,0.0,0.0
PSMC3IP,0.0,0.0,0.0,0.0,0.0
THG1L,0.3212372689551113,0.06752168992832894,0.0008298755186721991,0.0008298755186721991,0.0
ZNF512B,0.35767634854771785,0.12146359864202187,0.0024141833270463976,0.0024141833270463976,0.0
GSS,0.36446623915503584,0.17253866465484724,0.0072425499811391925,0.007167106752168993,7.544322897019993e-05
GSR,0.35737457563183705,0.13157299132402867,0.002640513013956997,0.002640513013956997,0.0
DHCR7,0.3358732553753301,0.07461335345152773,0.0015843078083741984,0.0015843078083741984,0.0
CASP10,0.3723877781969068,0.22889475669558657,0.023311957751791776,0.023236514522821577,7.544322897019993e-05
GSC,0.2949830252734817,0.04247453791022256,0.001056205205582799,0.000980761976612599,7.544322897019993e-05
CASP14,0.0003772161448509996,0.00022632968691059977,0.00022632968691059977,0.00022632968691059977,0.0
RASIP1,0.3193511882308563,0.061712561297623536,0.0033195020746887966,0.0033195020746887966,0.0
TATDN2,0.3445492267069031,0.0998113919275745,0.0024141833270463976,0.0024141833270463976,0.0
GSN,0.3702753677857412,0.19781214635986422,0.01848359109769898,0.018408147868728783,7.544322897019993e-05
ZFP2,0.37095435684647304,0.21938890984534137,0.016748396831384384,0.016748396831384384,0.0
ZFP3,0.33579781214635984,0.058393059222934744,0.0006789890607317993,0.0006789890607317993,0.0
GNB2L1,0.34024896265560167,0.06299509619011694,0.003998491135420596,0.003998491135420596,0.0
SERPINB8,0.36846473029045645,0.18332704639758582,0.009204073934364392,0.009204073934364392,0.0
ATP2B1,0.17880045265937383,0.007468879668049793,0.00015088645794039985,7.544322897019993e-05,7.544322897019993e-05
ATP2B3,0.3122595247076575,0.05401735194266315,0.0013579781214635986,0.0012825348924933987,7.544322897019993e-05
ATP2B2,0.27657487740475295,0.022557525462089778,0.00015088645794039985,7.544322897019993e-05,7.544322897019993e-05
ATP2B4,0.3667295360241418,0.15986420218785363,0.008223311957751792,0.008223311957751792,0.0
CACNG4,0.24941531497548095,0.026103357223689175,0.0003772161448509996,0.0003772161448509996,0.0
XRN1,0.35073557148245943,0.11308940022632968,0.005733685401735194,0.005733685401735194,0.0
XRN2,0.3445492267069031,0.0974726518294983,0.0044511505092417955,0.004375707280271595,7.544322897019993e-05
PABPC1,0.36393813655224444,0.17434930215013203,0.008374198415692192,0.008298755186721992,7.544322897019993e-05
PABPC3,0.206035458317616,0.011769143719351189,0.00015088645794039985,0.00015088645794039985,0.0
PABPC4,0.2642776310826103,0.029045643153526972,0.0006789890607317993,0.0006035458317615994,7.544322897019993e-05
PHLPP2,0.364541682384006,0.15563938136552244,0.007016220294228593,0.006940777065258393,7.544322897019993e-05
PPME1,0.36612599019238024,0.15986420218785363,0.006714447378347793,0.006714447378347793,0.0
CTNNBL1,0.33059222934741606,0.06261788004526593,0.0015843078083741984,0.0015843078083741984,0.0
PTPRN2,0.363787250094304,0.13775933609958507,0.005582798943794795,0.005582798943794795,0.0
HSF2BP,0.3542814032440588,0.11422104866088269,0.0033949453036589967,0.0033949453036589967,0.0
AASDHPPT,0.36491889852885706,0.16944549226706904,0.00875141456054319,0.00867597133157299,7.544322897019993e-05
IDS,0.3505092417955489,0.1007167106752169,0.0034703885326291964,0.0034703885326291964,0.0
NFATC3,0.35465861938890986,0.11022255752546209,0.004073934364390796,0.004073934364390796,0.0
GLIPR1L1,0.27174651075066014,0.03213881554130517,7.544322897019993e-05,7.544322897019993e-05,0.0
GLIPR1L2,0.355111278762731,0.11527725386646548,0.004224820822331196,0.004224820822331196,0.0
NFATC4,0.3708034703885326,0.208298755186722,0.016672953602414182,0.016597510373443983,7.544322897019993e-05
IDE,0.34869860430026406,0.10501697472651829,0.004752923425122595,0.004677480196152395,7.544322897019993e-05
SORL1,0.36280648811769145,0.14651075066012825,0.004073934364390796,0.004073934364390796,0.0
OBP2B,0.15269709543568466,0.008374198415692192,0.0017351942663145982,0.0017351942663145982,0.0
POLD1,0.35910976989815163,0.15933609958506223,0.01026027913994719,0.01018483591097699,7.544322897019993e-05
