gene_mmusculus_stress_up,mmusculus_stress_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less3,mmusculus_stress_up_Fraction_sp_less2,mmusculus_stress_up_Fraction_sp_1,mmusculus_stress_up_Fraction_sp_0
RAPGEF5,0.30188004860962186,0.3013081707055544,0.01086568017728215,0.01086568017728215,0.0
AP1B1,0.30188004860962186,0.3018085638716134,0.02130245192651369,0.02130245192651369,0.0
HPS5,0.30188004860962186,0.29523196797483736,0.0043605690185145474,0.0043605690185145474,0.0
ARHGEF16,0.30188004860962186,0.301737079133605,0.015798127099864178,0.015798127099864178,0.0
CADPS2,0.30188004860962186,0.3014511401815712,0.013510615483594253,0.013510615483594253,0.0
MAP3K2,0.30188004860962186,0.3018085638716134,0.03402673529201516,0.03395525055400672,7.14847380084352e-05
GNAL,0.30188004860962186,0.30166559439559654,0.018871970834226894,0.018871970834226894,0.0
CDC42,0.30188004860962186,0.30188004860962186,0.09285867467295732,0.09278718993494889,7.14847380084352e-05
ROS1,0.30188004860962186,0.3018085638716134,0.026306383587104153,0.026306383587104153,0.0
MPHOSPH8,0.30188004860962186,0.30188004860962186,0.0536135535063264,0.0536135535063264,0.0
GGA3,0.30188004860962186,0.3018085638716134,0.01708485238401601,0.01708485238401601,0.0
MUSK,0.30188004860962186,0.301737079133605,0.03123883050968618,0.03123883050968618,0.0
TBC1D17,0.30188004860962186,0.30123668596754594,0.01072271070126528,0.01072271070126528,0.0
AP2B1,0.30188004860962186,0.3018085638716134,0.026449353063121024,0.02637786832511259,7.14847380084352e-05
KIF21A,0.30188004860962186,0.3018085638716134,0.024161841446851098,0.024161841446851098,0.0
HIPK2,0.30188004860962186,0.3018085638716134,0.033168918435913936,0.0330974336979055,7.14847380084352e-05
STK38,0.30188004860962186,0.3018085638716134,0.03559939952820073,0.03559939952820073,0.0
SEC22A,0.30188004860962186,0.30152262491957965,0.014082493387661734,0.014082493387661734,0.0
ASB9,0.30188004860962186,0.301737079133605,0.02652083780112946,0.02652083780112946,0.0
FEM1C,0.30188004860962186,0.301737079133605,0.02366144828079205,0.023589963542783615,7.14847380084352e-05
TOM1L2,0.30188004860962186,0.30152262491957965,0.012295374937450854,0.012295374937450854,0.0
SSH1,0.30188004860962186,0.30152262491957965,0.020945028236471513,0.020873543498463078,7.14847380084352e-05
ACSL1,0.30188004860962186,0.3015941096575881,0.022875116162699265,0.02280363142469083,7.14847380084352e-05
PPP4C,0.30188004860962186,0.30188004860962186,0.06076202730716992,0.06076202730716992,0.0
TUBB2B,0.30188004860962186,0.30188004860962186,0.031953677889770535,0.0318821931517621,7.14847380084352e-05
TMED7,0.30188004860962186,0.3010222317535206,0.015011794981771392,0.014940310243762956,7.14847380084352e-05
UNC50,0.30188004860962186,0.2958753306169133,0.0043605690185145474,0.0043605690185145474,0.0
NCALD,0.30188004860962186,0.3018085638716134,0.023732933018800487,0.023732933018800487,0.0
SMYD2,0.30188004860962186,0.30188004860962186,0.03152476946171992,0.03152476946171992,0.0
ARVCF,0.30188004860962186,0.3013796554435628,0.014940310243762956,0.014940310243762956,0.0
LPGAT1,0.30188004860962186,0.30052183858746156,0.009007076989062834,0.009007076989062834,0.0
VPS51,0.30188004860962186,0.3013796554435628,0.011866466509400243,0.011866466509400243,0.0
PSD3,0.30188004860962186,0.3013796554435628,0.013510615483594253,0.013439130745585818,7.14847380084352e-05
MAPK12,0.30188004860962186,0.30188004860962186,0.05211237400814926,0.05211237400814926,0.0
ARHGEF3,0.30188004860962186,0.30166559439559654,0.019872757166344984,0.019872757166344984,0.0
RAB10,0.30188004860962186,0.301737079133605,0.020802058760454642,0.020730574022446206,7.14847380084352e-05
PTK7,0.30188004860962186,0.30188004860962186,0.04696547287154192,0.04696547287154192,0.0
PPP2R2A,0.30188004860962186,0.3018085638716134,0.029952105225534348,0.029952105225534348,0.0
IFT27,0.30188004860962186,0.2995925369933519,0.006576595896776038,0.006576595896776038,0.0
MAP3K7,0.30188004860962186,0.301737079133605,0.04074630066480806,0.040674815926799626,7.14847380084352e-05
VPS33A,0.30188004860962186,0.30059332332547,0.011080134391307455,0.011008649653299021,7.14847380084352e-05
PPP2R2B,0.30188004860962186,0.3018085638716134,0.03131031524769462,0.03131031524769462,0.0
PDLIM4,0.30188004860962186,0.3015941096575881,0.01994424190435342,0.019872757166344984,7.14847380084352e-05
MYO1F,0.30188004860962186,0.3015941096575881,0.02652083780112946,0.026449353063121024,7.14847380084352e-05
ZAP70,0.30188004860962186,0.301737079133605,0.04382014439917078,0.04382014439917078,0.0
FER,0.30188004860962186,0.301737079133605,0.02366144828079205,0.023589963542783615,7.14847380084352e-05
PGGT1B,0.30188004860962186,0.2993780827793266,0.008435199084995354,0.008363714346986918,7.14847380084352e-05
NGLY1,0.30188004860962186,0.29980699120737725,0.008363714346986918,0.008363714346986918,0.0
ARFGAP1,0.30188004860962186,0.301737079133605,0.020659089284437774,0.020587604546429338,7.14847380084352e-05
RGL1,0.30188004860962186,0.29859175066123383,0.007362928014868825,0.00729144327686039,7.14847380084352e-05
DOCK3,0.30188004860962186,0.3018085638716134,0.015869611837872614,0.015869611837872614,0.0
RAB23,0.30188004860962186,0.30080777753949534,0.011723497033383372,0.011652012295374938,7.14847380084352e-05
DOCK8,0.30188004860962186,0.30166559439559654,0.01708485238401601,0.01708485238401601,0.0
HHEX,0.30188004860962186,0.30166559439559654,0.023018085638716133,0.023018085638716133,0.0
ANK2,0.30188004860962186,0.30188004860962186,0.05175495031810708,0.05168346558009865,7.14847380084352e-05
TPM4,0.30188004860962186,0.301737079133605,0.0268067767531632,0.0268067767531632,0.0
PPP1CA,0.30188004860962186,0.30188004860962186,0.06934019586818214,0.06934019586818214,0.0
SRC,0.30188004860962186,0.30188004860962186,0.11258846236328544,0.112516977625277,7.14847380084352e-05
ARHGEF5,0.30188004860962186,0.3015941096575881,0.01622703552791479,0.01622703552791479,0.0
PRKCD,0.30188004860962186,0.3018085638716134,0.03831581957252127,0.03831581957252127,0.0
DUSP10,0.30188004860962186,0.301737079133605,0.024018871970834226,0.02394738723282579,7.14847380084352e-05
KDM5B,0.30188004860962186,0.30188004860962186,0.03688612481235256,0.03681464007434413,7.14847380084352e-05
PPEF1,0.30188004860962186,0.3018085638716134,0.03602830795625134,0.03602830795625134,0.0
PSEN1,0.30188004860962186,0.30188004860962186,0.047823289727643145,0.047823289727643145,0.0
CTNND2,0.30188004860962186,0.3018085638716134,0.024090356708842662,0.024018871970834226,7.14847380084352e-05
STX11,0.30188004860962186,0.3015941096575881,0.01701336764600758,0.01701336764600758,0.0
FEM1A,0.30188004860962186,0.301737079133605,0.021802845092572735,0.021802845092572735,0.0
KLC1,0.30188004860962186,0.3018085638716134,0.02394738723282579,0.02394738723282579,0.0
RHOC,0.30188004860962186,0.30188004860962186,0.05733075988276503,0.05733075988276503,0.0
IKBKE,0.30188004860962186,0.301737079133605,0.028951318893416254,0.028951318893416254,0.0
MYH13,0.30188004860962186,0.301737079133605,0.02216026878261491,0.02216026878261491,0.0
DUSP19,0.30188004860962186,0.3011652012295375,0.013939523911644864,0.013939523911644864,0.0
CDKN2B,0.30188004860962186,0.3018085638716134,0.05275573665022518,0.05275573665022518,0.0
COPZ2,0.30188004860962186,0.3014511401815712,0.014940310243762956,0.014868825505754522,7.14847380084352e-05
MYO1B,0.30188004860962186,0.30166559439559654,0.032096647365787406,0.03202516262777897,7.14847380084352e-05
ANKRD32,0.30188004860962186,0.30188004860962186,0.04410608335120452,0.04410608335120452,0.0
ANKRD54,0.30188004860962186,0.3018085638716134,0.020945028236471513,0.020873543498463078,7.14847380084352e-05
GUCY1A3,0.30188004860962186,0.3018085638716134,0.027378654657230682,0.027378654657230682,0.0
KIF15,0.30188004860962186,0.301737079133605,0.038172850096504396,0.038172850096504396,0.0
ASB6,0.30188004860962186,0.30166559439559654,0.026592322539137896,0.02652083780112946,7.14847380084352e-05
KIF13A,0.30188004860962186,0.30166559439559654,0.020945028236471513,0.020873543498463078,7.14847380084352e-05
LSM14B,0.30188004860962186,0.30052183858746156,0.01308170705554364,0.013010222317535207,7.14847380084352e-05
DCTN5,0.30188004860962186,0.3007362928014869,0.009364500679105011,0.009364500679105011,0.0
KIF2B,0.30188004860962186,0.301737079133605,0.02323253985274144,0.02323253985274144,0.0
HPCAL1,0.30188004860962186,0.3015941096575881,0.01994424190435342,0.01994424190435342,0.0
RERG,0.30188004860962186,0.30188004860962186,0.031381799985703056,0.031381799985703056,0.0
DHDDS,0.30188004860962186,0.30166559439559654,0.016727428693973836,0.0166559439559654,7.14847380084352e-05
PDPK1,0.30188004860962186,0.3018085638716134,0.02787904782328973,0.02787904782328973,0.0
KIF25,0.30188004860962186,0.3015941096575881,0.020587604546429338,0.020587604546429338,0.0
IKZF4,0.30188004860962186,0.29987847594538564,0.007505897490885696,0.007505897490885696,0.0
EEA1,0.30188004860962186,0.301737079133605,0.034455643720065765,0.034455643720065765,0.0
KDELR2,0.30188004860962186,0.3013796554435628,0.016941882907999143,0.016870398169990707,7.14847380084352e-05
ASB2,0.30188004860962186,0.3018085638716134,0.03245407105582958,0.03245407105582958,0.0
PPP1R16A,0.30188004860962186,0.3014511401815712,0.019086425048252198,0.019086425048252198,0.0
ARHGAP1,0.30188004860962186,0.301737079133605,0.02008721138037029,0.020015726642361856,7.14847380084352e-05
UNC119,0.30188004860962186,0.3015941096575881,0.015011794981771392,0.015011794981771392,0.0
MYH1,0.30188004860962186,0.301737079133605,0.03402673529201516,0.03402673529201516,0.0
GORASP1,0.30188004860962186,0.3011652012295375,0.01236685967545929,0.01236685967545929,0.0
RAB1B,0.30188004860962186,0.301737079133605,0.02258917721066552,0.02258917721066552,0.0
FBXO42,0.30188004860962186,0.3014511401815712,0.014368432339695475,0.014368432339695475,0.0
NCS1,0.30188004860962186,0.3018085638716134,0.02766459360926442,0.02766459360926442,0.0
SCD5,0.30188004860962186,0.3018085638716134,0.02144542140253056,0.02144542140253056,0.0
TSC1,0.30188004860962186,0.30166559439559654,0.02473371935091858,0.02473371935091858,0.0
POTEE,0.30188004860962186,0.301737079133605,0.035170491100150116,0.035170491100150116,0.0
STX1A,0.30188004860962186,0.301737079133605,0.022732146686682393,0.022732146686682393,0.0
STK32C,0.30188004860962186,0.3018085638716134,0.020873543498463078,0.020873543498463078,0.0
MIB1,0.30188004860962186,0.30188004860962186,0.05032525555793838,0.05032525555793838,0.0
VAV3,0.30188004860962186,0.30166559439559654,0.022660661948673957,0.022660661948673957,0.0
DLG4,0.30188004860962186,0.30188004860962186,0.0536135535063264,0.0536135535063264,0.0
PRKX,0.30188004860962186,0.30188004860962186,0.03738651797841161,0.037315033240403174,7.14847380084352e-05
CFL1,0.30188004860962186,0.30188004860962186,0.053113160340267355,0.05304167560225892,7.14847380084352e-05
MAPK15,0.30188004860962186,0.30188004860962186,0.04289084280506112,0.04289084280506112,0.0
CTNNA1,0.30188004860962186,0.30188004860962186,0.031381799985703056,0.03131031524769462,7.14847380084352e-05
LRRK2,0.30188004860962186,0.30188004860962186,0.09671885052541282,0.09664736578740439,7.14847380084352e-05
BOLA2B,0.30188004860962186,0.3018085638716134,0.04382014439917078,0.04374865966116234,7.14847380084352e-05
DUSP23,0.30188004860962186,0.30152262491957965,0.01772821502609193,0.01772821502609193,0.0
SND1,0.30188004860962186,0.30188004860962186,0.02902280363142469,0.028951318893416254,7.14847380084352e-05
DOCK6,0.30188004860962186,0.30052183858746156,0.011008649653299021,0.011008649653299021,0.0
SPEG,0.30188004860962186,0.30166559439559654,0.0243762956608764,0.02430481092286797,7.14847380084352e-05
STX16,0.30188004860962186,0.30152262491957965,0.01679891343198227,0.01679891343198227,0.0
ANKLE1,0.30188004860962186,0.30166559439559654,0.02501965830295232,0.02501965830295232,0.0
PSMD4,0.30188004860962186,0.30188004860962186,0.042962327543069556,0.042962327543069556,0.0
PFDN1,0.30188004860962186,0.30188004860962186,0.020873543498463078,0.020873543498463078,0.0
GNAQ,0.30188004860962186,0.3018085638716134,0.02694974622918007,0.02694974622918007,0.0
TMED10,0.30188004860962186,0.30166559439559654,0.018514547144184716,0.018514547144184716,0.0
SYNPO2,0.30188004860962186,0.30152262491957965,0.021659875616555864,0.02158839087854743,7.14847380084352e-05
SLC2A4,0.30188004860962186,0.3018085638716134,0.038887697476588746,0.038887697476588746,0.0
EGFR,0.30188004860962186,0.30188004860962186,0.1234541425405676,0.12338265780255915,7.14847380084352e-05
GNB2,0.30188004860962186,0.30188004860962186,0.03274001000786332,0.03274001000786332,0.0
MYO6,0.30188004860962186,0.301737079133605,0.027450139395239118,0.027450139395239118,0.0
MAP2K1,0.30188004860962186,0.30188004860962186,0.06447923368360856,0.06447923368360856,0.0
GSK3B,0.30188004860962186,0.30188004860962186,0.08327971977982701,0.08320823504181857,7.14847380084352e-05
CSNK1A1L,0.30188004860962186,0.3013081707055544,0.014654371291729217,0.014654371291729217,0.0
KIF3B,0.30188004860962186,0.3018085638716134,0.02473371935091858,0.02473371935091858,0.0
VPS18,0.30188004860962186,0.30109371649152905,0.014368432339695475,0.014368432339695475,0.0
NMT2,0.30188004860962186,0.3011652012295375,0.009936378583172492,0.009864893845164058,7.14847380084352e-05
RGL2,0.30188004860962186,0.29980699120737725,0.007434412752877261,0.007434412752877261,0.0
MAP3K9,0.30188004860962186,0.3018085638716134,0.025948959897061977,0.025948959897061977,0.0
GUCY2D,0.30188004860962186,0.3014511401815712,0.015583672885838873,0.015583672885838873,0.0
RGS12,0.30188004860962186,0.30109371649152905,0.011937951247408679,0.011937951247408679,0.0
C14orf2,0.30188004860962186,0.2983772964472085,0.007791836442919436,0.007791836442919436,0.0
KDR,0.30188004860962186,0.30188004860962186,0.05926084780899278,0.059189363070984345,7.14847380084352e-05
HGF,0.30188004860962186,0.30188004860962186,0.04088927014082493,0.04088927014082493,0.0
RACGAP1,0.30188004860962186,0.3018085638716134,0.03760097219243692,0.03752948745442848,7.14847380084352e-05
STX6,0.30188004860962186,0.3015941096575881,0.01608406605189792,0.016012581313889485,7.14847380084352e-05
