gene_sscrofa_wound_up,sscrofa_wound_up_Fraction_sp_less7,sscrofa_wound_up_Fraction_sp_less6,sscrofa_wound_up_Fraction_sp_less5,sscrofa_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less3,sscrofa_wound_up_Fraction_sp_less2,sscrofa_wound_up_Fraction_sp_1,sscrofa_wound_up_Fraction_sp_0
MFAP2,0.3754516983859311,0.35497470489038785,0.2693326909178511,0.1127439171284028,0.02975186701999518,0.0036135870874488074,0.0036135870874488074,0.0
MFAP1,0.3329318236569501,0.21452662009154422,0.06504456757407853,0.017947482534329078,0.001927246446639364,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
OFD1,0.3764153216092508,0.3584678390749217,0.2961936882678873,0.1385208383522043,0.0317995663695495,0.0018067935437244037,0.0018067935437244037,0.0
HBS1L,0.36461093712358467,0.30799807275355334,0.1627318718381113,0.053240183088412434,0.005420380631173212,0.0002409058058299205,0.0002409058058299205,0.0
GYPA,0.13587087448807517,0.04986750180679354,0.020356540592628283,0.0012045290291496024,0.00012045290291496025,0.0,0.0,0.0
GYPB,0.13587087448807517,0.04986750180679354,0.020356540592628283,0.000963623223319682,0.0,0.0,0.0,0.0
GYPC,0.3808720790171043,0.35654059262828236,0.2572874006263551,0.11479161647795712,0.024451939291736932,0.0013249819320645627,0.0012045290291496024,0.00012045290291496025
GYPE,0.3342568055890147,0.22127198265478198,0.0893760539629005,0.030595037340399905,0.0027704167670440857,0.0,0.0,0.0
SNAP25,0.369790411948928,0.3111298482293423,0.17104312213924355,0.05179474825343291,0.007347627077812576,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
SNAP23,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
LITAF,0.37075403517224764,0.31486388821970607,0.1811611659841002,0.05890146952541556,0.00987713803902674,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
SNAP29,0.2930619127920983,0.1335822693326909,0.037701758612382556,0.005420380631173212,0.0006022645145748012,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
C11orf49,0.37834256805589017,0.3534088171524934,0.2596964586846543,0.09828956877860756,0.022765598650927487,0.0020476993495543243,0.0020476993495543243,0.0
TNFSF13,0.23813538906287643,0.08949650686581546,0.021440616718862923,0.0018067935437244037,0.0006022645145748012,0.00012045290291496025,0.0,0.00012045290291496025
TNFSF12,0.3802698145025295,0.3634064080944351,0.29498915923873764,0.14731390026499638,0.035172247651168394,0.0013249819320645627,0.0013249819320645627,0.0
TNFSF11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFSF10,0.36894724162852327,0.3166706817634305,0.17586123825584196,0.06167188629245965,0.011563478679836184,0.000481811611659841,0.000481811611659841,0.0
DIRAS3,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
TNFSF14,0.3378703926764635,0.21561069621777884,0.08010118043844856,0.01830884124307396,0.000963623223319682,0.0,0.0,0.0
TNFSF18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFXN4,0.3712358467839075,0.3318477475307155,0.20007227174174896,0.056733317272946275,0.010358949650686582,0.000481811611659841,0.00036135870874488076,0.00012045290291496025
SFXN2,0.37207901710431224,0.32871597205492653,0.17766803179956636,0.04396530956396049,0.0036135870874488074,0.00036135870874488076,0.00036135870874488076,0.0
SFXN3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SFXN1,0.3653336545410744,0.3142616237051313,0.16128643700313178,0.057576487593351,0.010720308359431462,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
CCT8,0.3530474584437485,0.27475307154902434,0.10551674295350517,0.029631414117080222,0.005420380631173212,0.000963623223319682,0.000963623223319682,0.0
CCT2,0.36220187906528545,0.3171524933750903,0.18429294145988917,0.06082871597205493,0.01409298964105035,0.0015658877378944833,0.001445434834979523,0.00012045290291496025
CCT3,0.3650927487352445,0.32233196820043364,0.1809202601782703,0.052397012768007706,0.01421344254396531,0.0008431703204047217,0.0008431703204047217,0.0
CCT7,0.3670199951818839,0.318236569501325,0.17766803179956636,0.045410744398940016,0.010961214165261383,0.0012045290291496024,0.0010840761262346423,0.00012045290291496025
CCT4,0.34919296555046975,0.25403517224765115,0.08841243073958083,0.02409058058299205,0.0036135870874488074,0.0007227174174897615,0.0006022645145748012,0.00012045290291496025
CCT5,0.36521320163815946,0.31486388821970607,0.17766803179956636,0.050108407612623466,0.010479402553601542,0.0012045290291496024,0.0012045290291496024,0.0
CCL3L3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWI5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASPM,0.3732835461334618,0.3379908455793785,0.2197060949168875,0.07492170561310528,0.01903155866056372,0.008190797398217297,0.008070344495302337,0.00012045290291496025
ASPH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2V2,0.37617441580342087,0.34497711394844616,0.2269332690917851,0.06926041917610215,0.006745362563237774,0.000481811611659841,0.00036135870874488076,0.00012045290291496025
CMBL,0.36437003131775475,0.3028185979282101,0.15682967959527824,0.030715490243314863,0.003372681281618887,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
C1GALT1C1,0.339315827511443,0.22560828715972056,0.06649000240905806,0.012165743194410985,0.003372681281618887,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
SSTR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSTR3,0.30872079017104315,0.16646591182847506,0.03721994700072272,0.00481811611659841,0.0008431703204047217,0.00012045290291496025,0.0,0.00012045290291496025
SSTR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSTR5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SSTR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDLRAP1,0.37460852806552636,0.3426885087930619,0.23958082389785593,0.09323054685617924,0.010840761262346423,0.00012045290291496025,0.00012045290291496025,0.0
CTNNB1,0.3661768248614792,0.32257287400626355,0.184895205974464,0.05721512888460612,0.01011804384485666,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
GPX1,0.372801734521802,0.3440134907251265,0.2409058058299205,0.08829197783666587,0.020115634786798363,0.0007227174174897615,0.0006022645145748012,0.00012045290291496025
WNK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRRC7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
GAN,0.33714767525897377,0.21645386653818358,0.0645627559624187,0.008070344495302337,0.000963623223319682,0.0,0.0,0.0
ATN1,0.37954709708503975,0.3623223319682004,0.2875210792580101,0.1355095157793303,0.03613587087448807,0.0016863406408094434,0.0016863406408094434,0.0
GFI1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NR2C2,0.3711153938809925,0.33642495784148396,0.21729703685858828,0.0887737894483257,0.020717899301373164,0.0010840761262346423,0.0010840761262346423,0.0
TNIP1,0.37798120934714524,0.3520838352204288,0.2566851361117803,0.09828956877860756,0.025415562515056615,0.0015658877378944833,0.001445434834979523,0.00012045290291496025
LBP,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
LBR,0.360635991327391,0.28800289086966996,0.1445434834979523,0.0399903637677668,0.003974945796193688,0.0002409058058299205,0.0002409058058299205,0.0
RPE65,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
IMP3,0.3584678390749217,0.2842688508793062,0.1205733558178752,0.01927246446639364,0.000963623223319682,0.00012045290291496025,0.00012045290291496025,0.0
IMP4,0.33449771139484463,0.21404480847988436,0.06540592628282342,0.01963382317513852,0.003252228378703927,0.0002409058058299205,0.0002409058058299205,0.0
ACIN1,0.37376535774512165,0.3495543242592146,0.266562274150807,0.11828475066249097,0.027583714767525896,0.003493134184533847,0.003493134184533847,0.0
ATP1B2,0.3811129848229342,0.3655745603469044,0.29595278246205736,0.14538665381835703,0.03372681281618887,0.002288605155384245,0.0021681522524692846,0.00012045290291496025
ATP1B3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ATP1B1,0.3630450493856902,0.3051072030835943,0.1624909660322814,0.052397012768007706,0.006384003854492893,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
TFB1M,0.34136352686099736,0.2185015658877379,0.06745362563237774,0.018429294145988918,0.0018067935437244037,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
NOS1AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSEN15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORN2,0.3702722235605878,0.3114912069380872,0.15670922669236328,0.04384485666104553,0.006745362563237774,0.00012045290291496025,0.00012045290291496025,0.0
SNX3,0.3548542519874729,0.2671645386653818,0.1045531197301855,0.02023608768971332,0.0015658877378944833,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
SNX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNX7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNX6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SNX5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNX4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNX9,0.37039267646350277,0.3403999036376777,0.22440375813057095,0.08046253914719345,0.025415562515056615,0.0010840761262346423,0.0010840761262346423,0.0
SNX8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
KHSRP,0.3589496506865815,0.29595278246205736,0.14659118284750663,0.04794025536015418,0.007829438689472416,0.000481811611659841,0.00036135870874488076,0.00012045290291496025
TIMELESS,0.36906769453143823,0.3279932546374368,0.20705854011081667,0.0687786075644423,0.012406649000240905,0.00036135870874488076,0.00036135870874488076,0.0
PHKG2,0.37569260419176104,0.3488316068417249,0.2622259696458685,0.11852565646832089,0.01975427607805348,0.0012045290291496024,0.0012045290291496024,0.0
NRTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORAI2,0.3668995422789689,0.309082148879788,0.17007949891592386,0.0475788966514093,0.002890869669959046,0.0,0.0,0.0
ORAI3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLAT,0.3700313177547579,0.33895446880269814,0.22934232715008432,0.07239219465189112,0.020597446398458202,0.001927246446639364,0.0018067935437244037,0.00012045290291496025
FABP6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
FABP4,0.36798361840520355,0.32618646109371235,0.18537701758612382,0.06600819079739821,0.022042881233437724,0.002529510961214165,0.002409058058299205,0.00012045290291496025
FABP5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
FABP3,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5
FANCD2,0.3790652854733799,0.3625632377740304,0.2966754998795471,0.15538424476029872,0.04625391471934474,0.007708985786557456,0.007588532883642495,0.00012045290291496025
PGAM1,0.19127920982895688,0.053601541797157315,0.006022645145748013,0.000481811611659841,0.0,0.0,0.0,0.0
GABRA5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
GABRA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABRA6,0.1805589014695254,0.05564924114671164,0.01589978318477475,0.007708985786557456,0.0031317754757889667,0.0,0.0,0.0
GABRA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR1C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FABP9,0.005661286437003131,0.0037340399903637678,0.0002409058058299205,0.00012045290291496025,0.0,0.0,0.0,0.0
P2RY6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
RRP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOCK3,0.3290773307636714,0.2027222356058781,0.06721271982654782,0.010961214165261383,0.0006022645145748012,0.0,0.0,0.0
GRIA1,0.3602746326186461,0.27981209347145264,0.1227415080703445,0.032522283787039266,0.002529510961214165,0.00012045290291496025,0.00012045290291496025,0.0
SEPW1,0.3785834738617201,0.35581787521079256,0.2690917851120212,0.13298000481811612,0.021561069621777885,0.0006022645145748012,0.0006022645145748012,0.0
DOCK6,0.3305227655986509,0.21223801493615996,0.08383522042881233,0.022163334136352686,0.004095398699108649,0.0,0.0,0.0
DOCK4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
EP300,0.37075403517224764,0.33714767525897377,0.22886051553842449,0.0821488797880029,0.021681522524692846,0.0027704167670440857,0.0026499638641291254,0.00012045290291496025
NPY5R,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
SMEK1,0.37256082871597207,0.3426885087930619,0.2569260419176102,0.10768489520597446,0.01903155866056372,0.000963623223319682,0.000963623223319682,0.0
SMEK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEU4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEU1,0.3531679113466635,0.25981691158756925,0.11298482293423272,0.02806552637918574,0.0026499638641291254,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
NEU2,0.08913514815707059,0.02782462057335582,0.005781739339918092,0.000481811611659841,0.0002409058058299205,0.0002409058058299205,0.0002409058058299205,0.0
NEU3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
OPRL1,0.3526860997350036,0.2615032522283787,0.12599373644904843,0.035894965068658156,0.00481811611659841,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
MED10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED11,0.37593350999759095,0.35581787521079256,0.27318718381112983,0.118164297759576,0.01421344254396531,0.0007227174174897615,0.0006022645145748012,0.00012045290291496025
MED12,0.37099494097807756,0.3403999036376777,0.2390990122861961,0.0881715249337509,0.013008913514815708,0.0006022645145748012,0.0006022645145748012,0.0
MED13,0.3678631655022886,0.32642736689954227,0.19657913755721512,0.06432185015658877,0.016140688990604675,0.0008431703204047217,0.0008431703204047217,0.0
MED14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
MED15,0.3378703926764635,0.2318718381112985,0.07745121657431944,0.012406649000240905,0.0013249819320645627,0.00012045290291496025,0.0,0.00012045290291496025
MED16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
MED17,0.369669959046013,0.3288364249578415,0.20055408335340882,0.05998554565165021,0.00987713803902674,0.0002409058058299205,0.0002409058058299205,0.0
MED18,0.3681040713081185,0.3369067694531438,0.2175379426644182,0.055408335340881715,0.008672609009877139,0.000963623223319682,0.0008431703204047217,0.00012045290291496025
MED19,0.3578655745603469,0.2663213683449771,0.10587810166225006,0.018067935437244036,0.0010840761262346423,0.0,0.0,0.0
EEF1B2,0.3382317513852084,0.23705131293664178,0.08142616237051313,0.01854974704890388,0.007227174174897615,0.003974945796193688,0.003974945796193688,0.0
TLX1,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0
TLX2,0.03673813538906288,0.013370272223560587,0.007227174174897615,0.003252228378703927,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
TLX3,0.23416044326668273,0.08130570946759817,0.0193929173693086,0.007708985786557456,0.0012045290291496024,0.00012045290291496025,0.0,0.00012045290291496025
ADH1B,0.3608768971332209,0.2912551192483739,0.13779812093471452,0.05179474825343291,0.013249819320645628,0.0007227174174897615,0.0007227174174897615,0.0
ADH1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSK,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
MLEC,0.3658154661527343,0.3070344495302337,0.1503252228378704,0.03830402312695736,0.001927246446639364,0.00012045290291496025,0.00012045290291496025,0.0
SLC30A5,0.32233196820043364,0.17405444471211756,0.03746085280655264,0.00963623223319682,0.0031317754757889667,0.000481811611659841,0.00036135870874488076,0.00012045290291496025
SLC30A7,0.2676463502770417,0.11491206938087208,0.022163334136352686,0.0015658877378944833,0.0002409058058299205,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
SLC30A6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SLC30A3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
EML2,0.37509033967718625,0.33582269332690917,0.2203083594314623,0.07034449530233679,0.013370272223560587,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
EML3,0.3736449048422067,0.33558178752107926,0.21524933750903397,0.08479884365213201,0.013972536738135389,0.0007227174174897615,0.0006022645145748012,0.00012045290291496025
EML1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EML4,0.3774993977354854,0.3500361358708745,0.2563237774030354,0.11563478679836184,0.02372922187424717,0.0008431703204047217,0.0007227174174897615,0.00012045290291496025
RSPO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSPO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSPO1,0.3664177306673091,0.31871838111298484,0.17839074921705614,0.0563719585642014,0.012286196097325945,0.00012045290291496025,0.00012045290291496025,0.0
