gene_downregulated.regen,downregulated.regen_Fraction_sp_less4,downregulated.regen_Fraction_sp_less3,downregulated.regen_Fraction_sp_less2,downregulated.regen_Fraction_sp_1,downregulated.regen_Fraction_sp_0
FSIP2,0.057714070162202945,0.015692191625801585,0.0005281026027913995,0.0005281026027913995,0.0
FSIP1,0.04141833270463976,0.0027159562429271973,0.0,0.0,0.0
DNAJC8,0.06005281026027914,0.03025273481705017,0.001056205205582799,0.001056205205582799,0.0
DNAJC9,0.05590343266691814,0.014862316107129386,0.0012825348924933987,0.0012825348924933987,0.0
DNAJC4,0.05914749151263674,0.024594492644285176,0.0007544322897019992,0.0007544322897019992,0.0
DNAJC5,0.06065635609204074,0.03176159939645417,0.0024896265560165973,0.0024896265560165973,0.0
DNAJC6,0.05296114673708035,0.008147868728781591,0.00022632968691059977,0.00022632968691059977,0.0
DNAJC7,0.05680875141456054,0.01946435307431158,0.0007544322897019992,0.0007544322897019992,0.0
DNAJC2,0.04798189362504715,0.005582798943794795,0.0,0.0,0.0
DNAJC3,0.054470011316484344,0.00965673330818559,0.00022632968691059977,0.00022632968691059977,0.0
GOSR1,0.05273481705016975,0.006714447378347793,7.544322897019993e-05,7.544322897019993e-05,0.0
NRN1,0.05922293474160694,0.02964918898528857,0.001961523953225198,0.001961523953225198,0.0
DEAF1,0.04805733685401735,0.0035458317615993966,0.0,0.0,0.0
RNF152,0.04534138061109015,0.009883062995096191,0.00015088645794039985,0.00015088645794039985,0.0
RNF150,0.06050546963410034,0.03123349679366277,0.0017351942663145982,0.0016597510373443983,7.544322897019993e-05
RNF151,0.0,0.0,0.0,0.0,0.0
RNF157,0.056356092040739346,0.017427385892116183,0.0003017729158807997,0.0003017729158807997,0.0
MECP2,0.06027913994718974,0.03055450773293097,0.000980761976612599,0.000980761976612599,0.0
PEX5,0.05756318370426254,0.016823840060354582,0.00022632968691059977,0.00022632968691059977,0.0
TAS2R8,0.0,0.0,0.0,0.0,0.0
TAS2R9,0.0,0.0,0.0,0.0,0.0
TAS2R7,0.0,0.0,0.0,0.0,0.0
TAS2R4,0.05552621652206714,0.011769143719351189,0.0003017729158807997,0.0003017729158807997,0.0
TAS2R5,0.05922293474160694,0.026405130139569973,0.0013579781214635986,0.0013579781214635986,0.0
TAS2R3,0.011769143719351189,0.0003017729158807997,0.0,0.0,0.0
SPAG16,0.05937382119954734,0.024217276499434177,0.0003017729158807997,0.0003017729158807997,0.0
SPAG17,0.058015843078083745,0.015541305167861185,0.0,0.0,0.0
